second,duration,transcript
0.25,3.26,[Music]
0.949,4.091,thank you very much fat yeah today I'm
3.51,3.69,going to talk about computer graphics
5.04,4.44,and visualization and basically it is an
7.2,5.13,area that evolved quite drastically and
9.48,4.949,nowadays we can computer generated or
12.33,3.99,generate on a computer photorealistic
14.429,4.381,imagery and even deal with very large
16.32,4.83,scale data sets this open up many
18.81,3.75,applications and various areas and this
21.15,2.61,is also why it's very exciting to work
22.56,3.12,in this field because there's so many
23.76,4.17,options on the table that are there to
25.68,4.23,explore in this sense I'm also very
27.93,4.259,happy to have a theme of different
29.91,4.98,people behind me that will follow me in
32.189,4.231,this endeavor at geo Delta at the
34.89,3.329,computer graphics and visualization
36.42,4.62,group which I'm heading we are four
38.219,5.071,faculty members in total 17 members 12
41.04,3.63,PhD students 20 master students many
43.29,3.12,other people that are involved in the
44.67,4.619,projects i'm showing here today so the
46.41,4.71,credit does not only go to me now what
49.289,4.261,do we do in this group well we have
51.12,4.86,basically four focus areas the first one
53.55,5.009,is named technology geometry processing
55.98,4.98,rendering techniques and medical or data
58.559,4.441,visualization so in order to give you a
60.96,3.87,glimpse of what these topics stand for I
63.0,3.9,prepared a couple of examples to show
64.83,3.719,you this little bit further game
66.9,3.69,technology is about automatically
68.549,3.781,generating content and this becomes more
70.59,3.87,and more important at nowadays because
72.33,4.469,we have procedurally generated worlds in
74.46,4.409,which players or even people are trained
76.799,3.721,and for that reason the content is not
78.869,3.151,that easy to produce anymore because
80.52,3.599,these worlds can be like gigantic
82.02,3.599,contain many many people that are
84.119,4.86,interacting with it and therefore
85.619,4.801,procedural methods are key here we also
88.979,3.93,developed an asst content design
90.42,4.44,interfaces that allows people to very
92.909,4.17,easily proceed you to generate content
94.86,4.11,but just a few scribbles and therefore
97.079,4.29,create entire 3d environments that can
98.97,4.079,then be explored these environments
101.369,3.75,there of course populated with geometry
103.049,6.18,and it is one of the other topics that
105.119,5.971,we're looking at in detail how do we
109.229,3.901,represent information how do we capture
111.09,3.959,information from our surrounding how we
113.13,4.23,transform that into a digital
115.049,5.191,representation that then people can
117.36,5.46,interact with here at the bottom you'll
120.24,5.43,also see an example of an animation and
122.82,4.5,deformation algorithm so we also look at
125.67,3.809,what are realistic deformations of
127.32,4.76,objects in order to make them really
129.479,4.761,reliable in the spiritual world
132.08,4.11,one key example here is of course also
134.24,3.27,how do I represent this information how
136.19,3.81,do I represent the data and the
137.51,5.16,information that is hidden in it in one
140.0,4.95,direction that we recently took is to
142.67,3.6,look at how we can represent for example
144.95,4.23,performance capture where you had
146.27,5.16,scanners that you could register this
149.18,4.98,virtual character here and then
151.43,4.59,basically decimate its information in
154.16,5.01,such a way that we only extract the most
156.02,5.07,valuable available information in other
159.17,4.65,words we can go ahead and then basically
161.09,5.01,transform a performance capture on the
163.82,3.93,left with all the details into something
166.1,3.36,that becomes more and more approximate
167.75,3.75,and the user can control this level of
169.46,3.749,detail automatically so the most
171.5,3.99,important movements are captured which
173.209,4.081,can then be used to query databases to
175.49,4.53,transfer the motion on to other
177.29,5.07,characters or to do another analysis
180.02,4.53,steps in such a way you have really a
182.36,4.2,system that allows you to then take any
184.55,4.32,kind of moving input and represented
186.56,4.73,with very few primitives that capture
188.87,5.16,the entire information of this sequence
191.29,5.199,now in these images you already see the
194.03,4.17,next topic that we of course address in
196.489,3.931,this group which is rendering techniques
198.2,3.96,ultimately you want to show something on
200.42,3.96,the screen which means that you have to
202.16,4.02,transform this kind of virtual object
204.38,4.29,into something that is displayable on
206.18,4.47,your device we're looking at realistic
208.67,4.05,rendering including shadows shading
210.65,4.2,global illumination non-photorealistic
212.72,5.04,rendering which is more for illustrative
214.85,4.859,purposes or to explain things better the
217.76,3.81,HD studies that show that with the right
219.709,4.441,abstraction you can increase
221.57,3.84,memorability as well as also reaction
224.15,3.0,time of the people that are interacting
225.41,3.18,with the data so it becomes very
227.15,3.809,important to look at this different
228.59,4.98,topic and automatically this links in
230.959,4.411,with perception how do we perceive the
233.57,4.41,images that we show how do we actually
235.37,5.07,perceive animations or even interactive
237.98,4.05,data evis trations and finally
240.44,3.78,computational photography how do we
242.03,4.2,integrate real-world data into our
244.22,3.42,approaches in order to make them more
246.23,3.99,accessible we can take this even further
247.64,4.319,with more photorealistic landscapes in
250.22,3.84,this case here you have even
251.959,5.461,participating media which is fog and
254.06,5.67,share it becomes very difficult to do on
257.42,4.77,because light interaction happens in the
259.73,4.32,entire scene and we need to compute all
262.19,3.72,of these values in real time this
264.05,3.69,becomes extremely important for example
265.91,4.23,if you want to train people in a driving
267.74,4.2,simulator or in plane simulator because
270.14,3.57,all of a sudden you need to integrate
271.94,3.39,all these weather effects in order to
273.71,3.36,make the simulation reduces little world
275.33,4.35,is represented well we heard this before
277.07,4.77,data is exploding with information
279.68,3.96,everywhere and dealing with large-scale
281.84,4.74,data sets is really a fundamental
283.64,5.82,challenge that we need to address we
286.58,4.89,look at topics like data analysis in
289.46,4.74,order to get new insights of this
291.47,4.98,information and produce representations
294.2,3.3,that people can explore extract the
296.45,3.87,knowledge that they're actually looking
297.5,7.02,for and then use the insides in their
300.32,7.77,own applications in this sense let me
304.52,5.7,show you a couple of different themes
308.09,4.56,related to our data and medical
310.22,4.86,visualization direction on large-scale
312.65,4.41,data display interaction methods visual
315.08,5.37,analytics and medical visualization I
317.06,5.64,think the key idea behind integrating
320.45,4.92,the user and visualization techniques in
322.7,4.95,big data is that if you look at a data
325.37,4.35,development and recently used you have
327.65,5.07,basically a development of compute power
329.72,5.49,and data that before well behaved quite
