second,duration,transcript
8.08,4.479,hey everyone welcome to simply learn's
10.08,4.479,youtube channel in this session we will
12.559,4.881,be learning about graphs in data
14.559,4.48,structures but before we begin make sure
17.44,3.2,that you have subscribed to our youtube
19.039,3.921,channel and don't forget to hit that
20.64,4.719,bell icon to never miss an update from
22.96,4.159,simply learn now without further ado
25.359,5.08,let's get started with the agenda for
27.119,3.32,today's discussion
31.119,4.321,so we will be discussing a brief
32.88,4.24,introduction to graphs first
35.44,3.439,followed by that we will understand the
37.12,4.24,graph terminologies
38.879,4.641,up next we will see the types of graphs
41.36,4.24,available in data structures after that
43.52,4.559,we will understand the representation of
45.6,5.2,graphs then we will look into the graph
48.079,5.361,traversal and finally we will understand
50.8,5.04,the application of graphs i hope i made
53.44,4.16,myself clear with the agenda now let's
55.84,5.28,begin with the first topic that is a
57.6,3.52,brief introduction to graphs
62.48,5.12,so what exactly is a graph so a graph is
65.76,5.359,a data structure like any other data
67.6,5.36,structure example linked list arrays etc
71.119,3.521,so graph is a little different from the
72.96,3.04,other types of data structures such as
74.64,4.159,linked lists and
76.0,5.119,arrays they are linear data structures
78.799,4.241,whereas graph is a non-linear data
81.119,4.32,structure that consists of finite sets
83.04,4.56,of vertices and a bunch of edges
85.439,5.841,connecting with them
87.6,5.6,so what are these vertices and edges so
91.28,3.839,let us understand that a graph is
93.2,6.08,usually represented by
95.119,6.96,a set of vertices and edges so a vertice
99.28,5.6,is the node present in a graph imagine
102.079,4.961,that you are a group of five friends so
104.88,5.04,each one of you is considered as a
107.04,6.16,vertex and the network connecting you
109.92,6.159,guys is known as an edge
113.2,5.68,so the overall graph of your people can
116.079,6.481,be considered as g and it is represented
118.88,6.08,by vertices and edges set where vertices
122.56,6.399,is you and the network connecting you
124.96,6.56,guys is called as an edge
128.959,4.64,so here you can see it clearly each one
131.52,4.0,of the friend is called as a vertex and
133.599,4.321,the network connecting them is called as
135.52,5.68,an edge and the entire graph is
137.92,5.52,represented using a set of vertices and
141.2,6.32,edges now moving ahead we will
143.44,4.08,understand the graph terminologies
150.0,5.2,now at first we have the adjacency
152.16,4.96,vertices and adjacency edges so what are
155.2,4.24,adjacent vertices
157.12,5.44,if there is an edge between two vertices
159.44,5.28,that is one vertex or one node is
162.56,5.039,connected to another node directly using
164.72,5.68,just one single edge then those vertices
167.599,5.441,are called as adjacent vertices
170.4,4.72,now what are adjacent edges
173.04,4.16,if there is one common vertex between
175.12,4.8,two edges then those two edges are
177.2,4.8,called as adjacent edges let's imagine
179.92,5.12,this way let us imagine that we have
182.0,5.92,three vertexes and these three vertexes
185.04,5.199,are connected using two edges so here we
187.92,4.399,have one vertex which is common between
190.239,4.961,these two edges so such type of edges
192.319,5.521,are called as adjacent edges
195.2,5.679,next we have the degree in an undirected
197.84,6.96,graph number of vertices adjacent to the
