second,duration,transcript
0.56,4.0,hello my name is jeff messier i'm a
2.24,4.0,professor in electrical and software
4.56,3.999,engineering in the schulich school of
6.24,4.24,engineering and in this lecture i'm
8.559,4.24,going to talk about
10.48,4.239,memory how memory is organized and
12.799,4.801,basically how we organize the values
14.719,4.56,that are stored in memory
17.6,4.08,before we get into that i just want to
19.279,5.121,review a few things about number
21.68,3.519,notation and
24.4,2.56,in
25.199,4.561,this module and in this course in
26.96,5.119,general we're going to use
29.76,4.56,several different number systems
32.079,4.0,we're going to use base 10 numbers we're
34.32,4.64,going to use hexadecimal numbers and
36.079,5.521,we're going to use binary numbers and
38.96,2.64,just to be
42.079,4.0,i guess just to start with the most
43.52,4.64,familiar base 10 numbers are what we've
46.079,4.48,been using all the way through
48.16,4.079,elementary school this is our standard
50.559,3.361,numbering system
52.239,3.921,and
53.92,7.319,for example if i were to write the
56.16,5.079,number uh 3821
63.039,6.08,for the purposes of this slide in this
66.0,5.439,discussion i'm going to give a subscript
69.119,4.881,10 here and that is going to indicate
71.439,5.201,that this is a base 10 number
74.0,5.52,and the value of
76.64,3.68,this number can be calculated
79.52,3.52,by
80.32,4.72,multiplying each of these digits by
83.04,4.8,a power of 10.
85.04,5.2,so 3821
87.84,5.279,is equal to 3
90.24,3.919,times 10 to the 3
93.119,2.721,plus
94.159,3.521,8 times
95.84,2.88,10 to the 2
97.68,4.24,plus
98.72,4.48,2 times 10 to the 1
101.92,5.28,plus
103.2,5.68,1 times 10 to the 0.
107.2,5.12,and
108.88,6.96,the powers of 10 are a function of the
112.32,3.52,position of each one of these digits
117.2,6.72,binary numbers are base 2 numbers and so
121.2,4.8,if i were to write out 1
123.92,3.28,1 0 1
126.0,3.44,i could
127.2,5.039,just to indicate the base write a little
129.44,4.4,subscript 2
132.239,2.961,to indicate that we're using a base 2
133.84,2.24,number
135.2,2.32,and
136.08,3.44,just like
137.52,4.0,our example for the 10 base number the
139.52,3.52,value of this
141.52,3.92,binary number
143.04,4.08,is 1 times
145.44,3.519,2 to the
147.12,4.479,3
148.959,4.64,plus 1 times
151.599,3.28,2 to the 2
153.599,2.881,plus
154.879,3.761,0 times
156.48,3.039,2 to the 1
158.64,2.56,plus
159.519,2.8,1 times
161.2,3.039,2
162.319,4.081,to the 0.
164.239,4.241,or in other words if we add up all of
166.4,4.8,these numbers this is
168.48,3.52,8 plus 4
171.2,2.88,plus
172.0,3.04,0 plus 1
174.08,4.32,or
175.04,5.04,13 if we want to write it in terms of of
178.4,3.119,base 10.
180.08,3.439,now when we're working with binary
181.519,3.121,numbers we're going to be grouping them
183.519,2.0,together
184.64,3.28,a
185.519,2.401,byte
190.56,2.88,is equal to
193.76,3.52,an 8 bit
195.76,4.88,base 2 number
197.28,3.36,and a nibble
201.519,2.8,is a four bit
205.44,4.24,base two number two nibbles make a bite
207.84,5.039,obviously
209.68,4.559,another really common number system that
212.879,2.961,we're going to be using in this class
214.239,4.72,are hexadecimal numbers which are
215.84,6.88,actually base 16. now
218.959,4.961,base 16 seems like a strange number base
222.72,3.599,to use
223.92,6.319,but
226.319,5.92,the numbers 0 through 15 are the maximum
230.239,3.841,range of numbers you can represent with
232.239,3.28,four bits and so
234.08,3.359,computer engineers like to use
235.519,3.761,hexadecimal numbers because it's
237.439,4.8,relatively easy once you get the hang of
239.28,5.84,it to very quickly translate between
242.239,5.601,hex numbers and and binary numbers a lot
245.12,6.319,easier than it is to translate between
247.84,4.72,base 10 numbers and and binary numbers
251.439,4.16,and
252.56,5.199,for hex numbers
255.599,5.92,since we've got 16 values that we
257.759,4.88,represent using digits we start with
261.519,2.561,0
262.639,3.201,1
264.08,5.839,all the way up to 9
265.84,5.44,and then we use letters after that we go
269.919,2.56,a
271.28,4.8,b
272.479,3.601,all the way up to f
276.56,4.639,and so if we go
278.56,4.88,if we add a through f at the end of 0 to
281.199,4.081,9 we get 16 values
283.44,4.319,and so
285.28,5.6,if i was to write out a
287.759,6.88,hexadecimal number it would be a mixture
290.88,4.879,of or it can be a mixture of letters and
294.639,3.521,and numbers
295.759,4.481,and so for example
298.16,4.24,a2
300.24,4.56,f
302.4,2.4,9
307.199,4.881,is equal to
309.12,5.44,a which is actually 10
312.08,3.36,right because it goes 0 through 9 and
314.56,2.0,then
315.44,4.56,a
316.56,6.32,is represents 10 b represents 11
320.0,4.639,f represents 15. so this hex number is
322.88,4.96,equal to 10
324.639,5.84,times 16
327.84,2.639,to the 3.
331.28,5.12,i'm just going to move my
334.08,5.32,example here so we don't get so
336.4,3.0,cluttered
341.199,2.961,plus 2
342.8,4.0,times
344.16,5.759,16 squared
346.8,6.32,plus f which represents 15
