second,duration,transcript
0.16,3.519,saint thomas aquinas the philosopher
2.08,4.799,argues that everything has an
3.679,5.441,essence an ideal at its core and
6.879,4.241,an existence an appearance and
9.12,3.76,manifestation in the real world
11.12,3.84,the only thing in the universe whose
12.88,3.36,essence and existence are identical
14.96,4.64,according to aquinas
16.24,5.199,is god anything else you me
19.6,3.36,this microphone and the scientific
21.439,4.961,discipline of hci
22.96,6.079,will have discrepancies between what is
26.4,4.959,essential and what is existential to it
29.039,4.481,human computer interaction or hci
31.359,4.561,for short is a phrase that we hear a lot
33.52,5.12,in the context of design innovation
35.92,4.959,computer science digital products it is
38.64,2.8,obviously very relevant to our lives
40.879,2.721,because
41.44,3.68,most of what we do today is basically
43.6,3.36,human computer interaction it's
45.12,2.88,literally what we do with most of our
46.96,3.2,waking hours
48.0,4.239,right now as i record this episode i am
50.16,3.76,interacting with multiple computers my
52.239,3.281,camera is actually a computer i'm
53.92,2.88,looking at my notes on some sort of
55.52,4.24,computer my phone
56.8,4.399,also a computer could ring at any time
59.76,3.599,and as you are
61.199,3.121,watching or listening to this episode
63.359,2.961,you are also
64.32,4.0,performing some kind of human computer
66.32,3.68,interaction even in our sleep we
68.32,2.159,interact with computers you know some of
70.0,2.56,us
70.479,3.521,measure our sleep with smart watches or
72.56,3.52,rings and most of us
74.0,3.119,actually wake up to some kind of digital
76.08,4.24,alarm clock
77.119,4.801,this phenomenon of hci the experience of
80.32,4.32,it is everywhere it is
81.92,4.96,the defining feature of human life today
84.64,2.72,this is hci as a phenomenon it's the
86.88,2.72,fact
87.36,4.32,that we live with computers and it's not
89.6,3.36,only these keyboard and mouse and screen
91.68,2.799,kind of things but
92.96,4.159,anything that involves digital
94.479,4.401,components your dishwasher your tv
97.119,4.0,your car but when you hear people
98.88,3.919,talking about hci it's probable that
101.119,4.081,they are not only talking about the
102.799,5.041,phenomenon of using a computer
105.2,4.64,but rather they are talking about a
107.84,4.08,profession or discipline which
109.84,4.16,deals with this phenomenon so human
111.92,4.879,computer interaction is the name of what
114.0,5.04,happens but it is also the name of the
116.799,4.561,scientific and professional field
119.04,4.0,where people have the job of analyzing
121.36,3.759,it and designing it
123.04,3.84,this the scientific and professional
125.119,3.12,discipline that is called hci
126.88,3.28,is what we're going to talk about in
128.239,3.921,this episode of design discipline
130.16,4.24,my name is mahmoud aidan baitash i'm a
132.16,5.04,scholar of design and technology and
134.4,5.199,research in hci is basically my job i
137.2,4.8,design and develop hci applications i
139.599,3.36,write about hci i manage research
142.0,3.28,projects i
142.959,4.0,teach hci at the university and i feel
145.28,3.12,incredibly privileged to be working in
146.959,2.64,this field because computers and the
148.4,3.839,ways that we use them
149.599,3.521,are essential to our lives hci is
152.239,3.441,basically
153.12,3.839,the defining feature of human life and
155.68,3.199,culture today
156.959,3.601,naturally there's a lot of interest in
158.879,2.881,hci as a profession
160.56,3.2,a lot of people are interested in
161.76,3.759,getting hci related jobs
163.76,3.04,companies are looking for hundreds of
165.519,3.761,different kinds of professionals that
166.8,4.799,have to do with computing and design and
169.28,4.0,user interfaces in the world of academic
171.599,3.681,research where getting funding is a
173.28,4.16,significant challenge for all of us
175.28,4.08,hci researchers are actually treated a
177.44,3.84,little more generously compared to our
179.36,2.799,colleagues in like social sciences or
181.28,3.2,the arts
182.159,3.041,however compared to the level of
184.48,2.88,interest
185.2,3.28,and the relevance of the phenomenon of
187.36,4.32,hci
188.48,4.56,the actual profession of hci is quite
191.68,3.6,small and it's quite
193.04,4.16,challenging to get into and the
195.28,2.8,challenge here is largely because a lot
197.2,3.44,of people
198.08,5.04,when they start out don't have a mental
200.64,5.04,model of hci as a scientific
203.12,3.36,field which has enough detail and enough
205.68,2.88,clarity
206.48,4.56,i'll give you an example around a year
208.56,3.84,ago i was involved in a university
211.04,4.08,project and i teamed up with two
212.4,5.919,professors and we had the job of hiring
215.12,5.6,two hci researchers we had two positions
218.319,4.961,for phd researchers and we got
220.72,3.28,more than 200 applications for these
223.28,2.56,positions
224.0,3.84,most of the people who applied were very
225.84,3.28,smart and very successful some of them
227.84,3.679,were great engineers
229.12,4.24,some were designers entrepreneurs and
231.519,4.241,different kinds of scientists
233.36,3.92,very smart people very cool skills and
235.76,4.08,experiences that they brought
237.28,4.08,but out of 200 people most of whom were
239.84,4.479,very impressive
241.36,5.28,there was only like 10 of them who
244.319,5.041,really understood the field of hci so
246.64,4.959,they all understood hci as a phenomenon
249.36,5.2,and most of them understood the
251.599,5.441,essential ideas the ideals of hci
254.56,4.56,as a scientific and professional field
257.04,2.96,but only around five percent of them
259.12,3.04,actually
260.0,3.6,understood like the boundaries and the
262.16,4.08,landscape of hci
263.6,3.599,in terms of its existential facts and
266.24,2.88,naturally
267.199,3.361,those people were the ones that we
269.12,3.04,interviewed for the jobs
270.56,3.44,so what i'm going to talk about now is
272.16,4.16,going to help those of you who are
274.0,3.84,interested in hci as a profession
276.32,3.439,especially those of you who are looking
277.84,4.4,at graduate studies and especially
279.759,4.401,phd programs in hci and there are two
282.24,3.92,reasons why we focus on this the first
284.16,2.96,is that a few days ago i actually posted
286.16,2.72,on twitter
287.12,4.48,asking the community for what questions
288.88,4.879,to cover in in this episode about hci
291.6,4.4,and one of the most salient requests was
293.759,5.041,to talk about how to get into hci
296.0,5.039,phd programs so with a shout out to
298.8,3.52,faria and others who submitted questions
301.039,3.921,we're going to talk about some of the
302.32,4.48,concepts you need for this exact purpose
304.96,3.44,the second reason why this is especially
306.8,3.76,relevant to phd studies
308.4,4.16,is that in fact even though the
310.56,5.199,phenomena of computers are
312.56,3.919,everywhere in our lives hci as a
315.759,3.28,profession
316.479,3.28,actually refers to a very particular
319.039,3.281,niche
319.759,3.121,within academic and scientific research
322.32,4.08,and this
322.88,7.44,is my first point there isn't really a
326.4,6.4,job or position that is called hci
330.32,4.0,which exists purely in the world of
332.8,3.119,business at companies
334.32,3.92,in this way it's different from other
335.919,4.321,jobs like being a programmer or engineer
338.24,3.84,or graphic designer or psychologist
340.24,2.72,because even though many universities
342.08,4.64,have
342.96,6.959,these programs where you can study hci
346.72,5.44,jobs like hci designer or hci
349.919,3.12,manager things like that don't really
352.16,2.64,exist
353.039,4.88,basically the only job where you would
354.8,4.48,have hci in your actual job title in an
357.919,4.641,actual company
359.28,4.8,is the job of a hci researcher and these
362.56,4.0,jobs are really rare
364.08,4.32,they basically exist only at these large
366.56,3.52,tech companies with big budgets for
368.4,3.68,innovation and research
370.08,3.92,in fact i went on linkedin to search for
372.08,2.32,these jobs and found only two of them
374.0,2.639,among
374.4,3.2,thousands of jobs on linkedin at
376.639,3.361,microsoft
377.6,4.0,and spotify and both of them list as
380.0,2.639,their requirements that you should have
381.6,2.319,a phd
382.639,2.961,and you should have published your
383.919,2.801,research at particular scientific
385.6,2.8,conferences and
386.72,3.44,journals and this is the first thing
388.4,4.56,that confuses people because the
390.16,4.4,essence or the ideal of hci is very
392.96,3.679,broad you know if you go to
394.56,3.84,any other resource like various books
396.639,3.521,and lectures and whatnot
398.4,4.079,usually they will hit you with a very
400.16,4.08,long and very complicated definition
402.479,4.081,wikipedia will tell you for example that
404.24,3.04,hci is a multi-disciplinary field of
406.56,2.56,study
