second,duration,transcript
0.0,5.22,information visualization information
2.72,4.42,visualization is a multi-disciplinary
5.22,3.959,field that focuses on the graphical
7.14,4.86,representation of data to help people
9.179,4.981,understand complex information patterns
12.0,4.68,and relationships more easily and
14.16,6.18,effectively it involves using visual
16.68,6.0,elements such as charts graphs maps and
20.34,4.08,interactive interfaces to present data
22.68,4.47,in a way that is visually appealing
24.42,11.0,informative and accessible
27.15,11.33,[Music]
35.42,3.06,thank you
