second,duration,transcript
0.08,3.379,"Welcome to Pirate King
I'm Daniel a Software Engineer at Microsoft"
3.459,4.631,"ex-Software Engineer at Amazon and ebay and
also a Software Engineering Mentor at two"
8.09,2.929,"educational startups
In this video I'm going to talk about the"
11.019,2.801,"best programming languages you should learn
as a beginner"
13.82,4.36,"Whether as a hobby a student or someone who's
seriously considering making a career transition"
18.18,1.55,"etc.
Programming languages"
19.73,4.6,"You've heard about them
C, C++, Objective-C, C#, F#, Java, JavaScript,"
24.33,4.689,"Python, Swift, HTML, CSS, SQL, Go, Kotlin,
Ruby, Scala, Perl"
29.019,3.951,"I mean holy 💩
The sheer list itself is overwhelming"
32.97,2.23,"There's just so many of them
And guess what?"
35.2,3.14,"That's not all!
You obviously don't have the time to learn"
38.34,2.63,"all those
So which language should you focus now as"
40.97,2.71,"a beginner?
What is the best language for setting that"
43.68,4.54,"first step in a particular industry?
Or which ones should you avoid as your first"
48.22,5.04,"language?
Well let's find out"
53.26,4.04,"First off here's the list of programming scripting
and markup languages that I know"
57.3,5.56,"In the order of most popular technologies
list in the survey of 2021 Stack Overflow"
62.86,7.04,"JavaScript, HTML, CSS, Python, SQL, Java,
Node.js, TypeScript, C#, Bash, C++, C, and"
69.9,2.39,"PowerShell
Most of which I've used professionally"
72.29,3.45,"Some of which I've used on my personal project
or learned myself"
75.74,5.05,"Just to set the right expectations here
There's no such thing as the ultimate programming"
80.79,1.71,"language
This language is the best"
82.5,3.68,"That language is the worst
This one sucks the most 🤮"
86.18,2.871,"There are obviously pros and cons for each
programming language"
89.051,4.699,"And even a language that's worst to learn
can actually be the best to use for certain"
93.75,2.09,"situations
For the purpose of this video"
95.84,5.25,"I've personally curated six programming languages
that are best for beginners to learn in terms"
101.09,2.37,"of
Popularity Utility and Relevance"
103.46,4.14,"Popularity Is it commonly used?
Utility Is it widely used?"
107.6,3.559,"Relevance Is it future-proof?
I'll give tailored suggestions for each language"
111.159,4.131,"in terms of these criteria
So given your current situation personal preference"
115.29,2.189,"or the type of industry you're interested
in"
117.479,2.441,You can decide which suits you the best
119.92,2.46,"Before I tell you which languages are the
best"
122.38,4.349,"Let me first tell you the two languages you
should definitely avoid as a beginner"
126.729,3.541,"At least not until you are quite comfortable
with the ones I'm about to mention"
130.27,1.72,They are C++ and C
131.99,4.5,"Why not C++?
You know C++ is the language that started"
136.49,3.32,"the OOP object oriented programming paradigm
There’s no doubt about that"
139.81,2.65,"But because it’s the language that started
it all"
