second,duration,transcript
55.46,7.989,"We have discussed a very simple form of processor
design called single cycle design and in the"
63.449,6.06,"last lecture we ended by making some observation
about such a design. These observations were"
69.509,7.961,"about its performance and inability does certain
kind of instruction. So today we will introduce"
77.47,7.0,"another type of approach called multi cycle
design which tries to overcome these problems."
84.47,8.25,"This is the overall lecture plan and today
we will start by repeating those problems"
92.72,6.64,"re-observing those problems which are related
to single cycle data path. We will look at"
99.36,5.819,"how, we analyze the delays and what for the
difficulty which is noticed. We will see how"
105.179,8.141,"clock period can be improved; how clock could
be speeded up by using multi cycle design."
113.32,5.75,"We will also look at this as a way of improving
the resource utilization. The resources are"
119.07,7.132,"the main hardware components we have even
in our data path and what basically we will"
126.202,7.218,"do is we will try to share these components
such as memories and ALU and to facilitate"
133.42,5.71,"that we would need to introduced some more
components but often lower costs generally"
139.13,4.5,these are registers and multiplexers.
143.63,6.859,"This is the data path which was designed in
the previous lectures where every instruction"
150.489,9.601,"is completed in a single cycle. So all activities
begin with a new address in PC and the cycle"
160.09,6.78,"ends by updating the PC value as well as updating
the state of the whole processor in register"
166.87,7.959,"file and memory. So these are the three problems
which we have noticed that the slowest instruction"
174.829,4.261,"pulls down the clock frequency; if there is
a wide disparity in the timings of various"
179.09,8.269,"instructions then the whole set of instructions
will be running as slow as an instruction"
187.359,2.951,"so that is the difficulty with such a design
approach."
190.31,6.44,"And secondly, resource utilization is poor.
Apart from having a full fledge ALU we had"
196.75,6.5,"to use two adders and we had to keep the instruction
memory and data memory separate because in"
203.25,4.86,"that type of design it is not possible to
work with single memory from where you fetch"
208.11,5.95,"an instruction and then later on fetch data
also so that we will not work out."
214.06,5.459,"Also, I hinted upon some kind of instruction
which cannot be realized by this type of approach."
219.519,7.071,"So we will focus today on first two issues.
Just to recall that we had analyzed the performance"
226.59,5.889,"by taking the delays of individual components
some simple ones were assigned zero delay"
232.479,4.48,"and others had some significant delay denoted
by t plus t A and so on"
236.959,5.661,"these symbols are denoting the delays of individual
components."
242.62,7.0,"And for each instruction or a group of instruction
we enumerated various paths from storage element"
249.62,5.28,"to storage element through which the data
has to flow in the instruction and identified"
254.9,7.42,"the possible expressions which would decide
the overall clock period."
262.32,8.39,"So this was the final expression we had. The
one at the bottom is in a simplified form"
270.71,4.67,"and it could be noticed that the largest of
these sub-expressions will actually decide"
275.38,6.21,"the clock period. To illustrate this further
let us look at some values. Again I am not"
281.59,6.389,"putting these values in numeric sense but
trying to depict it pictorially; so the horizontal"
287.979,9.561,"x here is a time axis and for each instruction
I am trying to show the delays which are involved"
297.54,2.719,"in the flow of information along the data
path."
300.259,5.41,"For R class instruction there is a delay involved
in fetching the instruction, fetching the"
305.669,5.551,"operands from the register file then doing
the arithmetic operation and finally storing"
311.22,6.19,"the result in register file and so on for
each instruction I have indicated the possible"
317.41,8.86,"path which may dictate the clock period. So
I have taken nearly equal values for all these"
326.27,7.0,"terms except that there are slight differences;
t i and t M I have taken same and in fact"
333.27,7.23,"t plus is also same; t A is slightly less
than that and t R is even little less than"
340.5,1.02,that.
341.52,8.32,"So, from first three cases I have dropped
the t plus term because that is invariably"
349.84,7.79,"that is less than all these and we do not
really need to look at that. So now you can"
357.63,7.93,"very clearly see that lw with this kind of
values lw will dominate and dictate the clock"
365.56,4.62,"periods. So clock period would be from this
point to this point; remember that horizontal"
370.18,7.639,"axis is the time axis I am showing along the
time line. but once clock period is fixed"
377.819,4.28,"all instructions are taking same time and
you could see so much of dead time in other"
382.099,5.16,"instructions in R class, sw, in beq and most
in j."
387.259,9.761,"Now when we introduce multi cycle design basically
what we try to do is divide execution of instruction"
397.02,4.919,"into multiple cycles. So we need to decide
what gets done in first cycle, what gets done"
401.939,6.491,"in second cycle and so on and there are lots
of choices. So we will take one simple choice"
408.43,7.47,"here which tries to do one major action in
one clock cycle. This is only one of the possibilities"
