second,duration,transcript
2.08,4.4,before we get started
3.679,3.841,i wanted to begin uh just with one of my
6.48,4.64,favorite
7.52,4.079,examples of practical analytics and how
11.12,2.639,it
11.599,4.561,influences our everyday life i've spent
13.759,3.841,a lot of time traveling for my work and
16.16,2.72,i've really grown to appreciate the
17.6,3.04,simple meaningful
18.88,3.36,actionable predictive analytics that
20.64,3.44,uber provides
22.24,3.199,if you don't know what uber is it's a
24.08,1.92,ride-sharing system and it's kind of
25.439,2.881,like
26.0,3.119,being able to call a taxi from your
28.32,2.32,phone
29.119,3.521,except it's more than that because when
30.64,3.599,you make a request from uber
32.64,4.64,they know your gps location of your
34.239,6.401,device they also know the gps location
37.28,5.2,of drivers who are around you and uber
40.64,4.079,uses your gps location
42.48,3.2,and the gps location of the drivers
44.719,2.801,around you
45.68,4.24,to estimate how long they think it'll
47.52,2.4,take to get
52.8,5.12,now available as an apple watch
56.239,3.441,application so what you're seeing here
57.92,3.68,is a picture of my watch yesterday
59.68,3.359,and at that time uber said it would take
61.6,2.639,five minutes to get a driver to me and
63.039,3.521,it was all based on
64.239,4.481,predictive analytics of my location the
66.56,3.919,location of the drivers around me
68.72,4.48,the routes between me and those drivers
70.479,5.921,the travel time uh the time of day
73.2,5.44,um and and perhaps past uh travel
76.4,3.759,times of those routes and all of that
78.64,2.159,information is kind of put together into
80.159,2.801,a simple
80.799,4.561,this simple number five minutes and this
82.96,4.479,is great because it's super actionable
85.36,3.68,if i am happy with that number i go
87.439,2.401,ahead and hit that request and a driver
89.04,3.039,shows up
89.84,3.76,in about five minutes if i'm not happy
92.079,3.201,with that number maybe it's too big
93.6,3.6,maybe i just cancel my request and call
95.28,3.839,a cab and i've done that before
97.2,4.16,and it's just a great example of how
99.119,3.28,uber is taking all of this data about me
101.36,3.039,and the drivers
102.399,3.68,compiling into a very simple actionable
104.399,4.641,number that's delivered right
106.079,4.481,right to my watch and it's not just uber
109.04,3.2,we live in a world where predictive
110.56,4.64,analytics is pervasive
112.24,5.199,so when you log into amazon or netflix
115.2,3.84,these this is what amazon and netflix
117.439,3.28,thinks that i want to watch based on the
119.04,3.679,the viewing patterns of the account
120.719,3.44,that i use and it's interesting i think
122.719,4.72,it's pretty obvious probably to
124.159,4.88,many people that's not necessarily me
127.439,4.401,who's watching these videos
129.039,3.521,um what what's going on here is amazon
131.84,3.2,is taking the
132.56,3.759,the buying and viewing patterns of me
135.04,3.44,and comparing them with
136.319,4.0,users who have similar viewing patterns
138.48,2.96,and making suggestions based on those
140.319,4.481,patterns
141.44,5.04,and what's happened what
144.8,3.439,happens here is my kids log in on the
146.48,2.56,weekends and they watch all sorts of
148.239,3.441,cartoons
149.04,4.32,and amazon and netflix both think i have
151.68,4.32,a strong interest in watching a
153.36,4.48,ragtag group of cartoon puppies solve
156.0,3.2,problems that's what paw patrol is
157.84,3.119,but the truth is i'm not really
159.2,2.08,interested in these predictive analytics
160.959,2.241,and
161.28,3.76,it's an interesting thing to think about
163.2,3.28,is what are the assumptions that we make
165.04,3.36,about the underlying data
166.48,3.6,as we use predictive analytics and i
168.4,3.119,think we'll ponder some of these
170.08,2.64,questions about what it means for health
171.519,3.761,care a little bit later in the
172.72,2.56,presentation
177.12,3.039,we're going to uh have another quick
178.8,3.2,poll question so
180.159,3.921,how important are predictive analytics
182.0,5.12,for the future of health care
184.08,5.84,not at all important low importance
187.12,3.44,neutral moderately important extremely
189.92,2.959,important
190.56,3.52,or unsure or not applicable hey eric
192.879,3.041,well we're having everyone respond to
194.08,3.439,those i'd like to apologize to everybody
195.92,2.959,the audio we had a couple of audio
197.519,2.481,issues we think we've got those sorted
198.879,2.72,out
200.0,4.4,we said we this is new software for us
201.599,4.401,so we appreciate your patience with us
204.4,5.119,all right let's go ahead and share the
206.0,3.519,results of our poll
210.239,5.601,but we're showing 75 extremely important
214.48,2.64,yes that's why they joined the webinar
215.84,2.0,today i was gonna say it sounds like a
217.12,2.88,little bit of uh
217.84,4.0,selection bias but it is i think it is
220.0,4.959,important and we'll talk about
221.84,6.479,how we can lower the barrier to uh doing
224.959,3.36,predictive analytics in healthcare
231.599,3.28,all right we're just getting back to uh
235.12,3.759,share that screen all right as we move
238.48,2.319,into
238.879,3.681,healthcare let's so first of all let's
240.799,3.44,just
242.56,3.2,high level predictive analytics is about
244.239,2.401,using pattern recognition just like we
245.76,2.72,talked about
246.64,3.599,with the amazon and netflix examples
248.48,3.6,there's patterns in that data that
250.239,4.161,they're using to predict future events
252.08,3.439,we can apply that to healthcare but it's
254.4,3.2,really important
255.519,3.521,that predicting something to understand
257.6,2.159,that predicting something is not good
259.04,3.12,enough
259.759,3.521,you must have the data to act and
262.16,2.8,intervene
263.28,4.479,and especially in healthcare the
264.96,5.519,organizational wherewithal to intervene
267.759,3.121,it it's one thing to predict what videos
270.479,2.72,i might
270.88,3.28,want to view next or what things i might
273.199,2.0,want to buy next
274.16,2.64,it's a different thing to start
275.199,3.041,recommending care based on predictive
276.8,3.76,analytics so in healthcare
278.24,3.84,the stakes are higher but the rewards
280.56,3.199,are potentially much greater and it's
282.08,2.48,important for an organizational to buy
283.759,4.481,into that
284.56,5.6,to that risk balance and also to
288.24,3.76,ensure that the analytics are
