second,duration,transcript
0.16,3.6,so a quantum computer is a system that
2.32,3.2,uses quantum properties like
3.76,3.039,superposition and entanglement to
5.52,2.88,perform computations
6.799,3.281,but the quantum computers are being
8.4,2.88,built are doing different things and are
10.08,2.8,using different hardware
11.28,3.519,so in this video let's clear up some
12.88,3.68,terminology on universal gate-based
14.799,3.041,quantum computers and quantum annealers
16.56,2.879,talk about the different hardware
17.84,2.8,implementations and the algorithms that
19.439,2.961,these computers can run
20.64,3.36,and cap it all off with an analysis of
22.4,3.92,what makes a good quantum computer
24.0,3.199,using the divincenzo criteria and ibm's
26.32,2.64,quantum volume
27.199,3.361,and this is also you don't get fooled by
28.96,3.279,silly pop science articles that talk
30.56,3.44,about the sky is falling because we've
32.239,3.84,gotten a certain number of qubits
34.0,3.44,because remember cubic counts don't
36.079,3.681,matter well okay
37.44,4.639,so they do matter some but a handful of
39.76,4.4,amazing qubits is way better than a
42.079,3.521,million cubits that just don't work so
44.16,3.44,just like gpus can process
45.6,4.4,graphics information way faster than
47.6,3.52,cpus certain problems can be solved
50.0,3.28,polynomially
51.12,4.24,or exponentially faster using quantum
53.28,4.0,algorithms by exploiting these effects
55.36,3.76,of superposition and entanglement but
57.28,2.48,what is a quantum annealer and what can
59.12,1.84,it do
59.76,3.119,while they rely on the same quantum
60.96,2.399,mechanical concepts annealers are really
62.879,2.32,good for
63.359,3.521,optimization problems where you can
65.199,4.001,quickly search over a space
66.88,3.76,and find an optimal solution for that
69.2,3.12,you can think of this as looking over a
70.64,2.479,landscape and finding out where the low
72.32,2.88,point is
73.119,3.68,an annealer does that quantum annealers
75.2,3.599,are built for translating quantum
76.799,3.121,unconstrained binary optimization or
78.799,3.041,cubo problems
79.92,3.92,analyzing problems onto quantum hardware
81.84,3.2,efficiently the problems this can solve
83.84,3.279,are traveling salesman
85.04,3.92,scheduling problems optimal placement
87.119,2.96,problems graph coloring problems and
88.96,2.799,even solving games
90.079,3.601,the d-wave machine is probably the most
91.759,3.841,famous example of a quantum annealer
93.68,3.439,it's built using superconducting qubits
95.6,2.24,which is a design based on having a
97.119,2.481,cooper pair
97.84,3.12,which is a pair of electrons or some
99.6,3.36,other fermion with
100.96,3.519,a josephson junction this is actually
102.96,3.519,the same type of qubit that's used for
104.479,4.161,many universal gate quantum computers
106.479,4.561,so they also have this super cool gold
108.64,4.08,steampunk chandelier looking thing which
111.04,3.92,by the way is called a dilution fridge
112.72,3.92,or a creostat this dilution fridge takes
114.96,3.6,the superconducting chip and actually
116.64,2.96,cools it down to temperatures below 15
118.56,2.879,millikelvin
119.6,3.6,then this big box is actually shielding
121.439,3.441,from electromagnetic interference
123.2,3.279,achieved using a radio frequency
124.88,2.239,shielded enclosure and a magnetic
126.479,2.161,shielding
127.119,3.441,since qubits are controlled by this
128.64,4.0,frequency and are very delicate we don't
130.56,2.399,want any outside forces interfering with
132.64,2.16,them
132.959,3.92,for example crosstalk when we try and
134.8,3.28,affect one qubit but accidentally end up
136.879,3.281,affecting another as well
138.08,3.84,so that sounds pretty standard so far
140.16,3.76,right it's the same hardware as these
141.92,3.679,universal gate-based quantum machines so
143.92,3.44,what makes this a quantum annealer
145.599,3.921,the layout of the quantum computer is
147.36,3.92,absolutely the key for putting this cubo
149.52,3.6,and icing objective functions into a
151.28,4.08,format that d-wave can understand
153.12,3.92,and doing so really efficiently binary
155.36,2.32,objective functions can be looked at as
157.04,2.4,graphs
157.68,3.52,and these graphs can be translated onto
159.44,3.36,the quantum hardware so you can take
161.2,3.28,this optimization problem and you
162.8,2.799,construct the hamiltonian equation we
164.48,2.8,need to minimize
165.599,3.041,you can represent it with this graph
167.28,2.72,where the nodes are a and b
168.64,3.04,with the weights corresponding to the
170.0,3.599,equation and the edge between them
171.68,3.839,a b with the weight 7. if this is a
173.599,3.601,traveling salesman problem the 5 and 7
175.519,2.64,can correspond to the time they spend in
177.2,2.8,each location
178.159,4.0,and edge between is the distance between
180.0,4.0,the city d-wave has a couple chip
182.159,4.16,designs the chimera and the pegasus
184.0,4.0,and the pegasus is the latest one this
186.319,3.28,pegasus and chimera structure is
188.0,3.28,optimized to take the graph problem and
189.599,3.441,translate it onto the quantum chip
191.28,3.12,so the chimera hardware basically takes
193.04,2.88,these superconducting qubits and
194.4,2.88,arranges them in a way that you have a
195.92,2.48,unit cell of qubits
197.28,2.72,so the nodes that we have in the
198.4,3.28,equation are mapped to qubits and the
200.0,3.2,edges are mapped to couplers
201.68,3.36,so since we're looking at it like a
203.2,3.36,landscape physics says that everything
205.04,3.6,wants to be in the lowest energy state
206.56,4.0,configuration or the ground state
208.64,4.08,the minimization of that function is the
210.56,3.92,lowest energy state of the whole system
212.72,3.92,so we apply a magnetic field to these
214.48,3.92,qubits changing the superposition and
216.64,2.879,controlling the probability of it being
218.4,2.72,zero or one
219.519,3.761,you can do the same thing with a coupler
221.12,4.399,and that correlates these two qubits
223.28,4.48,so what is the actual annealing part
225.519,3.36,well in thermal annealing we use heat to
227.76,3.52,raise the temperature of
228.879,4.241,say some material when it slowly cools
231.28,2.48,it wants to go back to the lowest energy
233.12,2.479,state
233.76,3.44,for quantum annealing instead of heat
235.599,3.121,it's quantum fluctuations
237.2,3.679,we set up the quantum problem in a
238.72,4.0,hamiltonian and it slowly evolves
240.879,3.601,just like a heated up metal slowly
242.72,3.76,cooling down evolves into its lowest
244.48,4.0,energy state but you may be wondering if
246.48,3.52,it's more limited in the algorithms but
248.48,3.119,is using the same hardware
250.0,3.28,why would we even want to build this
251.599,3.601,annealer the answer is is that the
253.28,3.919,annealer is that much more efficient at
255.2,3.599,solving these optimization problems than
257.199,3.121,a quantum gate based computer is
258.799,3.441,so yes this quantum computer that's
260.32,4.08,universal gate based could do annealing
262.24,4.0,hence universal but it'd be a lot less
264.4,3.359,efficient the opposite is true as well
266.24,3.04,quantum annealers could do other
267.759,3.041,algorithms but it's going to be way less
269.28,2.0,efficient than a gate-based quantum
270.8,2.399,computer
271.28,3.6,so what is universal gate-based quantum
273.199,3.44,computing these quantum systems have a
274.88,3.36,way broader application this system
276.639,4.081,relies on building really reliable
