second,duration,transcript
0.0,3.439,web development is the best job in the
1.92,3.68,world you build on a platform with
3.439,4.001,nearly 5 billion daily active users all
5.6,4.16,connected together like the neurons of a
7.44,4.48,global super intelligent brain a system
9.76,4.16,that can cure disease eliminate poverty
11.92,3.599,advance science and stuff like that but
13.92,3.84,mostly it's used to share memes create
15.519,4.161,parasocial relationships amplify drama
17.76,3.439,and most importantly make tons and tons
19.68,2.88,of money if you want to get into it
21.199,3.041,you're gonna need to know some stuff
22.56,4.16,like a lot of stuff in web development
24.24,4.16,101 we'll take a look at a 101 different
26.72,3.92,concepts that you'll need to know when
28.4,4.08,building full stack web apps this is the
30.64,3.759,internet it's a network of billions of
32.48,4.0,machines connected together what do you
34.399,3.68,write to it like mail no a lot of people
36.48,3.2,use it and communicate i guess they can
38.079,3.681,communicate with nbc writers and
39.68,4.0,producers alison can you explain what
41.76,4.08,internet is it was officially born on
43.68,4.16,january 1 1983 thanks to the
45.84,3.6,establishment of the internet protocol
47.84,3.199,suite which standardized the way these
49.44,3.52,computers communicate the internet
51.039,3.761,protocol is used to identify different
52.96,3.919,computers on the network by assigning
54.8,3.84,each one of them a unique ip address
56.879,3.68,these computers can then send data back
58.64,4.0,and forth with the transmission control
60.559,4.081,protocol it breaks data into a bunch of
62.64,3.2,small packets kind of like puzzle pieces
64.64,2.88,then sends them through a bunch of
65.84,3.44,physical components like fiber optic
67.52,3.599,cables and modems before they're put
69.28,3.199,back together by the receiving computer
71.119,3.281,you can think of the internet as
72.479,4.0,hardware but the internet is not the
74.4,4.16,same thing as the web the world wide web
76.479,3.921,is like software that sits on top of the
78.56,3.76,internet where people can access web
80.4,3.759,pages with the hypertext transfer
82.32,4.24,protocol what's special about it is that
84.159,5.201,it gives every page of content a uniform
86.56,4.8,resource locator or url humans typically
89.36,3.84,use a tool called a web browser to
91.36,4.0,access a url where it can be rendered
93.2,4.0,visually on their screen the browser is
95.36,3.759,called the client because it's consuming
97.2,4.0,information but on the other end of that
99.119,4.401,url there's another computer called a
101.2,4.0,server it received an http request from
103.52,3.52,the client then sent a response
105.2,4.16,containing the web page content these
107.04,3.92,are called http messages but more on
109.36,3.92,that later what's interesting is that
110.96,5.6,every web page has a unique domain name
113.28,5.28,like fireship.io or example.com a domain
116.56,4.239,name can be registered by anyone via a
118.56,4.4,registrar who's accredited by icann a
120.799,3.68,nonprofit responsible for overseeing
122.96,3.439,namespaces on the internet when you
124.479,3.361,navigate to a domain in a browser it
126.399,3.28,gets routed through the domain name
127.84,3.92,system that maps these names to an
129.679,3.681,actual ip address on a server somewhere
131.76,3.52,dns is like the phone book of the
133.36,3.68,internet now when you look at a webpage
135.28,4.319,the actual content you see is
137.04,4.32,represented by hypertext markup language
139.599,4.0,most browsers have devtools where you
141.36,4.0,can inspect the structure of the html at
143.599,3.921,any time to build your own web page
145.36,4.959,you'll want a text editor like vs code
147.52,4.799,an html document is just a collection of
150.319,4.081,elements where an element is an opening
152.319,3.92,and closing tag with some content in the
154.4,3.919,middle like a paragraph and heading it
156.239,4.321,also has elements that handle user input
158.319,4.241,like the select and input elements which
160.56,3.6,are used to build forms in addition
162.56,3.84,elements can have one or more attributes
164.16,4.24,to change their behavior for example an
166.4,3.68,input can have a type like text or
168.4,3.36,number which the browser will render
170.08,3.519,differently to collect the appropriate
171.76,5.28,value but the element that puts the
173.599,5.521,hypertext in html is the a tag or anchor
177.04,3.839,it's a link that allows one page to
179.12,3.759,navigate to a different page based on
180.879,3.921,its url these elements are nested
182.879,4.161,together in a hierarchy to form the
184.8,4.24,document object model or dom from the
187.04,3.919,root element a web page is split into
189.04,4.16,two parts the head contains invisible
190.959,4.0,content like metadata and a title then
193.2,3.679,we have the body for the main content
194.959,3.841,that the end user actually sees the
196.879,3.921,reason we wrap everything in tags is to
198.8,4.0,give browsers and bots hints about the
200.8,3.76,semantic meaning of the web page this
202.8,3.28,allows search engines to display results
204.56,3.36,properly and also helps with
206.08,3.76,accessibility for devices like screen
207.92,4.0,readers that allow anybody regardless of
209.84,4.64,disability to enjoy the content my
211.92,4.399,computer reads me the text bro smash
214.48,3.039,that like button and subscribe one of
216.319,3.92,the most common elements you'll come
217.519,5.041,across is div or division to define a
220.239,3.761,section of the webpage on its own a div
222.56,3.28,might not seem to do anything and
224.0,3.76,currently produces this plain black and
225.84,3.679,white website that begs the question how
227.76,3.199,do we make this website look cool the
229.519,3.92,second language you'll need to learn as
230.959,4.56,a web developer is cascading stylesheets
233.439,4.401,or css which allows you to change the
235.519,3.92,appearance of the html elements one way
237.84,3.759,to accomplish that is with an inline
239.439,4.0,style using the style attribute on an
241.599,4.161,element the style itself contains a
243.439,3.761,collection of properties and values that
245.76,3.039,change the appearance of the element
247.2,3.599,like we might make the background color
248.799,3.841,black and the text color red what we've
250.799,3.681,created here is an inline style that
252.64,4.159,will only be applied to this one element
254.48,4.08,however css cascades which means it can
256.799,3.28,be applied to multiple elements at the
258.56,3.44,same time providing better code
260.079,4.081,reusability another option is to move
262.0,3.84,our code into a style tag but to make
264.16,3.759,the code work we'll first need to define
265.84,4.56,a selector so it knows which elements to
267.919,4.081,target a selector for example can target
270.4,3.84,all of the paragraph elements on the
272.0,4.56,page but that's too broad we can be more
274.24,3.84,granular by defining a class that style
276.56,3.28,can then be applied to one or more
278.08,3.28,elements with the class attribute what's
279.84,3.52,interesting though is that we now have
281.36,4.24,classes that apply different styles to
283.36,4.16,the same element css contains a bunch of
285.6,3.76,specificity rules that determine which
