second,duration,transcript
4.23,6.57,[Music]
9.36,2.8,what is going on guys welcome back in
10.8,3.52,today's we're going to talk about
12.16,3.12,three-dimensional plotting in matplotlib
14.32,2.719,which means we're going to make
15.28,3.919,visualizations in three dimensions
17.039,4.0,rather than only two dimensions and i
19.199,3.441,have made a video on this already on my
21.039,3.841,channel it's quite old it's part of the
22.64,4.0,data science tutorial series uh it's low
24.88,3.44,quality so i'm going to make a new video
26.64,4.24,here with more information with better
28.32,4.079,quality and better explanations so let's
30.88,4.4,get right into it we're going to start
32.399,5.84,by importing matplotlib
35.28,5.68,dot pi plot s plt
38.239,3.921,and we're going to also import numpy as
40.96,2.72,np
42.16,3.28,now we're going to use numpy mainly for
43.68,3.199,the generation of data we're not going
45.44,3.68,to plot actual data we're going to
46.879,4.0,generate data using numpy and we're
49.12,3.119,going to use obviously matplotlib for
50.879,4.081,the plotting now one thing that you
52.239,4.721,might want to or might have to import
54.96,4.32,i'm not sure sometimes i needed it
56.96,4.079,sometimes i don't need it now in the
59.28,3.279,last try i did need it so i don't know
61.039,3.44,if it's actually necessary but we're
62.559,4.721,going to import from
64.479,5.841,mpl underscore toolkits
67.28,4.8,we're going to import mplot3d now again
70.32,3.6,the syntax highlighting is going to show
72.08,4.079,that we're actually not using it and
73.92,4.0,sometimes if i remove it it works
76.159,4.32,sometimes it says okay i don't know the
77.92,4.08,projection 3d and it doesn't work so for
80.479,3.761,some reason
82.0,3.92,i'm not sure if we need that or not but
84.24,3.12,if you want to make sure that it works
85.92,3.199,then you want to import this as well
87.36,3.36,it's part of matplotlid and of course as
89.119,3.441,always if you don't have
90.72,4.24,matplotlib installed then you're going
92.56,6.559,to say pip install
94.96,5.839,matplotlib and numpy like that
99.119,2.881,all right so those are the imports and
100.799,3.521,the first thing we're going to do is
102.0,5.28,we're going to talk about plotting
104.32,4.56,single three-dimensional points in order
107.28,3.76,to do that obviously we just have to
108.88,3.44,specify coordinates but before we can
111.04,3.84,actually start plotting in three
112.32,4.64,dimensions we need to create an axis
114.88,3.44,and this axis has to have a 3d
116.96,4.4,projection now we have different
118.32,5.2,projections we don't have only uh 3d
121.36,4.24,there is in the map of the documentation
123.52,4.08,i think a large list of different
125.6,3.76,projections that we can use
127.6,4.639,but if you want to create a new axis you
129.36,3.959,basically say ax or whatever you want
132.239,4.72,equals
133.319,5.961,plt.axis and then the projection
136.959,3.92,in this case is going to be 3d now the
139.28,3.44,projection
140.879,3.681,is basically the type of coordinate
142.72,3.28,system you have the basic default which
144.56,3.12,is the two dimensions we have
146.0,4.08,three-dimensional and we have certain
147.68,4.08,specific kinds of plots for different
150.08,4.159,scientific purposes or anything like
151.76,4.96,that uh however we are going to pick 3d
154.239,4.881,and then we're going to just say ax dot
156.72,4.08,scatter so the basic scatter function
159.12,4.08,and this time we provide three
160.8,5.6,coordinates not just two so we have x y
163.2,5.92,and z let's say three five seven for
166.4,6.64,example and then plt
169.12,5.839,show we're going to click on run
173.04,3.44,and we're going to hopefully see a
174.959,3.841,three-dimensional plot now i'm not going
176.48,4.32,to rotate too much here because when i'm
178.8,3.6,recording and i'm using math a little
180.8,5.04,bit at the same time
182.4,5.44,it's usually very laggy but you can also
185.84,3.6,move this around here as you can see
187.84,4.16,it's lagging i hope my recording is not
189.44,4.4,crashing on me here uh but basically we
192.0,3.36,can turn this around we can look at it
193.84,3.119,from different perspectives you can see
195.36,3.12,the coordinates here and this is the
196.959,3.681,point that we actually plotted so i'm
198.48,3.839,not gonna rotate too much throughout
200.64,3.12,this video but that's how you do it you
202.319,2.56,just use the mouse
203.76,2.64,um
204.879,3.601,and that's how you plot a single point
206.4,5.04,now if you wanna make a scatter plot
208.48,5.039,based on multiple arrays of individual
211.44,4.64,coordinates we're going to just say
213.519,4.241,scatter plots here
216.08,3.28,we are going to create a new axis here
217.76,3.36,as well or actually we don't have to do
219.36,2.799,all this in a row let's just replace
221.12,2.479,this
222.159,4.321,with uh
223.599,5.28,with new code we're going to again do
226.48,3.26,plt axes
228.879,3.28,projection
229.74,5.779,[Music]
232.159,7.041,3d and then we're going to say
235.519,6.881,x data equals npa range
239.2,5.84,and a range is basically you choose a
242.4,4.8,starting point you choose an end point
245.04,3.52,and then the step size it's not like lin
247.2,3.92,space and length space you choose a
248.56,4.08,starting point an end point and then how
251.12,4.16,many values you want to generate in
252.64,5.439,between here we specify the step size so
255.28,5.84,this would mean uh start from zero and
258.079,4.881,with a step size of 0.1 increase until
261.12,4.079,you get to 50.
262.96,5.679,we're going to do that for x we're going
265.199,4.401,to then uh also generate y data the same
268.639,2.721,way
269.6,4.96,uh or actually let's do it in a
271.36,4.8,different way let's say x data equals np
274.56,3.04,dot because we don't want to have a
276.16,3.36,structure we want to have some random
277.6,5.12,stuff here so we're going to say np
279.52,5.2,random dot rand int
282.72,4.8,from 0 to 100
284.72,4.4,we want to have the shape 500
287.52,2.88,uh like that so basically one
289.12,2.72,dimensional
290.4,4.88,uh and then we're going to do the same
291.84,5.68,thing for the y data for the z data and
295.28,4.4,yeah that's basically just 100
297.52,4.399,uh or just 500
299.68,5.12,random points and for this we're just
301.919,4.241,going to say ax dot scatter
304.8,2.88,x data
306.16,2.8,y data
307.68,2.88,z data
308.96,5.28,like that
310.56,3.68,and of course plt dot show
314.8,4.56,so that should look quite messy now
318.08,3.839,there you go
319.36,4.32,again we can rotate but it's going to be
321.919,3.601,laggy but here you can see the
323.68,3.76,individual data points
325.52,3.519,so this is a very basic scatter plot and
327.44,3.599,of course we can do the same thing as
329.039,4.88,always now i'm not sure what the
331.039,5.121,individual parameters were was it marker
333.919,4.72,or was it m i'm not sure
336.16,4.319,let's just try with
338.639,3.681,with marker but i think it was m or
340.479,3.841,something
342.32,3.36,no there you go it was actually marker
344.32,3.04,so you can change the marker you can
345.68,3.12,change the color map you can change the
347.36,4.96,alpha value
348.8,5.92,so we can say alpha equals 0.1 i mean i
352.32,3.68,think this should work here
354.72,3.36,there you go then we have more
