second,duration,transcript
0.39,4.54,"If you punch your credit card number into
a website and hit “submit”, I bet you"
4.93,4.33,"don’t want to have twenty fraudulent charges
on your bank account a week later. This is"
9.26,5.34,"why all serious online retailers use encryption
protocols. In this video, I want to tell you"
14.6,3.48,"how quantum mechanics can help us keep secrets
safe."
18.08,5.089,"Before I get to quantum cryptography, I briefly
have to tell you how the normal, non-quantum"
23.169,5.36,"cryptography works, the one that most of the
internet uses today. If you know this already,"
28.529,3.611,"you can use the YouTube tool bar to jump to
the next chapter."
32.14,5.009,"The cryptographic codes that are presently
being used online are for the most part public"
37.149,5.861,"key systems. The word “key” refers to
the method that you use to encrypt a message."
43.01,5.09,"It’s basically an algorithm that converts
readable text or data into a mess, but it"
48.1,5.65,"creates this mess in a predictable way, so
that the messing up can be undone. If the"
53.75,5.179,"key is public, this means everybody knows
how to encrypt a message, but only the recipient"
58.929,1.82,knows how to decrypt it.
60.749,5.031,"This may sound somewhat perplexing, because
if the key is public and everybody knows how"
65.78,6.43,"to scramble up a message, then it seems everybody
also knows how to unscramble it. It does not"
72.21,5.39,"sound very secure. But the clever part of
public key cryptography is that to encode"
77.6,5.39,"the message you use a method that is easy
to do, but hard to undo."
82.99,4.41,"You can think of this as if the website you
are buying from gives you, not a key, but"
87.4,4.649,"an empty treasure chest that locks when you
close it. You take the chest. Put in your"
92.049,5.201,"credit card number, close it. And now the
only person who can open it, is the one who"
97.25,6.7,"knows how to unlock it. So your message is
safe to send. In practice that treasure chest"
103.95,4.91,"is locked by a mathematical problem that is
easy to pose but really hard to solve."
108.86,4.98,"There are various mathematical problems that
can, and that are being used, in cryptographic"
113.84,5.27,"protocols for locking the treasure chest.
The best known one is the factorization of"
119.11,5.58,"a large number into primes. This method is
used by the algorithm known as RSA, after"
124.69,4.629,"its inventors Rivest (i as in kit), Shamir,
and Adleman. The idea behind RSA is that if"
129.319,4.511,"you have two large prime numbers, it is easy
to multiply them. But if you only have the"
133.83,4.92,"product of the two primes, then it is very
difficult to find out what its prime-factors"
138.75,3.36,"are.
For RSA, the public key, the one that locks"
142.11,5.43,"the treasure chest, is a number that is derived
from the product of the primes, but does not"
147.54,5.39,"contain the prime factors themselves. You
can therefore use the public key to encode"
152.93,5.22,"a message, but to decode it, you need the
prime factors, which only the recipient of"
158.15,5.729,"your message has, for example the retailer
to whom you are sending your credit card information."
163.879,6.22,"Now, this public key can be broken, in principle,
because we do know algorithms to decompose"
170.099,5.371,"numbers into their prime factors. But for
large numbers, these algorithms take very,"
175.47,5.46,"very long, to give you a result, even on the
world’s presently most powerful computers."
180.93,4.919,"So, maybe that key you are using can be broken,
given a hundred thousand years of computation"
185.849,5.331,"time. But really who cares. For all practical
purposes, these keys are safe."
191.18,4.91,"But here’s the thing. Whether or not someone
can break one of these public keys depends"
196.09,5.18,"on how quickly they can solve the mathematical
problem behind it. And quantum computers can"
201.27,6.13,"vastly speed up computation. You can see the
problem: Quantum computers can break cryptographic"
207.4,6.66,"protocols, such as RSA, in a short time. And
that is a big security risk."
214.06,5.1,"I explained in a previous video what quantum
computers are and what to expect from them,"
219.16,4.92,"so check this out if you want to know more.
But just how quantum computers work doesn’t"
224.08,5.36,"matter so much here. It only matters that
you know, if you had a powerful quantum computer,"
229.44,5.76,"it could break some public key cryptosystems
that are currently widely being used, and"
235.2,1.85,it could do that quickly.
237.05,4.359,"This is a problem which does not only affect
your credit card number but really everything"
241.409,5.621,"from trade to national security. Now, we are
nowhere near having a quantum computer that"
247.03,5.14,"could actually do such a computation. But
the risk that one could be built in the next"
