second,duration,transcript
0.64,4.08,"Imagine that you are on a long drive, when you 
suddenly hear your stomach begin to grumble."
5.44,4.56,"You decide to head to a fast food joint, 
where you order a hot dog and a hamburger.  "
10.0,2.8,"They're put in similar boxes and 
handed to you through the window."
13.68,3.76,"You have no way of knowing which box has 
the hot dog and which has the burger."
18.4,3.28,"Obviously, once you open one 
of the boxes and see a burger,  "
21.68,2.88,"you will immediately know that 
the other one has the hot dog."
25.12,3.84,"This means that the hot dog and the 
burger and entangled in a certain way."
29.68,4.08,"This is roughly the idea upon which 
Quantum Entanglement is based."
39.561,5.04,"follows the rules of Classical Mechanics. 
This is a study of the motion of bodies in  "
44.601,4.56,"accordance with the general principles 
first laid down by Sir Isaac Newton."
49.161,2.96,"But what about objects that 
are really, REALLY small?  "
52.761,3.12,"Do they also follow these same 
laws of classical mechanics?"
56.761,1.92,"Believe it or not, the answer is NO!"
59.721,3.84,"When things get that small, 
Quantum Mechanics takes over,  "
63.561,2.48,and things start to get extremely weird...
66.841,4.48,"Quantum mechanics is the language of tiny 
particles like photons—the particles that  "
71.321,6.8,"make up light—and particles inside an atom, such 
as protons, neutrons, and electrons. To give you  "
78.121,5.92,"a rough idea as to the size of these particles, 
consider this—the tip of a needle is so large  "
84.041,6.8,"that it could fit billions of electrons. THAT'S 
how incredibly small electrons truly are."
91.561,4.56,"Now that you have a general idea of the 
size of electrons, let’s talk about identities."
97.721,5.04,"If someone were to ask “Who are you?”, what 
would you say? Probably your name, right?"
103.641,2.64,"Now, let’s assume that an anthropomorphic raccoon  "
106.281,3.84,"from another planet asks you the same 
question, what would you say then?"
110.841,3.6,"Perhaps...“I am Peter Quill, a human from Earth.”"
115.241,3.6,"In this case, you specified 
3 levels of identification."
119.721,7.92,"Similarly, in a 3D space, x,y and z coordinates 
are used to specify an object’s exact location,  "
127.641,3.76,"as no two objects can have the 
same x,y and z coordinates.  "
132.281,3.12,If you consider a 4-Dimensional space—with time  
135.401,5.28,"(t) as an additional dimension—then no two 
particles can have the same 4 coordinates."
141.561,5.84,"In the same way, an electron has 4 levels of 
identification, consisting of 4 quantum numbers.  "
148.121,3.76,"Every electron within an atom has 
a unique set of quantum numbers;  "
152.521,3.92,"no two electrons can share the same 
combination of 4 quantum numbers."
157.321,3.52,"Electrons can be identified using these 
4 quantum numbers, which are called:"
