second,duration,transcript
0.0,3.6,hey everyone welcome back and today
2.159,3.68,let's do something a little bit
3.6,4.72,different let's talk about the top six
5.839,5.281,coding interview concepts that you need
8.32,5.04,for interviews and by top six i mean the
11.12,4.08,top six most common at least in my
13.36,3.679,experience i think some people might
15.2,3.44,disagree with a couple of these but
17.039,3.841,overall these are definitely not
18.64,4.559,controversial i think generally speaking
20.88,4.319,these are six of the most common uh you
23.199,4.641,know things that come up in interviews
25.199,5.041,and spoiler alert dynamic programming is
27.84,4.239,not gonna show up on my list for how
30.24,3.999,difficult dynamic programming is and how
32.079,4.561,much it's talked about it actually
34.239,4.081,doesn't show up that much in interviews
36.64,3.84,i think it's kind of funny people spend
38.32,3.84,so much time studying that because they
40.48,3.04,think it's really difficult and they
42.16,3.52,feel like it's definitely going to show
43.52,3.68,up in their interview well chances are
45.68,2.879,it's actually not going to show up in
47.2,2.8,your interview there's a lot of
48.559,3.52,companies that have actually banned
50.0,4.48,asking dynamic programming questions and
52.079,4.32,even the ones that do ask it don't ask
54.48,4.0,it super frequently so i think your time
56.399,4.16,would be better invested studying some
58.48,4.48,of these other more common
60.559,3.761,patterns and concepts and definitely
62.96,3.12,feel free to let me know if you'd like
64.32,3.2,to see more videos like this or maybe
66.08,3.6,other videos i've seen a lot of
67.52,4.08,suggestions for people asking about my
69.68,3.84,google interview experience and other
71.6,3.839,videos like that so feel free to suggest
73.52,4.959,it but okay now let's get into the top
75.439,4.801,six list let's start with number six and
78.479,3.921,that is going to be a data structure
80.24,5.04,called a heap you may or may not be
82.4,4.719,familiar with heaps but they are a very
85.28,3.44,common data structure that comes up
87.119,3.841,there's some problems where actually the
88.72,4.0,entire problem itself is just using a
90.96,3.199,heap like okay you know there's some
92.72,2.8,operation you're trying to do maybe
94.159,4.161,you're trying to get the minimum value
95.52,5.36,or the maximum value or one problem that
98.32,4.64,comes up very frequently is the top k
100.88,4.48,values or something like that and that's
102.96,4.0,really what a heap is designed to do
105.36,4.16,because with a heap there's two
106.96,4.24,variations a minimum heap and a maximum
