second,duration,transcript
0.0,2.639,none of us have worked on the questions
1.56,3.3,that we are talking about in system
2.639,3.66,design but look at this design
4.86,2.55,autocorrect
6.299,4.171,system
7.41,3.06,[Music]
13.08,3.9,hi everyone this is gkcs today we're
15.179,3.18,going to be talking about interviews for
16.98,3.299,software engineering
18.359,4.741,and at the end of this video you'll know
20.279,4.981,what those are and how you can prepare
23.1,4.019,based on what they are looking for
25.26,3.359,you're not trying to game the system
27.119,3.301,you're trying to understand the system
28.619,3.901,so that you can perform better and
30.42,5.1,articulate yourself better to give the
32.52,7.08,results that they are looking for
35.52,5.76,okay so let's start with the three major
39.6,2.52,parts of any software engineering
41.28,2.58,interview
42.12,5.58,the first one is a coding interview
43.86,6.359,coding is usually around algorithms and
47.7,5.82,data structures the second part is a
50.219,5.281,system design or architecture interview
53.52,2.94,earlier this used to be a technical
55.5,3.059,interview
56.46,4.56,the third part is the behavioral
58.559,4.8,interview it's also called The Profit
61.02,5.66,interview is this person fit
63.359,3.321,professional to join this company
67.02,7.139,the coding interview is
70.14,5.64,an IQ test okay largely an IQ test plus
74.159,4.081,basic skills
75.78,5.04,and we want to measure how smart you are
78.24,4.86,the second thing is system design or
80.82,7.619,technical interviews can the candidate
83.1,7.86,perform at the given position well and
88.439,5.401,here's the important part now
90.96,4.56,at this state in this situation can this
93.84,4.139,candidate perform well
95.52,5.04,at the given job role we are trying to
97.979,3.901,measure here skills
100.56,4.379,and the important thing is you need to
101.88,5.419,demonstrate these skills
104.939,5.521,in a IQ test there's also knowledge
107.299,4.78,which is tested finally we come to
110.46,4.38,behavioral interviews
112.079,6.781,the intent is to find out will a
114.84,7.099,candidate perform at the given role now
118.86,5.64,and later and what is being measured
121.939,4.72,motives of a candidate
124.5,4.619,what is the intent of the candidate when
126.659,5.16,he's sitting for this interview
129.119,4.801,okay so what kind of test mechanism
131.819,4.261,should we use for these three types of
133.92,3.36,interviews again you probably know about
136.08,3.239,this but I'm just trying to break it
137.28,3.24,down and see exactly what's happening in
139.319,3.481,each interview
140.52,5.04,if you take the coding interview as the
142.8,5.46,name suggests you are asked to solve a
145.56,4.319,problem do DSA do dynamic programming
148.26,5.22,you know Computer Science is based on
149.879,7.621,that problem solving is the mechanism to
153.48,5.52,test this skill what do you have with
157.5,3.239,system design
159.0,6.3,given a situation
160.739,7.14,design or code a solution finally you
165.3,4.38,have behavioral interviews your past and
167.879,4.681,maybe to some extent your current is
169.68,5.94,dissected to get your future your past
172.56,4.92,meaning around 18 months in the past
175.62,5.339,till date
177.48,6.18,tell us what situations you faced what
180.959,3.961,were particularly memorable or
183.66,2.82,challenging situations challenging is
184.92,4.2,usually memorable
186.48,5.16,give us those situations and then we
189.12,4.56,dive into what happened exactly what did
191.64,3.12,you do what did you think what did you
193.68,3.72,feel
194.76,4.559,and based on that we will not really
197.4,4.02,predict your future
199.319,5.041,but we'll assign you
201.42,5.58,a bucket okay so it's like hashing got
204.36,5.34,up into something or looking at his past
207.0,4.739,data points to predict his future in the
209.7,3.899,last 18 months he was working on a
211.739,3.42,startup one particularly challenging
213.599,4.741,part was when he was migrating his
215.159,5.94,entire database from zero code solution
218.34,4.08,to a engineering solution like an
221.099,3.06,in-house solution
222.42,2.94,and if you want a little more details
224.159,3.901,you can look at critical incident
225.36,4.32,interviews CII and what did you think
228.06,3.36,what did you feel sounds like a
229.68,2.94,structured interview star pattern is one
231.42,3.66,of the structured ways to talk about
232.62,5.339,this okay now let me talk about the pros
235.08,5.1,and cons coding algorithms
237.959,4.081,a lot of preparation before you sit for
240.18,3.18,an interview three months of preparation
242.04,3.96,definitely shows that you are interested
243.36,4.32,in this company what about fast helps
246.0,3.42,you go through hundreds of profiles
247.68,4.139,which would otherwise be waiting forever
249.42,5.16,it is its scalable absolutely questions
251.819,5.281,can be devised quickly put quickly
254.58,5.1,tested accurately and the best part is
257.1,4.919,the Judgment can be automated
259.68,5.04,judgment in practice
262.019,4.501,judgment in the interview can be taken
264.72,3.72,care of through an online judge
266.52,3.84,okay a remote code executor can tell you
268.44,4.56,whether your code runs correctly or
270.36,4.86,incorrectly it's an amazing feature of
273.0,4.8,coding interviews just coding interviews
275.22,4.979,that you are able to automate this
277.8,4.98,is it objective absolutely no one argues
280.199,4.261,that is it easy to set the syllabus yes
282.78,5.76,it is
284.46,7.019,just need some basic undergrad skills to
288.54,5.76,test a candidate on their binary search
291.479,4.801,it's it's like learning ABCD for a
294.3,3.72,computer engineer so you should know
296.28,4.5,about it
298.02,5.64,what about relevance to the job
300.78,5.88,there's some criticism to this criticism
303.66,5.4,but the fact is there is very little if
306.66,4.259,at all any relevance to your job role
309.06,4.44,and what happens in the interview for a
310.919,4.941,coding interview what about false
313.5,2.36,negatives
316.44,3.3,I would say this is a incorrect
318.18,3.54,criticism
319.74,3.72,false negatives means many people who
321.72,5.34,deserve to be on the job
323.46,5.1,are rejected because the test is
327.06,2.94,throwing them out
328.56,4.26,I would say
330.0,5.94,it has a lot of false positives also
332.82,5.4,people who join using the coding or
335.94,5.22,algorithms rounds
338.22,4.38,have little to no demonstration of
341.16,2.819,whether they can actually perform in the
342.6,4.14,role or not
343.979,4.681,in my experience around 10 to 20 percent
346.74,3.84,of the candidates are not good the
348.66,4.259,second thing is system design or
350.58,3.6,technical interviews the pros of this
352.919,3.541,especially the low level design
354.18,5.04,interview is that it is job relevant
356.46,4.86,let's see if there are any problems is
359.22,4.319,it automated no
