second,duration,transcript
0.149,3.641,"Hello everyone. So far in the series on
data structures,"
3.79,4.04,"we have talked about some of the linear
data structures like array,"
7.83,5.939,"linked list, stack and queue. In all these
structure, data is arranged in a linear or"
13.769,3.631,"sequential manner, so we can call
them linear data structures"
17.4,4.84,"and we've also talked about tree which
is a non-linear data structure."
22.24,5.539,"Tree is a hierarchical structure. Now as
we understand data structures are ways to"
27.779,1.871,"store and organize data,"
29.65,3.94,"and for different kinds of data we use
different kinds of data structures."
33.59,4.34,"In this lesson, we're going to introduce
you to another non linear data"
37.93,0.51,structure
38.44,4.41,"that has got its application in a wide
number of scenarios in computer science."
42.85,3.93,"It is used to model and represent a
variety of systems"
46.78,3.04,and this data structure is graph.
49.82,3.8,"When we study data structures, we often
first study them as"
53.62,3.45,"mathematical or logical models. Here
also,"
57.07,3.7,"we will first study graph as a
mathematical or logical model"
60.77,3.12,"and we will go into implementation
details later."
63.89,3.89,"Okay so let's get started. A graph just
like a tree"
67.78,3.199,"is a collection of objects or entities that
we call"
70.979,3.851,"nodes or vertices, connected to each
other through"
74.83,3.34,a set of edges. But in a tree
78.17,4.769,"connections are bound to be in a certain
way. In a tree that our rules"
82.939,3.331,"dictating the connection among the nodes.
In a tree with"
86.27,3.059,"N Nodes, we must have exactly"
89.329,3.551,N - 1 edges. One edge for
92.88,3.47,"each parent child relationship. As
we know an edge"
96.35,4.479,"in a tree is for a parent child
relationship and all nodes in a tree"
100.829,4.801,"except the root node would have apparent
would have exactly 1 parent"
105.63,4.83,"and that's why if they are N nodes, it
must be exactly N - 1 edges."
110.46,3.439,"In a tree, all nodes must be reachable
from the root"
113.899,4.051,"and there must be exactly one possible
path from root"
117.95,3.4,"to a node. Now in a graph there are no
rules"
121.35,3.839,"dictating the connection among the nodes.
A graph contains"
125.189,3.111,a set of nodes and a set of edges
128.3,3.57,"and edges can be connecting nodes in any
possible way."
131.87,3.869,"Tree is only a special kind of graph.
Now graph"
135.739,3.5,"as a concept has been studied
extensively in mathematics."
139.239,3.031,"If you have taken a course on discrete
mathematics"
142.27,4.99,"then you must be knowing about graphs
already. In computer science, we basically"
147.26,3.38,"study and implement the same concept
of graph from mathematics."
150.64,3.319,"The study of graph is often referred to
as"
153.959,3.301,graph theory. In pure mathematical terms
157.26,3.08,we can define graph something like this.
160.34,4.66,"A graph G is in order pair of a set
V of vertices"
165.0,5.31,"and a set E of edges. Now I'm using
some mathematical jargon here."
170.31,3.88,"An ordered pair is just a pair of
mathematical objects"
174.19,3.26,in which the order of objects in the pair
177.45,3.6,"matters. This is how we write and
represent an ordered"
181.05,4.28,"pair, objects separated by comma put
within parenthesis."
185.33,4.14,"Now because the order here matters. We
can say that V"
189.47,3.79,"is the first object in the pair and E
is the second object."
193.26,4.14,"An ordered pair A, B is not equal to B, A"
197.4,3.169,unless A and B are equal.
200.569,3.871,"In our definition of graph here, first
object in the pair"
204.44,5.53,"must always be a set of vertices and
the second object must be a set of edges"
209.97,3.579,"that's why we are calling the pair 
an ordered pair."
213.549,4.491,"We also have concept of unordered pair.
An unordered pair"
218.04,3.979,"is simply a set of two elements. Order is
not important here."
222.019,3.541,"We write an unordered pair using curly
brackets or braces."
225.56,3.75,"Because the order is not important here,
unordered pair"
229.31,5.16,"A, B is equal to B, A. It doesn't matter
which object is first and"
234.47,3.57,"which object is second. Okay coming back,
so"
238.04,3.919,"a graph of is an ordered pair of a set of
vertices and a set of"
241.959,4.881,"edges and G = (V,E) is a formal
mathematical notation"
246.84,3.94,"that we use to define a graph. Now I
have a graph drawn here"
250.78,4.269,"in the right. This graph is 8 vertices
and 10 edges."
255.049,4.231,"What I want to do is I want give some
names to these vertices"
259.28,3.69,"because each node in a graph must
have some identification."
262.97,3.94,It can be a name or it can be an index.
266.91,3.11,"I'm naming these vertices as V1, V2"
270.02,5.91,"V3, V4, V5 and so on, and this
naming is not indicative of any order."
275.93,3.459,"There is no 1st, 2nd and 3rd Node here. I could
give"
