second,duration,transcript
0.0,4.62,hey everyone my name is vishwas and
2.399,5.46,welcome to what I hope is the first of
4.62,5.04,many AI related videos on this channel
7.859,4.381,if you're curious about building your
9.66,4.559,own AI powered applications but don't
12.24,3.54,know where to start let me tell you
14.219,4.201,you're not alone
15.78,4.74,AI powered apps are all the reach these
18.42,3.42,days but getting started can seem
20.52,3.66,overwhelming
21.84,4.439,that is where I come in
24.18,5.339,this video I'm going to show you how to
26.279,5.701,use the open AI API to build a vanilla
29.519,3.54,Javascript app that responds to your
31.98,3.419,prompts
33.059,3.781,think of it as a very simple AI
35.399,3.66,assistant
36.84,4.2,this video will provide you with a solid
39.059,3.541,foundation to kick-start your journey in
41.04,4.039,building your own AI powered
42.6,2.479,applications
45.42,5.76,the first step to working with open AI
47.64,6.259,API is to obtain an Epi key
51.18,7.28,if you haven't already head to
53.899,4.561,platform.openai.com sign up
58.5,4.559,and create an account
61.44,4.26,once you're logged in
63.059,4.74,go to your profile
65.7,5.419,view API keys
67.799,5.881,and create a new secret key
71.119,5.461,give it a name and click on create
73.68,2.9,secret key
76.92,5.699,make sure to copy and securely store
79.68,6.92,this API key as it will be required for
82.619,8.401,accessing open ai's API services
86.6,7.54,once you have your API key for Step 2
91.02,4.38,in vs code create a folder called AI
94.14,4.88,JavaScript
95.4,5.759,and within this folder create an
99.02,6.76,index.html file
101.159,7.621,and an index.js file
105.78,5.64,the HTML file will contain the HTML and
108.78,4.019,CSS for our application while a
111.42,3.479,Javascript file will contain the
112.799,4.981,functions to communicate with the openai
114.899,5.341,API and update the UI with the fetched
117.78,5.76,response
120.24,5.239,next for step 3 let's build the user
123.54,5.88,interface for the application
125.479,6.521,since HTML and CSS are Technologies we
129.42,4.92,are familiar with I am going to copy
132.0,4.14,paste the necessary code to save us some
134.34,3.66,time
136.14,3.54,please take a look at the link in the
138.0,3.86,pinned comment if you want to pause the
139.68,5.58,video and do the same
141.86,6.099,now the UI is built using HTML and
145.26,5.1,Tailwind CSS but please feel free to use
147.959,5.161,a styling solution of your choice
150.36,5.879,you can write simple CSS classes or use
153.12,4.08,something like bootstrap completely up
156.239,2.761,to you
157.2,4.98,but let me walk you through a few parts
159.0,5.64,in the code of copy pasted
162.18,6.9,in the head section we link to the table
164.64,5.76,in CSS CDN and index.js in the body
169.08,4.2,section
170.4,6.24,we have a title that says streaming
173.28,6.06,openai completions in JavaScript
176.64,3.739,an input element to accept the user's
179.34,3.899,prompt
180.379,4.301,a button to start generating the AI
183.239,3.78,response
184.68,4.94,and a button to stop the generation
187.019,2.601,process
189.78,4.2,above the input element
191.76,4.559,we have an empty section where the
193.98,3.72,content retrieved from the API will be
196.319,5.521,populated
197.7,6.86,the section has an ID of result text
201.84,4.86,now please make a note that
204.56,4.959,cdn.tailwindcss.com should not be used
206.7,6.56,in production but is suitable for quick
209.519,6.72,prototyping like our AI assistant app
213.26,5.979,moving on to step 4 let's start our
216.239,5.28,application by setting up a Dev server
219.239,4.92,if you're using vs code you can install
221.519,4.981,the live server extension which will
224.159,4.22,allow you to open the HTML file with a
226.5,5.22,live server
228.379,7.78,so go to extensions
231.72,7.379,search for live server and install it
236.159,6.36,after installation
239.099,7.741,simply right click the HTML file
242.519,6.121,and select open with live server
246.84,5.179,you should now be able to view the UI
248.64,3.379,without any issues
252.06,5.399,we have the title
254.64,5.4,a label that says generated text
257.459,3.96,empty space where the AI response will
260.04,4.2,be populated
261.419,4.34,an input for the prompt a generate and a
264.24,4.679,stop button
265.759,5.741,now you might be wondering why we need a
268.919,5.041,Dev server instead of just double
271.5,4.02,clicking on the HTML file to open it in
273.96,4.679,the browser
275.52,5.16,the reason is that fetch requests which
