second,duration,transcript
9.02,7.27,okay so the last talk is a Ramona now a
14.1,4.74,moneys currently professor at the
16.29,6.6,weights money institute he received his
18.84,6.239,PhD in 1989 from the University of
22.89,3.869,California at Berkeley and the
25.079,4.371,interesting fact is that it was done
26.759,5.491,under the supervision of mono and bloom
29.45,4.93,he works in various fields of computer
32.25,5.22,science mainly the foundation of
34.38,6.02,cryptography and especially notable for
37.47,6.51,creating non-malay above cryptography
40.4,6.94,visual cryptography with adi shamir and
43.98,5.58,suggesting various methods for verifying
47.34,8.37,that users for computer systems are
49.56,10.44,human he was named an IAC are a fellow
55.71,5.7,in 2008 for fundamental contributions to
60.0,4.29,the scientific foundation of
61.41,6.419,cryptography and for sustained
64.29,9.15,educational leadership in cryptology so
67.829,8.461,this is what I found in Wikipedia thank
73.44,6.71,you so thank you for the invitation and
76.29,9.66,for the opportunity to speak in such a a
80.15,7.81,company so I'll talk as you heard i'll
85.95,7.47,talk about cryptography data structures
87.96,7.019,and match made in heaven so cryptography
93.42,4.43,is a very old subject but it really
94.979,6.93,started as an academic subject only in
97.85,8.53,the mid seventies of course we keep
101.909,7.681,papers of difficult and the RSA a insane
106.38,5.46,and I also started around that time is
109.59,4.98,like the earlier is computational
111.84,4.86,complexity theory and there is a very
114.57,5.399,tight relationship between the two
116.7,6.779,the key idea of the cryptography you can
119.969,5.491,say to use the intricate ability of some
123.479,3.631,problems to the adventure your advantage
125.46,3.24,the bad news of one area of the good
127.11,4.59,news of the other he really in order to
128.7,6.23,construct securities in based of that
131.7,8.43,and this theme there's been a great
134.93,6.76,great results the areas of complexity
140.13,5.1,and the cryptography is really
141.69,7.019,stimulated each other and there just to
145.23,6.69,mention the whole PCP a sprung from
148.709,5.011,started from a very from a question of
151.92,4.44,what happens when you want to get zero
153.72,3.78,knowledge without any conclusion you
156.36,4.969,won't have perfect zero knowledge
157.5,7.709,without any computational assumptions
161.329,6.641,and key results in one area and were
165.209,5.06,applied in the other in that played
167.97,6.47,against traffic old message in your
170.269,6.821,paper which is already pretty old by now
174.44,6.91,paper did an address which he gave to
177.09,6.299,Fox in Fox 97 to had the racer in the
181.35,5.16,subtitle of cryptography and complexity
183.389,5.371,match made in heaven so in homage to
186.51,6.21,this title we'll talk about a data
188.76,5.879,structure but before that news Shafie
192.72,5.19,Goldwasser and silver Macaulay are they
194.639,12.57,Turing Award winners of this year it was
197.91,11.34,just announced anyway and anyway the
207.209,4.471,fishes of this talk is that actually
209.25,6.09,cryptography data structures the area of
211.68,8.36,data structures are quite familiar they
215.34,7.649,really have enjoyed a very fertile a
220.04,4.63,connection now but I'm unlike the
222.989,3.84,computation completing the connection
224.67,4.679,with complexity which was usually
226.829,5.611,celebrated here are some how people hear
229.349,5.61,it and did not celebrate the fact that
232.44,4.74,you know i'm using this end and vice
234.959,4.471,versa and there are actually many
237.18,4.38,examples and then what I'll do in this
239.43,5.25,talk is give you some examples which of
241.56,6.95,course are very biased sample of a of
244.68,3.83,such developments
248.61,5.83,so let's start with the first example
252.67,3.45,it's not the first example that exists
254.44,3.359,but the first example I want to talk
256.12,6.54,about that's hellmann's time-space
257.799,7.381,trade-offs so a helmet a when other
262.66,4.59,another important development in the
265.18,3.72,mid-70s in terms of cryptography in
267.25,3.33,addition to the invention of public key
268.9,5.04,cryptography was the fact the
270.58,5.75,introduction of the d/s the data
273.94,4.979,encryption standard because there was
276.33,5.95,something that the standard of
278.919,6.871,encryption of shared key encryption that
282.28,5.52,was considered good and suddenly you
285.79,3.84,know this problem well not clear whether
287.8,5.04,it was all but at least was it something
289.63,6.09,to talk about however what was the
292.84,5.61,problem to have very short key 56 bits
295.72,4.4,today it's definitely very short but
298.45,6.15,even back then it sounded like
300.12,6.93,borderline in helmand but distilled to
304.6,5.16,256 if you want to do exhaustive search
307.05,5.23,who is a pretty high number so what
309.76,5.1,Hellman pointed out is that actually you
312.28,5.37,can do much better then spend two to the
314.86,7.41,56 all over again for each each time you
317.65,6.63,want to break a d/s and he asked the
322.27,5.399,question suppose I have a function and I
324.28,5.49,want to invert it how costly so if you
327.669,3.691,aware your allow pre-processing so your
329.77,4.26,pre processing and then you you're
331.36,6.51,looking at how the cost of the vision of
334.03,5.49,any additional breaking so if for
337.87,4.62,instance if you build a table a large
339.52,5.7,inversion table then of course it's a
342.49,5.429,roughly order 12 to invert it depending
345.22,4.47,how costly it is to access the table but
347.919,6.391,that requires a huge amount of storage
349.69,6.479,so we probably want to have less storage
354.31,5.94,and are willing to work a little anymore
356.169,5.761,and so we we have some sort of limited
360.25,3.72,space so then we are asking what is the
361.93,5.52,best we can do in terms of time with you
363.97,5.36,stay so what Hellman showed a 19 a key
367.45,5.49,is if you want to invert a permutation
369.33,7.3,then you need storage s and time T 3
372.94,6.33,times s which is the N and if you want
376.63,3.659,to invert functions it three times a
379.27,3.72,squared
380.289,6.541,n squared so we'll think of T&S being
382.99,6.81,let's say n to the two-thirds and your
386.83,5.1,capillaries their size is two to the
389.8,6.509,little and that is the capital n is the
391.93,8.31,size of their of the universe the number
396.309,8.04,of a total number of keys that you can
400.24,10.069,have so how did he work how did that
404.349,8.761,work so let's say we have a permutation
410.309,6.431,so then we have a permutation pile only
413.11,7.979,hint how you do it for a permutation so
416.74,6.449,we have a permutation pie you can let's
421.089,3.901,for simplicity also think of it as one
423.189,6.69,cyclic permutation doesn't really matter
424.99,7.289,and so you can definitely go forward
429.879,4.77,that's the advantage that you have you
432.279,5.28,can go forward so in order to invert the
434.649,5.7,permutation you can go all the way
437.559,5.07,around you can apply to itself many many
440.349,4.05,cups so if for instance instead of being
442.629,4.77,a cyclic permutation it had only small
444.399,6.06,cycles to do it would be very easy to
447.399,5.281,invert the problem tation so the hardest
450.459,4.411,case seems to be when there is a cyclic
452.68,6.75,permutation so what did he suggest he
454.87,10.71,suggested adding shortcuts ok so you add
459.43,8.4,every T steps you add a shortcut ok so
465.58,6.209,the shortcut tells you if you get him to
467.83,6.089,go back a n minus the x in order to
471.789,4.38,instead of going all this way this will
473.919,4.52,think this would be a shortcut so this
476.169,4.86,means that when you are going forward
478.439,4.27,you only have to get to these special
481.029,6.09,points so that you can make a shortcut
482.709,6.21,and then the time to invert would be by
487.119,4.711,going forward in using the shortcuts the
488.919,5.911,time to invert would only be T so what
491.83,5.039,you get is this sort of expression and
494.83,4.859,this is true for permutations for
496.869,6.181,functions things are a bit more complex
499.689,5.07,and we we have the worst times i'm
503.05,4.56,actually it's a very interesting open
504.759,4.291,problem to just to try to improve these
507.61,3.18,things there are some lower bound in
509.05,4.44,some models in
510.79,5.0,is these lower bounds today there is a
513.49,4.77,slightly different method the rainbow
515.79,5.379,rainbow table method which is very
518.26,5.61,popular but these are still very this is
521.169,6.421,that these things are the most probably
523.87,5.7,the most important thing a time memory
527.59,6.45,trade-offs style if you want to have
529.57,6.57,online real-time style is a attacks and
534.04,6.42,crypto system then probably you'll be
536.14,6.03,using something of that nature okay so
540.46,4.05,this is hellmann's the time-space
542.17,6.39,trade-offs what is what is the
544.51,6.33,connection to data structures okay so
548.56,4.23,let's talk about the problem suppose
550.84,4.38,that you have a bunch of books that you
552.79,4.26,more many books and you want to arrange
555.22,4.59,them on your on your shelf so that
557.05,5.19,you'll be able to search under both
559.81,4.32,under title and under offer so you don't
562.24,3.9,have any this is sort of an implicit
564.13,3.96,date it's an implicit data structure you
566.14,4.41,don't have any other storage except
568.09,5.19,their items themselves and you can
570.55,5.13,already access them using a comparisons
573.28,4.71,you cannot pay we're not talking about
575.68,4.59,Ashley at this point later on we'll talk
577.99,4.38,a lot about as you so we can only
580.27,4.47,compare to you can compare the author
582.37,5.19,and you see whether it's larger or
584.74,5.13,smaller you can compare the title so
587.56,5.31,definitely the best you can hope for is
589.87,4.86,order log in here and the issue is can
592.87,3.69,you arrange so of course if you want to
594.73,5.67,just offer it would be very easy if you
596.56,5.49,want to just titled it would be very
600.4,9.35,easy but the question is can you do both
602.05,11.94,and one of my first papers while I was
609.75,7.27,minerals Bradley student with fear and
613.99,5.76,super-g much meat email encino we we
617.02,5.1,came up with an order log in solution
619.75,4.14,and i'm not going to show it and
622.12,4.1,actually it's true from many of the
623.89,4.5,results just try to show the idea the
626.22,4.75,relationship between the crypto and
628.39,7.26,their data structure anyway so we came
