second,duration,transcript
1.8,6.0,how does the web work now maybe you're
5.279,4.32,now thinking what's this question of
7.8,3.959,course I know how the web works well
9.599,4.11,maybe you do but maybe you're all
11.759,3.811,leaving out some important parts in this
13.709,2.971,video and then the article which you
15.57,3.33,find below the video in the video
16.68,4.53,description also I will have a look at
18.9,4.619,how to web works which different pieces
21.21,4.229,are involved and how that influences
23.519,3.24,what you if you want to become a web
25.439,3.66,developer or if you were simply
26.759,4.68,interested into the topic should learn
29.099,4.111,and should be aware of now as always if
31.439,3.661,you're liking this I'd love to welcome
33.21,4.02,you as a subscriber please share the
35.1,5.72,video and the usual stuff with that
37.23,3.59,let's lose no time and dive right in
45.03,5.01,with that let's start with the basic the
48.0,4.64,most common scenario your wizarding a
50.04,6.38,web page like our web page academy.com
52.64,8.97,so you fire up your browser you enter
56.42,5.19,HTTP www.calculated.com/support
71.72,5.41,the website is stored on some server so
75.93,3.36,the website you are seeing is either
77.13,4.32,generated dynamically there or the code
79.29,5.43,for it was actually stored there already
81.45,5.419,and is returned back because your
84.72,5.09,browser in the end is just an
86.869,5.291,interpreter you could say that gets back
89.81,4.15,certain source code to which I will come
92.16,3.959,back in a second and it can display that
93.96,4.17,on the screen and that source code could
96.119,4.651,ever be stored on the server already or
98.13,4.2,it's generated by the server but one
100.77,5.31,important question at this point of time
102.33,7.02,already is how does the server know that
106.08,4.29,we do mean it the server by entering
109.35,3.24,academy.com
110.37,4.11,is this the address of the server just
112.59,5.25,like your street and house number is
114.48,6.24,your address actually not the official
117.84,5.34,address of each server is an IP IP
120.72,4.74,stands for Internet Protocol address and
123.18,5.839,an IP address looks something like this
125.46,5.82,or in a more modern version like this
129.019,4.091,this is of course not something you
131.28,3.75,would want to enter into your browser
133.11,4.26,but you could do it actually you could
135.03,4.11,enter such a address if you knew it into
137.37,3.96,the browser and visit a website with
139.14,4.319,just said address but of course the
141.33,4.35,domain as this other thing here is
143.459,4.711,called it's much more human readable and
145.68,4.98,therefore the actual thirst thing that
148.17,6.27,happens when you enter this is that your
150.66,6.84,browser contacts a DNS domain name
154.44,4.44,system server which is basically like a
157.5,3.45,huge dictionary
158.88,4.56,where each domain name is mapped to an
160.95,4.819,IP you could say and then they offered
163.44,5.73,this DNS server translates your
165.769,6.131,academy.com domain into an IP address
