second,duration,transcript
2.419,9.571,let's welcome to lecture 16 confidential
6.42,7.11,games there yay
11.99,3.399,computationally game theory is what
13.53,3.509,we're doing today the news of the day is
15.389,3.841,actually a little bit old dated but
17.039,4.111,still relevant checkers
19.23,3.539,this incredibly wonderfully large
21.15,3.42,powerful game that I've played as a kid
22.769,4.891,many who play checkers as a kid gives
24.57,4.26,about solved solve do you like what does
27.66,2.789,that mean I will tell you in this
28.83,3.479,section what solve means what it means
30.449,5.461,for Jonathan Schafer and University of
32.309,4.921,Alberta is that he proved he weakly
35.91,3.809,solved checkers
37.23,4.009,which means he proved if two perfect
39.719,3.781,opponents are playing to God who
41.239,4.84,floating in the in the heavens and
43.5,3.84,they're playing checkers it's only one
46.079,3.151,God okay well I'll do I'm gonna talk
47.34,3.449,outs whatever so if they're to duplicate
49.23,5.399,himself and now that God prisons up and
50.789,7.171,now there always be a draw meaning that
54.629,5.641,these both omniscient entities who knew
57.96,4.2,the entire game tree no one would be
60.27,3.179,able to cause the other one to lose it
62.16,3.42,would buddy draw every single time
63.449,4.831,that's really cool and they proved it
65.58,4.59,they don't necessarily have a path for
68.28,3.33,every possible game that's the
70.17,3.15,difference from what I do and we'll talk
71.61,3.24,about that later bets he weakly solved
73.32,3.03,it which means he proved it but didn't
74.85,3.269,necessarily have the answer for every
76.35,3.15,game I have the answer for every game
78.119,3.241,and we'll show you some demos that do
79.5,3.75,that so today we're talking about
81.36,3.509,computational game theory and this is
83.25,3.6,what the lecture topic is little history
84.869,3.54,definitions so we're on the same page
86.85,4.74,and then I'll show you some demos
88.409,6.721,viewing system that I've built ok so a
91.59,5.76,high up sky level view ten-mile up view
95.13,3.87,of computer sciences there are these sub
97.35,4.32,pieces of computer science and you saw
99.0,4.439,human-computer interaction and next
101.67,3.659,Monday you're gonna hear a lecture from
103.439,3.54,one of our outstanding young graduate
105.329,2.881,student instructors who's going to talk
106.979,2.491,to you about the whole field of
108.21,3.18,artificial intelligence one of the
109.47,4.079,coolest fields of coming up Siri you
111.39,3.6,talk to your phone that's AI and there's
113.549,3.511,a thousand other things that are AI that
114.99,3.419,generally self-driving cars that say are
117.06,2.94,some of the coolest applications that
118.409,2.971,are happening today our AI and she's
120.0,3.899,gonna try to summarize the entire field
121.38,5.55,a very big task but she's up to it so
123.899,4.741,there's all these fields of of computer
126.93,3.51,science and AI is one of them and
128.64,3.45,computational game theory falls under
130.44,3.12,the umbrella of artificial intelligence
132.09,2.88,so similar to
133.56,4.38,what you saw it we go to see in a week
134.97,5.879,from now so you actually it's great
137.94,5.9,the Bjorn talked about the Mechanical
140.849,6.171,Turk and so this is the original
143.84,5.35,Mechanical Turk so this was a a
147.02,5.469,mechanical device in which there was a
149.19,5.25,master level player who hid and when the
152.489,3.811,like the magician who said nobody in
154.44,3.15,here nobody in here he would like move
156.3,3.33,and so it looked like it was an empty
157.59,3.24,box when they showed the players and it
159.63,3.78,turns out there's a person under there
160.83,5.489,who had a magnet to see what the board
