second,duration,transcript
0.29,4.029,"Most Software Engineers have a degree in Engineering
or Science. Do you know why? There are 2 main"
4.319,5.771,"reasons for this. One, Engineers can generally
think logically. Two, Engineers are good at"
10.09,3.37,"Math. One of the major reasons I was able
to get a job at Google without a Computer"
13.46,3.8,"Science degree is because I am above average
at Math. Now, I can not teach you all the"
17.26,4.24,"Math I know in a short video. You anyway don’t
need most of it to become a Programmer. Let"
21.5,4.72,"me do this. I’ll share 5 essential Math
Skills that will get you 80% there. The rest"
26.22,3.67,"of 20%, you can learn on the go as you encounter
new problems."
29.89,4.349,"But why do programmers even need Math? Imagine that
you are a Software Engineer at Google. And"
34.239,3.771,"you are given a critical problem to solve.
Many Google users are not able to access the"
38.01,4.05,"website because of an overloaded server. This
problem is getting worse with every passing"
42.06,4.05,"minute because the client side is configured
to do an automatic retry after one second"
46.11,6.09,"for every failed call. You talk to a Senior
engineer on your team and she recommends using"
52.2,3.499,"“Exponential Backoff” for retries. What
does “exponential” mean, you ask her."
55.699,3.721,"She points you to the documentation. If your
basic math skills are not good, it might take"
59.42,3.849,"you a long time to understand and implement
the “exponential” piece of the algorithm"
63.269,4.071,"even after reading the documentation. And
in the meantime, the entire internet traffic"
67.34,3.849,"will see a huge drop because for many people,
No google means no internet."
71.189,3.901,"Now if that example doesn’t convince you,
here's an even more important reason to learn"
75.09,3.84,"Math. Most tech companies conduct coding interviews
to see if you are a good fit for the role."
78.93,4.579,"And whether you like it or not, they ask algorithmic
style questions in these interviews. At the"
83.509,3.75,"end of the interview, the interviewer usually
asks you the time and space complexity of"
87.259,3.68,"your solution. In order to answer these questions
and actually get the job, you need to know"
90.939,4.691,"some basic Math concepts. Many people who
come from non-CS and non-Engineering backgrounds"
95.63,4.31,"have a hard time answering these questions.
So, I have chosen the top 5 Math Skills for"
99.94,1.73,today keeping these interviews in mind.
101.67,3.729,"Now, I know that there’s a sizable number
of you who pretty much hate coding interviews"
105.399,3.501,"and don’t want to go through them. And I
completely respect your position. But for"
108.9,4.109,"the vast majority of us, we don’t have the
luxury to give up on our dreams just because"
113.009,5.481,"we don't like one step of the process. This video
is for those people. Let’s learn some Math."
118.49,4.23,"To learn the first concept, we need to start
with an exercise. Here a piece of code that"
122.72,4.329,"contains a for loop nested inside another
for loop. What is the time complexity of this"
127.049,3.74,"code? In other words, how many times would
this code print “Hello, World!” for any"
130.789,6.051,"arbitrary value of N. This video is going to be interactive. So, you can pause this video and leave the answer in the comments."
136.84,4.78,"If your answer is O(N^2) or N^2 times, then
you would benefit a lot from what I am about"
141.62,4.18,"to tell you. Most people who answer N^2 do
it because they confuse the code I gave you"
145.8,4.299,"with this other piece of code. They see a
nested for loop inside another and immediately"
150.099,3.711,"jump to the N^2 which is the wrong answer
in this case. To understand why that is, let’s"
153.81,3.77,"think from the first principles. Looking at
the code, it’s obvious that the outside"
157.58,4.79,"for loop runs N times. Each time this outside
loop runs, we go inside and run this nested"
162.37,3.85,"loop K times. We don’t know what that K
is at this time but we will find that out"
166.22,1.0,"shortly. So we print a total of K “Hello,
World!” statements everytime we go inside"
167.22,1.75,"the outer “for loop” which itself happens
N times. So, in total we print K*N “Hello,"
168.97,4.86,"World!” statements. Now, if you look at this other easier and more popular piece of code, the internal loop"
173.83,2.54,"also runs N times. So, K*N in this case is
equal to N^2. But, that’s not the case in"
176.37,3.58,"the code I gave you. What I want you to take
away from this is that whenever you have A"
179.95,6.0,"that happens x times. And whenever A happens,
B happens y times. B will happen a total of"
185.95,1.0,x*y times.
186.95,4.32,"Now, to know the value of K in the last exercise,
we need to know the second concept. So,"
191.27,4.29,"here is a question for you. You are given
a stick that is 32 meters in length. You break it"
195.56,4.63,"into 2 halves. You throw the right piece away
and break the left piece into 2 halves again."
200.19,4.28,"You throw away the right half and keep breaking
the left piece until you have a stick of length"
204.47,4.07,"1m left. How many times did you break the
stick in total? You can pause the video and"
208.54,4.05,"leave the answer down below. If you answered
5, then you are right. Here’s an interesting"
