second,duration,transcript
0.0,3.659,Nobel prize winning Economist Paul
1.92,4.439,Krugman made an ominous prediction
3.659,4.561,recently saying AI like chat GPT won't
6.359,3.721,change the world anytime soon the reason
8.22,4.2,this is terrifying is that he's the same
10.08,4.019,guy who also predicted in the 1990s that
12.42,3.12,the internet was about as game changing
14.099,3.18,as a fax machine when it comes to
15.54,3.48,programming I've already seen enough the
17.279,4.141,need to memorize syntax for programming
19.02,4.8,is done the future is deterministic AI
21.42,3.66,pseudocode and the future is now uh
23.82,4.08,ladies and gentlemen if you will look
25.08,5.16,right here today's video is yet another
27.9,4.08,react.js tutorial just one of Millions
30.24,3.78,on the internet but it's no ordinary
31.98,4.079,tutorial it's the first tutorial to
34.02,3.84,leverage the full power of AI to write
36.059,3.18,code like a 10x developer even if you've
37.86,2.94,never written a single line of code in
39.239,3.181,your life what's crazy though is that
40.8,3.24,this tutorial can be applied to any
42.42,3.24,language or framework once you know some
44.04,3.359,basic programming principles and how to
45.66,3.36,prompt like a pro you can build almost
47.399,4.021,anything in your imagination but it's
49.02,4.199,not as simple as just asking chatgpt to
51.42,3.54,build you a react app you will need some
53.219,3.66,domain knowledge and understand how to
54.96,3.54,execute and validate the code that the
56.879,3.061,AI spits out let's go ahead and get
58.5,3.3,started with your AI printing
59.94,3.599,masterclass I'm assuming you know
61.8,3.6,nothing about react other than it's a
63.539,3.241,library for building uis I could sit
65.4,3.719,here and teach you about react and ask
66.78,4.26,you to buy my 500 react course but the
69.119,3.721,truth is that gpt4 can teach you better
71.04,3.119,than I can I hate to admit it but it's
72.84,3.0,true if you want to learn something you
74.159,3.301,know absolutely nothing about go ahead
75.84,3.3,and prompt it to explain it like you're
77.46,3.9,five in this case it'll explain how
79.14,4.08,react.js components are like Lego bricks
81.36,3.72,but for building websites which is the
83.22,3.3,perfect metaphor from there I ask it for
85.08,3.06,the most important Concepts that I
86.52,3.72,should know it then explains components
88.14,3.659,State and props and hooks if there's
90.24,3.12,anything you don't understand here you
91.799,3.481,can then prompt it to explain that one
93.36,3.719,thing in more detail or explain that to
95.28,4.379,you like your five one problem though is
97.079,4.381,that llms tend to hallucinate AKA makes
99.659,3.42,stuff up so as of today it's not really
101.46,3.479,a replacement for the react.js
