second,duration,transcript
1.199,4.481,hey guys welcome
3.12,4.4,in today's digital world data is more
5.68,3.6,valuable than ever before
7.52,3.28,data is the key to the smooth
9.28,4.319,functioning of everything
10.8,4.16,from a government to a local company the
13.599,3.361,success of a company
14.96,3.12,vastly depends on how well they utilize
16.96,2.88,their data
18.08,4.24,this is where database comes into
19.84,3.599,picture you need a database to store
22.32,3.119,data
23.439,4.08,in this video let's learn what is
25.439,4.961,database and the different types of
27.519,5.04,database available today but
30.4,3.52,before we talk about database it's
32.559,4.401,important to understand
33.92,6.159,data data
36.96,4.56,data can be anything and everything any
40.079,4.8,information or fact
41.52,5.84,can be considered as data your name
44.879,4.801,age date of birth or any other
47.36,4.64,information such as your house address
49.68,3.92,your bank balance the vehicle you drive
52.0,4.879,or even the food that you eat
53.6,6.479,can be considered as data
56.879,4.081,details related to a school or a
60.079,4.001,technology
60.96,5.6,or statistics or even mathematics
64.08,5.039,can be considered as data and can be
66.56,6.0,stored into a database
69.119,6.64,data can be in any form such as an image
72.56,6.16,or a video or a file
75.759,6.241,or even a plain text data in any of this
78.72,6.16,format can be stored into a database
82.0,4.72,for a school data can be detailed
84.88,4.32,related to its teachers
86.72,4.079,or its students or the subjects they
89.2,4.239,teach
90.799,4.0,all of these can be data as you can see
93.439,5.401,data can be anything
94.799,5.441,and everything and data can be in any
98.84,4.12,form
100.24,3.44,now that you know what data is it's time
102.96,2.56,to understand
103.68,3.6,where do we store them and the purpose
105.52,4.72,of storing them
107.28,4.879,what is database database can be
110.24,3.44,considered as a container filled with
112.159,3.121,data or information
113.68,3.92,which is electronically stored in a
115.28,4.879,computer system
117.6,3.68,data in any form can be stored into the
120.159,3.041,database
121.28,3.199,the purpose of storing the data into the
123.2,4.08,database is
124.479,3.601,so it can be easily accessed modified
127.28,4.64,protected
128.08,4.64,and analyzed you may already be using
131.92,2.8,database
132.72,3.519,in your day-to-day activities because
134.72,3.599,most of the websites
136.239,3.601,or mobile applications today such as
138.319,4.401,google instagram
139.84,5.759,whatsapp facebook already used database
142.72,2.879,to store data
146.4,3.919,as an example let's say for your college
148.48,4.32,demo project you plan to develop a
150.319,4.64,simple college timesheet web application
152.8,3.76,basically this application should allow
154.959,3.521,you to login through a url
156.56,4.08,and then have options to enter staff
158.48,6.64,details timesheet details
160.64,6.879,student attendance student marks etc
165.12,4.479,since this is a college demo project you
167.519,3.44,may just use your personal computer to
169.599,2.881,develop this project
170.959,3.761,the first thing your application will
172.48,3.2,need is a database to store and retrieve
174.72,2.72,the data
175.68,3.52,hence you need to first install a
177.44,4.64,database on your laptop which will
179.2,4.959,connect to this timesheet application
182.08,3.12,like any other software installed on
184.159,3.121,your computer
185.2,4.16,database software will also be allocated
187.28,4.64,to a specific location in your computer
189.36,2.56,hard drive
192.56,4.0,through your web application whenever
194.239,3.92,you try to save edit or retrieve
196.56,3.2,information the application will
198.159,2.16,actually connect to the database to
199.76,3.52,store
200.319,4.801,modify or extract the data in other
203.28,2.879,words any information that is shown in
205.12,2.64,your application
206.159,3.841,is actually being retrieved from the
207.76,3.36,database and any information you enter
210.0,2.64,in the application
211.12,3.36,will actually be stored into the
212.64,4.0,database
214.48,3.039,but since the database is installed on
216.64,2.8,your computer
217.519,4.08,the data is actually being stored into
219.44,4.079,your computer memory
221.599,4.0,this is a simple example of how an
223.519,4.321,application uses a small database to
225.599,4.161,store modify and retrieve data
227.84,3.039,when it comes to bigger applications or
229.76,3.039,bigger companies
230.879,3.92,they need huge database to store huge
232.799,3.44,data which may be installed on large
234.799,3.281,servers
236.239,3.36,this is true to any application that
238.08,4.879,uses a database
239.599,5.36,the images videos or posts or any other
242.959,3.761,information that you see on facebook is
244.959,3.521,actually stored in a database
246.72,3.84,and whenever you search for a specific
248.48,3.36,post or friend facebook actually
250.56,4.72,searches for this data
251.84,6.799,in its database so
255.28,5.679,is database same as dbms
258.639,3.361,lot of people referred to database as
260.959,3.601,dbms
262.0,4.88,but that's not entirely correct because
264.56,2.88,database is just a container that stores
266.88,3.599,data
267.44,3.84,whereas dbms or database management
270.479,3.041,system
271.28,3.84,is a software which is used to manage
273.52,4.0,your database
275.12,3.12,you need dpms to interact with the
277.52,3.04,database
278.24,3.28,to store modify retrieve and protect
280.56,3.68,data
