second,duration,transcript
0.089,5.999,Let's talk about data visualization so that we can avoid problems like this which is where we've got some kind of graph
6.129,1.621,Who knows what it means?
7.75,6.38,Loads and loads of lines none of them labeled. I think the thick one is more important. That's that's what I've learned from this
17.35,3.019,Data visualization is another method we can use along with
20.619,4.61,Statistics to have a look at our data Explorer our data and try and work out what's going on
25.39,3.83,It's a way of trying to understand our data better so that we can then perform
29.22,5.309,You know more rigorous statistical tests or actually start to draw conclusions or model our data
34.63,2.569,It's a very important tool but you've got to use it properly
37.21,2.0,You can't just plot anything and everything
39.219,4.34,Every chart you use has got to support your hypothesis or it's got to try and show the story
43.559,4.319,You're trying to tell right? You don't just plot something because it could be plotted. There's got to be a point to it
47.879,5.7,"There's a lot of problems with using inappropriate grass and only picking subsets of your data. That's a huge problem, right?"
53.86,4.099,That is not just a problem for data visualization. That's a problem for your statistical test as well
57.969,2.84,"If you're only using some of your data, it's that okay"
60.809,2.61,"It's going to depend on the situation right my um, you know"
63.42,3.72,but I think there's a strong argument for saying you've got to be really really careful and you've got to be really
67.24,1.98,structured and regimented and
69.22,5.18,Document everything you do. The core problem with visualization is that people just plot stuff and they do it badly
74.4,2.939,maybe they use the inappropriate plot type or they
77.86,6.47,"Don't scale of axes properly and that leads to huge misunderstandings and actually can be quite misleading, right?"
84.33,1.03,This happens a lot in the media
85.36,4.79,"So, for example, you might get a sort of political message for your door, but says these are different parties"
90.15,0.99,So this is party one
91.14,6.419,This is party to this is party three and maybe you know party one's got this many votes and party twos got
97.689,2.03,This many votes and party three two
99.72,5.189,Right down here and party two are trying to make the case that just a few more votes and they're gonna win in this area
104.909,5.13,"why but actually written down here this is twenty thousand and this is ten thousand and this is you know,"
110.04,2.909,Eight thousand and just in the small labeling they've got here
112.95,6.69,They've completely skewed the axis right ten thousand is half of twenty thousand yet. Here. We are up here if you misuse plots
119.64,2.4,It's actually misleading when it's on your own data
122.04,1.96,You're going to draw the wrong conclusions and then spend
124.0,5.179,quite a while researching into an area but doesn't make sense or and ends up in failure or if it's if
129.52,4.039,It's something you're presented to someone else. You can mislead that person whether intentionally or by accident
134.23,5.13,And that's never a good thing. I'm back in our and I just wanted to show a couple of plots that you know
140.36,5.239,"It's not misleading necessarily, but you can easily infer the wrong kind of information, right so"
146.36,1.22,There's this websites online
147.58,4.949,"You can go to to look at the ratings for different TV shows right now. One of my favorite TV shows is Fraser, right?"
152.53,2.0,I think it's amazing and
155.239,2.69,If you go on to these sites and you plot the
158.54,2.87,Ratings for all these Fraser episodes. It's all over the place
161.72,3.289,Sometimes it's very highly regarded and sometimes it's not so I'm just going to plot this
165.5,4.039,using the GG plot tool and we can see if we look at the graph that
170.15,7.13,It's absolutely everywhere. Right? You've got good episodes. You've got bad episodes and it seems to maybe be going slightly downhill towards the end
177.28,2.279,But it's difficult to say right because it's all over the place
179.66,6.799,"Now what's actually happened is I've just plotted using a default function and it's Auto scaled my rating axis, right?"
186.459,4.139,so my y-axis is the rating of the episodes and it's going between seven and
190.94,5.72,About nine and a half now that isn't representative because it's spreading out my data if I plot the exact same data
196.66,4.049,But this time from naught to ten like an actual rating system
200.709,5.1,You can see that most episodes get almost the exact same rating somewhere between around seven and a half to eight
206.09,1.19,Which I think's pretty good
207.28,1.41,"I would rate them a 10, but you know"
208.69,2.19,It's just me. You can see that even if you're not careful
210.88,6.329,"If you do it by accident, even auto-scaling a maxi's and things like this can cause a real problem another classic example, you'll see"
217.76,3.44,In the news is when they show something like a currency exchange rate
221.2,1.02,So if we look at here
222.22,6.509,we've got our I've downloaded some sample data of the Japanese yen versus the US dollar and I've simplified this by
229.16,3.979,Extracting just a period of about 60 days in the middle of some time
233.139,1.201,I can't remember exactly what it is
234.34,3.6,If we plot this you can see that actually there's a big sort of cliff edge
238.22,4.909,Something terrible has happened around day 30 and the value of the Japanese yen is just plummeting
243.129,4.65,"And of course, this is absolute nonsense, right? Because this scale goes between 108 and a hundred and fourteen"
247.78,4.859,And so if we plot it with a proper axes on you can see that actually it's almost completely flat
252.739,3.589,If your business relies on the exchange rate of a Japanese yen to the US dollar
256.479,3.57,Obviously these small changes might be important right but if you're presenting this in the news
260.389,6.3,"It's very easy to claim that something terrible's happened when in fact actually, maybe this is just normal blip up and down, right so"
267.24,1.53,You can misuse
268.77,4.94,Plots to serve your purpose right or and you can do it accidentally and waste a huge amount of time
273.75,2.209,Let's have a look at the standard plots
275.96,4.14,You might see right and you could use on a very basic level and see you know
280.1,5.1,What are they appropriate for right because one of the most important things is that you use these plots and these charts
285.93,4.489,"Appropriately, alright, so, you know, perhaps the most common one that everyone sees is going to be a bar chart"
290.419,1.211,You've got two axes
291.63,7.25,You've got some kind of attributes or labels down here and then you've got some quantity or amount of some attribute here
298.88,2.88,And then you're going to have different bars like this now
301.76,5.399,This is a very nice graph to use it's simple but it's effective because you can very easily see what the difference between these different
307.16,5.759,"Levels are right so that you know, it's often going to be your go to graph for lots of things"
312.919,5.19,"Right, some people now some people try and replace this graph of a pie chart, right? This is a bad idea in general"
318.11,0.42,I mean
318.53,3.72,I like pie as much as the next person but if you've got different things
322.53,1.46,Like this and one of them is big
323.99,4.83,"I mean you can see that this one's bigger than this one, but how much bigger it is?"
328.82,0.3,I don't know
329.12,5.52,You can't see the relative sizes quite so easily this all gets worse if you combine this into a doughnut plot
334.64,5.579,"And then you've got multiple pies embedded in each other none of them align and nothing makes any sense anymore, right?"
340.22,5.009,"So if in doubt don't use a pie chart, it's a bad idea. I mean they look very nice for presentations"
345.229,4.68,That's about what I can say for it if we're going to be measuring some call of quantity then a bar charts going to be
349.95,5.719,What we want right but what we might also do is replace quantity with the with the frequency or the amount of something
