second,duration,transcript
0.35,2.65,"Hello friends, welcome to Gate Smashers"
3.025,3.54,"In today's video, we are going to
discuss about Von Newmann's architecture"
6.59,4.41,"or we call it stored memory
architecture or stored memory program"
11.001,1.999,What does it mean by stored memory?
13.225,3.775,Where we keep two things inside memory
17.001,5.999,"one is data and second is
program or set of instructions"
23.001,2.551,"Data means like we
write in program"
25.577,7.804,"or in processing in C program
int A=10, B=20, C=A+B"
33.406,5.846,"the kind of variables or constants 
we are defining there"
39.277,4.911,"where will we store all this data?
inside memory!"
44.2,3.458,"Which memory? 
Main memory!"
47.683,2.242,"and secondly we store, program"
49.95,2.064,Program means set of instructions
52.059,3.066,Instructions are how to do work
55.15,3.85,"we have many different 
type of instruction set available"
59.15,3.487,"Like if you have
heard about MBI, MOV command"
62.649,3.918,"we have ADD,
SUB, branch statement"
66.592,3.03,"All these commands or processes
has different commands"
69.647,4.058,"All these commands and
this data where to store it?"
73.73,3.454,"In one memory and which memory is that?
Main memory"
77.318,4.682,"Yes, you can store it in different
addresses in main memory"
82.001,6.276,"In some addresses you can store instructions
and in some addresses you can store data"
88.302,4.054,"Its opposite Harvard architecture
which was opposite of Von Newmann's"
92.512,3.928,"It said that we will store instruction
set in different memory"
96.465,2.686,and data in different memory.
99.176,3.509,"But here we are keeping
both things in same memory"
102.763,4.746,"And if you look carefully, in today's
time whatever architecture we are using"
107.534,6.353,We are keeping data and program in main memory
113.912,2.231,Secondly we have here is component
116.315,3.228,"This Von Newmann's diagram,
Von Newmann's architecture"
119.568,4.809,"Basically it also tells us which
components of basic computer architecture."
124.402,2.657,Which help in processing data
127.192,6.197,"What components are there
to convert input to output"
133.414,3.929,"So one is main memory where we are
keeping two things data and instructions"
137.454,2.116,After that comes our CPU
140.059,4.941,"CPU central processing unit 
And from here main work starts"
145.237,2.825,In this we have different components
148.074,3.533,"First is arithmetic and logical unit, ALU"
151.632,2.186,What is the purpose of ALU?
153.843,3.69,In ALU many circuits are available
157.558,3.873,"In digital we have different circuits 
We have adder, we have subtractor"
161.456,6.544,"With the help of which we do addition,
subtraction, multiplication, division,"
168.001,5.63,"AND operation, OR operation,
XOR, AND and we have shift operation"
173.656,5.043,"Many operations we use like
arithmetic operation or logical operation"
178.724,3.15,We perform them through ALU
181.94,2.469,"And in ALU different
circuits are available"
184.421,3.579,"which help in performing
all these operations"
188.001,2.999,Then we have registers
191.001,6.478,"Registers are basically the fastest
memory available we have is registers"
197.504,7.027,"They store temporary
data and size is very small"
204.731,6.269,"Smallest size memory is called registers
and it is storing data temporarily"
211.1,1.9,How much size can it be basically?
213.001,4.264,"Let's say 8 bits, means 1 byte 16 bits"
217.29,3.775,So basically we have sequence of bits
221.225,2.956,Sequence of bits is called registers
224.206,3.068,Or you can say sequence of flip flops
227.407,2.983,Because flip flops also store one bit
230.479,4.032,"So if you combine multiple flip
flops it will become registers"
234.689,4.311,"But the important point here
is that why are registers used?"
239.001,2.446,When we already have main memory available
241.472,2.053,"So what is the benefit of the
register when there is memory?"
243.55,3.829,"And why is the register
embedded on the CPU chip?"
247.404,1.639,The reason is speed
249.131,7.153,"Any operation we perform 
Let's say A=10, B=20, C=A+B"
256.309,1.922,Now where is this data stored?
258.298,2.702,"In main memory
Where will it perform?"
261.001,2.0,"This is arithmetic operation
Where will it perform?"
