second,duration,transcript
0.0,3.72,hi it's Anastasia and welcome to my
1.89,3.27,channel today I want to talk to you
3.72,3.15,about what programming language you
5.16,3.3,should learn if you want to get involved
6.87,3.18,in quantum computing I'm going to
8.46,3.21,introduce you to some of these quantum
10.05,3.36,computing frameworks and packages that
11.67,3.03,are out there and give you all the
13.41,2.879,resources that you need to get you
14.7,3.659,started on coding on real quantum
16.289,4.08,computers today and yes quantum
18.359,3.601,computers do exist they were actually
20.369,3.721,out there they're for real that's a
21.96,3.809,question I get asked a lot and you can
24.09,3.99,code and with some of these packages on
25.769,3.93,real quantum chips synthesis do tend to
28.08,3.63,code in a lot of different programming
29.699,5.341,languages so for example I've done work
31.71,5.97,at C C++ even Fortran so I graduated
35.04,4.41,college in 2012 and I actually still
37.68,4.469,used for trams the supercomputer
39.45,3.12,upstairs would only take that but don't
42.149,1.831,worry
42.57,3.21,quantum computing has come to a more
43.98,3.36,modern age so if you want to learn
45.78,2.88,coding and get involved in quantum
47.34,4.109,computing what programming language
48.66,4.77,should you study my recommendation is
51.449,4.051,for you to learn Python and I know you
53.43,3.899,hear that a lot but hear me out there's
55.5,3.42,three major reasons why you should learn
57.329,3.601,Python if you want to get involved in
58.92,3.81,quantum computing it's easy to learn
60.93,3.6,there's a ton of resources out there and
62.73,3.9,a lot of quantum computing frameworks
64.53,3.33,are written for Python now I know
66.63,2.58,there's a lot of awesome quantum
67.86,3.57,computing languages out there that are
69.21,3.93,not based on Python there's Q sharp
71.43,3.57,which is Microsoft's quantum programming
73.14,3.6,language based on c-sharp and they're
75.0,3.57,silk which is this new programming
76.74,3.66,language out of ETH Zurich which looks
78.57,3.659,really cool but I want to cover those in
80.4,3.12,another video so if you're new to
82.229,2.911,programming and eventually want to get
83.52,3.09,involved with quantum computing these
85.14,4.019,are the reasons that I think you should
86.61,4.649,learn Python so number one it's simple
89.159,3.871,syntax and easy to learn Python is
91.259,3.271,beginner friendly even if you're new to
93.03,3.36,programming and haven't touched code
94.53,3.81,before Python is almost written like a
96.39,4.29,sentence so you can almost intuitively
98.34,4.319,feel like what it's supposed to do and
100.68,3.509,Python is basically everywhere for
102.659,2.971,example the Mac OS comes with it
104.189,3.18,pre-installed so you don't even have to
105.63,4.019,install anything or do any complicated
107.369,4.53,setup to get started with Python you can
109.649,4.321,do so many things with Python I've used
111.899,4.231,it for web apps web scrapers automate
113.97,4.71,some boring stuff to save me time so
116.13,4.559,it's a pretty amazing language in fact
118.68,3.539,according to stack overflow Python is
120.689,3.901,now the most popular programming
122.219,4.171,language overtaking Java and JavaScript
124.59,4.83,so definitely a great thing to learn
126.39,5.55,number two lots of resources out there
129.42,4.23,like I mentioned you can use Python for
131.94,4.079,scripting web development a
133.65,4.32,and now quantum computing because people
136.019,3.78,use it for so many things there are so
137.97,3.72,many resources out there so you can
139.799,4.5,learn from books YouTube videos or
141.69,4.5,interactive coding tutorials and because
144.299,3.031,python is beginner friendly and a lot of
146.19,3.03,people learn it as their first
