second,duration,transcript
0.0,4.72,if you want to be an expert in ai check
2.24,4.8,this out ai expert roadmap is a free
4.72,4.48,repository giving a detailed roadmap on
7.04,3.84,how to become an expert in ai what i
9.2,3.68,love about this roadmap is that it gives
10.88,4.08,thorough explanations of concepts
12.88,4.88,related to data science deep learning
14.96,4.64,databases and much more this road map is
17.76,3.679,interactive so if you're a beginner or
19.6,4.32,intermediate programmer you will find a
21.439,5.6,great spot to start ai is completely
23.92,4.96,dominating 2022 so using this repository
27.039,5.201,is an absolute must for this year what
28.88,3.36,roadmap would you like to see next
