second,duration,transcript
0.06,3.72,technology refers to the application of
2.399,3.841,knowledge for the betterment of human
3.78,4.92,society over thousands of years
6.24,4.68,technology has evolved providing humans
8.7,4.019,with major comfort from creating the
10.92,3.719,telephone to the world of tablets and
12.719,4.101,phones from making computers to
14.639,4.921,developing highly intellectual robots
16.82,5.44,technology has been evolving in almost
19.56,4.799,all possible Fields providing various
22.26,3.72,job opportunities that are continuously
24.359,4.141,growing day by day
25.98,4.559,in this video let's discuss some of the
28.5,4.739,best Technologies for the coming year
30.539,4.981,Yes you heard it right we will focus on
33.239,3.541,the top 10 Technologies to learn for
35.52,2.879,2023
36.78,3.959,stick to the end of the video to know
38.399,5.34,which is the most trending technology of
40.739,4.5,2023 but before we begin consider
43.739,4.021,subscribing to our Channel simply learn
45.239,5.82,and hit the Bell icon to never miss any
47.76,5.76,updates so if you are a tech geek here's
51.059,4.5,a question for you what was the first
53.52,4.58,digitally operated and programmable
55.559,7.261,robot called here are the options
58.1,6.16,unicorn unimate unifac and yeah let us
62.82,4.56,know your answer in the comment section
64.26,5.039,below so without any further delay let's
67.38,3.599,check the technology which is at number
69.299,6.0,10 on our list
70.979,6.541,10 extended reality extended reality or
75.299,5.761,XR covers everything that falls under
77.52,7.38,augmented reality AR virtual reality VR
81.06,5.879,mixed reality Mr or anything in between
84.9,4.079,businesses and major industries like
86.939,4.741,entertainment marketing and design
88.979,5.82,benefit massively from extended reality
91.68,5.579,Frameworks according to Globe newswire
94.799,5.881,the extended reality Market is set to
97.259,7.521,grow from 26 billion dollars in 2020 to
100.68,6.979,as high as 397 billion dollars by 2026
104.78,6.519,boasting a cagr of
107.659,5.981,57.91 with technological giants like
111.299,5.161,Google Samsung and Apple looking for
113.64,4.799,extended reality experts regularly the
116.46,4.799,demand for trained Professionals in this
118.439,5.22,domain has grown substantially boasting
121.259,4.381,average salaries of 68 thousand dollars
123.659,3.121,to one hundred two thousand dollars
125.64,2.94,annually
126.78,4.259,let's unlock the next technology
128.58,4.14,training at number nine Edge Computing
131.039,4.021,more of architecture rather than
132.72,4.08,technology Edge Computing is a
135.06,3.66,distributed computing pattern that
136.8,4.32,brings data storage and computation
138.72,4.739,closer to the data source thereby
141.12,4.619,improving the response time and saving
143.459,4.201,the bandwidth it's considered an
145.739,5.22,important factor for the success of the
147.66,5.54,5G and iot industries as per reports
150.959,6.021,Edge Computing is estimated to reach
153.2,5.86,101.3 billion dollars with a cagr of
156.98,4.24,17.8 percent
159.06,5.399,thanks to an exponential increase in the
161.22,5.94,job market big names like Amazon HP and
164.459,5.341,IBM higher Edge Computing experts with
167.16,4.62,an average salary estimated at one
169.8,4.74,hundred and seventy thousand dollars per
171.78,6.3,annum the next technology on this list
174.54,5.82,is 5G and Wi-Fi 6. we live in a world
178.08,4.56,where massive amounts of data need to be
180.36,4.2,transmitted quickly with the increased
182.64,4.14,adoption of video conferencing meeting
184.56,5.399,reliable connection and higher bandwidth
186.78,4.14,this is for 5G and Wi-Fi 6 comes into
189.959,3.721,play
190.92,6.48,5G networks are slated to have more than
193.68,6.419,1.7 billion Global customers by 2025.
197.4,5.16,according to the GSM association with
