second,duration,transcript
0.08,7.04,"tool number four r r oh it's got me hey in 
this video we're gonna give you a super fast  "
7.12,3.36,"breakdown of the nine tools you'll be 
using as a data analyst let's dive in"
13.92,3.04,"this is gonna be a super fast video so 
strap in and all the tools are gonna be  "
16.96,4.56,"listed in the description below tool number 
one Microsoft Excel Microsoft Excel may be  "
21.52,4.96,"used by data analysts to run basic queries 
and to create pivot tables graphs and charts  "
26.48,4.56,"excel also features a macro programming 
language called visual basic for applications  "
31.04,5.84,"VBA tool number two tableau tableau is 
a popular data analytics and business  "
36.88,3.92,"intelligence software which is primarily 
used as a tool for data visualization  "
40.8,5.92,"data analysts use tableau to simplify raw data 
into visual dashboards worksheets maps and charts  "
46.72,4.0,"this helps to make the data accessible and 
easy to access for everybody allowing data  "
50.72,4.56,"analysts to effectively share their insights 
and recommendations tool number three python"
57.44,3.68,"python is an open source programming 
language which is used to organize and  "
61.12,3.44,wrangle large sets of data data wrangling  
64.56,4.48,"is a term used in the industry to describe 
the processing of data in various formats  "
69.04,5.28,"merging and grouping data for example to get 
it ready for analysis python has many built-in  "
74.32,4.56,"features which help with data wrangling making 
it a popular alternative to Microsoft Excel  "
78.88,4.56,"especially when it comes to working with more 
complicated data sets tool number four Rrrrrr"
85.68,4.64,"r is another open source programming language 
used for statistical computing often serving as  "
90.32,4.56,"a complementary tool to python r is particularly 
popular among data analysts because of its output  "
94.88,4.8,"it offers a great variety of tools for presenting 
and communicating the results of data analysis  "
99.68,5.68,"tool number five SAS SAS is a command driven 
software package used for carrying out advanced  "
105.36,4.72,"statistical analysis and data visualization 
offering a wide variety of statistical methods  "
110.08,5.44,"and algorithms customizable options for analysis 
and output and publication quality graphics  "
115.52,5.76,"SAS is one of the most widely used software 
packages in the industry tool number six sql  "
121.28,5.76,"sql stands for structured query language and it's 
language used to access and manipulate databases  "
127.04,4.64,"you can think of sql as a tool that allows you to 
communicate and access data in a database which is  "
131.68,4.4,"necessary if you want to retrieve particularly 
useful data for analysis most large businesses  "
136.08,4.32,"use some form of sql to store their big data so 
learning sql is essential if you want to become  "
140.4,4.4,"a data analyst i hope you're enjoying our rapid 
list so far because i am let me know what you  "
144.8,3.92,"think about the tools we've shared so far in the 
comments below have we missed anything let us know  "
148.72,4.88,"tool number seven RapidMiner RapidMiner is 
a software package used for data mining or  "
153.6,4.72,"uncovering patterns and data text mining 
predictive analytics and machine learning  "
158.32,4.96,"used by data analysts and data scientists alike 
RapidMiner comes with a wide range of features  "
163.28,6.16,"including data modelling validation and 
automation now on to our penultimate tool power8  "
170.96,6.32,"tool number eight power bi power bi is a business 
analytics solution that lets you visualize your  "
177.28,4.88,"data and share your insights across your whole 
organization similar to tableau power bi is  "
182.16,4.8,"primarily used for data visualization while 
tableau is built for data analysts power bi  "
186.96,5.52,"is a more general business intelligence tool and 
last but not least tool number nine find report  "
192.48,4.8,"find report is another business intelligence 
tool used to monitor performance to identify  "
197.28,4.72,"trends in data and create reports and dashboards 
this is an especially user-friendly tool which  "
202.0,4.8,"is popular with both data analysts and non-data 
experts and that wraps up our super fast list of  "
206.8,4.56,"the nine essential data analytics tools again this 
is just a super brief introduction to some of the  "
211.36,3.6,"tools and languages which are used in the field 
you can get a good idea of what tools are most  "
214.96,4.56,"popular within the industry by browsing through 
data analyst job descriptions employers will  "
219.52,4.08,"often list the tools and languages that they 
expect the data analyst to work with i hope  "
223.6,4.08,"you've enjoyed this super fast introduction what 
tools and languages are you using your workplace  "
227.68,3.92,"drop them in the comments below if you've enjoyed 
this video subscribe to the channel for more data  "
231.6,3.76,"content just like this if you've enjoyed this 
video check out this other video which i've  "
235.36,3.6,"done about data analytics it's a much deeper 
dive into the field if you want to know more  "
238.96,4.08,"about the industry what exactly data analytics 
is or what you'll be doing on a day-to-day basis  "
243.04,4.4,"i strongly recommend you check it out thank you 
so much for watching and i'll see you again soon"
