second,duration,transcript
4.497,2.67,"SPEAKER: Welcome back,
future data analyst."
7.167,3.81,"As a budding analyst, you'll
be exposed to a lot of data."
10.977,3.91,"People learn and absorb data
in so many different ways,"
14.887,3.08,"and one of the most effective
ways that this can happen"
17.967,1.74,is through visualization.
19.707,3.33,"Data visualization is the
graphic representation"
23.037,2.01,and presentation of data.
25.047,2.52,"In reality, it's just
putting information"
27.567,3.96,"into an image to make it easier
for other people to understand."
31.527,2.13,"If you've ever looked
at any kind of map,"
33.657,2.827,"whether it's paper
or online, then you"
36.484,3.053,"know exactly how
helpful visuals can be."
39.537,1.77,"Data visualizations
are definitely"
41.307,1.62,having a moment right now.
42.927,3.66,"Online we are surrounded by
images that show information"
46.587,2.08,in all kinds of ways.
48.667,1.76,"But the history of
data visualization"
50.427,2.46,"goes back way
further than the web."
52.887,3.42,"Visualizing data began
long ago with maps,"
56.307,1.86,"which are the visual
representation"
58.167,1.32,of geographic data.
59.487,3.39,"This map of the known
world is from 1502."
62.877,3.18,"Mapmakers continue to
improve their visualizations"
66.057,2.73,"as new lands were
charted, new data"
68.787,2.04,"was collected about
those locations,"
70.827,3.54,"and new methods for visualizing
the data were created."
74.367,2.43,"Scientists and
mathematicians began"
76.797,2.94,"to truly embrace the idea
of arranging data visually"
79.737,2.73,in the 1700s and 1800s.
82.467,3.3,This bar graph is from 1821.
85.767,2.52,"And it doesn't look too
different from bar graphs"
88.287,1.14,that we see today.
89.427,2.4,"But since the beginning
of the digital age"
91.827,3.96,"of Data Analytics in the
1990s, the scope and reach"
95.787,1.83,"of visualizations
have grown along"
97.617,1.89,"with the data they
graphically represent."
99.507,2.94,"As we keep learning how to
more efficiently communicate"
102.447,4.62,"with visuals, the quality of our
insights continue to grow too."
107.067,3.51,"Today, we can quantify
human behavior through data."
110.577,3.04,"And we've learned to use
computers to collect, analyze,"
113.617,1.46,and visualize that data.
115.077,2.19,"As an analyst in
today's world, you'll"
117.267,2.94,"probably split your time with
data visuals in two ways,"
120.207,2.58,"looking at visuals in order
to understand and draw"
122.787,4.29,"conclusions about data, or
creating visuals from raw data"
127.077,1.2,to tell a story.
128.277,2.46,"Either way, it's
always good to keep"
130.737,3.87,"in mind that data visualizations
will be your key to success."
134.607,2.97,"This is especially true once
you reach the point where you're"
137.577,2.61,"ready to present the results
of your data analysis"
140.187,1.02,to an audience.
141.207,3.09,"Getting people to understand
your vision and thought process"
144.297,3.54,"can feel challenging, but a
well-made data visualization"
147.837,2.31,"has the power to
change people's minds."
150.147,2.64,"Plus, it can help
someone who doesn't"
152.787,2.94,"have the same technical
background or experience as you"
155.727,2.28,form their own opinions.
158.007,2.64,"So here's a quick rule for
creating a visualization."
160.647,2.46,"Your audience should
know exactly what"
163.107,1.84,"they're looking at
within the first five"
164.947,1.46,seconds of seeing it.
166.407,2.16,"Basically, this means
the visual should"
168.567,1.71,be clear and easy to follow.
170.277,2.85,"And the five seconds
after that, your audience"
173.127,2.91,"should understand the conclusion
your visualization is making,"
176.037,2.7,"even if they aren't totally
familiar with the research"
178.737,1.17,you've been doing.
179.907,2.62,"They might not agree with your
conclusion, and that's OK."
182.527,1.52,"You can always
use their feedback"
184.047,2.58,"to adjust your visualization
and go back to the data"
186.627,1.84,to do further analysis.
188.467,1.61,"So now let's talk
about what we have"
190.077,2.01,"to do to create a
visualization that's"
192.087,4.05,"understandable, effective, and
most importantly, convincing."
