second,duration,transcript
7.68,2.48,"When building a highly scalable system,  "
10.16,4.96,"choosing the right database is often the 
single most important decision we'll ever make."
15.12,5.04,"If we are fortunate enough to be tasked with 
the challenge of picking the next database  "
20.16,4.08,"for our super-fast growing business, 
here are some key points to consider."
25.2,3.28,"We are talking about a database 
for a real growing business,  "
28.48,6.64,"where a bad choice would lead to extended 
downtime, customer impact, and even data loss."
35.12,2.4,"We are not picking something 
for our weekend project."
38.16,2.8,This take is probably a bit controversial.
40.96,0.96,Let’s dive right in.
42.84,3.48,"First, are we positive that 
we need a different database?"
47.2,3.28,"There is a compelling reason we started 
to look for an alternative, right?"
51.44,2.24,Is the existing database breaking at the seams?
54.24,2.48,Maybe the p95 latency is through the roof.
57.36,3.52,"Maybe the working set is 
overflowing the available memory,  "
60.88,5.04,"and even the most basic requests need to 
go to the disk and slow everything down."
66.88,4.96,"Whatever the issues are, make 
sure they are not easily solvable."
72.56,2.8,Let’s read the database manual of our current  
75.36,3.44,"database system - front to 
back - and read it again."
79.92,6.24,"There could be a configuration knob or two that 
we can tweak to give us a bit more breathing room."
86.16,6.08,"This breathing room could come in handy, because 
migrating a database could take a long time,  "
92.24,1.84,usually much longer than we think.
95.12,4.8,"These knobs could come in the form of 
tuning the working set memory size,  "
99.92,6.0,"choosing a different compaction strategy or 
even changing some garbage collection behavior."
106.88,2.88,Databases are complex and highly tunable.
110.48,2.16,Understand the architecture of our database.
113.28,1.52,Know its limitations.
116.0,2.64,Reach out to experts in the community.
118.64,1.36,Describe our problems.
120.0,3.68,"People in the know could help, 
and often in surprising ways."
124.48,5.28,"To look for more untapped headroom, maybe there 
are some fixes to our application architecture  "
129.76,1.84,that would give us more breathing room.
132.4,4.72,"Can we put a cache in front of it, and 
give us a few more months of runway?"
137.68,3.76,"Can we add read replicas 
to offload some read load?"
141.44,3.52,"Can we shard the database, or 
partition the data in some way?"
145.52,4.8,"Maybe the data is naturally siloed, 
and sharding is an acceptable solution."
151.28,1.2,The bottomline is this:
153.04,4.24,"Migrating live production 
database is risky and costly."
157.28,4.4,"We better be damn sure that there is no 
way to keep using the current database."
162.72,4.4,"Okay, we have exhausted all 
avenues for the current database."
167.12,2.0,How do we go about choosing the next one?
