second,duration,transcript
0.0,4.35,all right for my research topic I
2.37,5.939,decided to do it on the architecture of
4.35,8.459,nvidia gpus originally I wanted to do it
8.309,7.051,on both AMD and NVIDIA but after I'd
12.809,4.351,done a couple hours of research I found
15.36,3.929,out that there is just going to be way
17.16,5.279,too much information to cover for both
19.289,4.951,architectures in just a 7 page paper so
22.439,4.59,I just decided to get a little more
24.24,7.02,specific and ended up just deciding to
27.029,6.721,do it on Nvidia's architecture alright
31.26,5.16,so when I was doing my research I just
33.75,4.379,started on a googled NVIDIA GPU
36.42,4.799,architecture and a few things came up
38.129,5.971,but the kind of the main thing I first
41.219,4.051,thing was Maxwell architecture so I
44.1,4.08,clicked on that and I started looking
45.27,4.53,into Maxwell architecture and actually
48.18,3.149,found that it's not really an
49.8,4.2,architecture it's a micro architecture
51.329,4.921,and at first I wasn't really sure
54.0,3.66,exactly what the difference was so then
56.25,3.48,I had to go and look up all the
57.66,4.26,information on that and then once I
59.73,4.14,found out kind of the differences I
61.92,3.66,realized oh I really did know the
63.87,3.63,difference between an architecture and a
65.58,5.399,micro architecture I just didn't really
67.5,5.909,know that I knew that so basically when
70.979,5.28,you think about the architecture it's
73.409,5.911,basically the instruction set usually we
76.259,4.591,just refer to it as is a but the
79.32,6.299,architecture includes things like the
80.85,8.07,registers the data types instruction
85.619,6.991,types like add sub etc things like that
88.92,4.949,kind of basically the things we learned
92.61,5.88,at the first of the semester in like
93.869,6.54,chapter 2 so kind of the way I like to
98.49,3.75,think about it is when I think about the
100.409,4.981,architecture I like to think about
102.24,5.4,programming with MIPS when you're
105.39,4.2,writing like a function like add in MIPS
107.64,4.32,that functions basically the
109.59,4.62,architecture and then when we look at
111.96,5.07,the microarchitecture this is basically
114.21,5.25,how the instruction set architecture is
117.03,4.549,actually implemented um this is kind of
119.46,4.74,the plans or like the design of how the
121.579,5.341,architecture will get done what it needs
124.2,5.309,to do on this this includes things like
126.92,4.51,pipelining data paths and branch
129.509,3.691,prediction this is kind of things we've
131.43,5.73,just barely learned about
133.2,6.509,Chapter four so I kind of want to give a
137.16,4.549,quick background or history of the
139.709,5.25,different Nvidia microarchitectures
141.709,6.101,basically because I had no idea that
144.959,3.901,they changed them I guess when I started
147.81,3.75,my research I just kind of figured that
148.86,3.959,Nvidia have an architecture and they
151.56,2.459,just kind of stuck to it and they made
152.819,3.691,like little improvements here and there
154.019,3.931,I didn't really think that they would
156.51,3.509,actually like rename them and change
157.95,5.13,them that much so I just kinda want to
160.019,4.171,give a quick background just on the
163.08,4.05,different ones I'm kind of when they
164.19,5.12,ended and when the new ones started so
167.13,4.56,the oldest one that I could really find
169.31,4.06,information on was Fermi and they do
171.69,3.81,have some architectures that are older
173.37,4.89,than for me but they don't really have
175.5,5.519,very much information on them so Fermi
178.26,7.02,and they used in their GeForce 400 and
181.019,6.33,500 series GPUs they faded Fermi out in
185.28,6.0,2011 and they replaced it with Kepler
187.349,5.371,and Tipler is pretty well-documented I
191.28,4.35,could find a lot of information on it
192.72,5.16,and they use that for their 600 and 700
195.63,6.389,series GPUs they use them in some of
197.88,5.82,their GeForce 800 M series GPUs and the
202.019,5.161,M is for mobile so they use those for
203.7,6.09,like laptops and the idea for Kepler was
207.18,6.0,to improve the energy efficiency over
209.79,5.61,Fermi and they use Cutler until 2014 and
213.18,3.72,they replaced Kepler with Maxwell and
215.4,4.739,Maxwell is what they're currently using
216.9,5.91,for Maxwell they use that in the later
220.139,4.711,models of the GeForce 700 series GPUs
222.81,6.29,and they use them in some of the hundred
224.85,6.57,M and in the 900 series the 900 series
229.1,4.81,it was a little bit confusing at first
231.42,4.11,on those also because there's two
233.91,4.859,versions of Maxwell there's Maxwell one
235.53,6.359,and Maxwell - Maxwell - was implemented
238.769,4.59,in the GeForce 900 series but it was
241.889,5.311,just it's basically the same they just
243.359,6.391,made slight improvements and again for
247.2,5.28,Maxwell they wanted to keep on improving
249.75,4.29,the energy efficiency but they also made
252.48,3.27,a lot of improvements to the stringing
254.04,5.91,multi processors
255.75,6.57,those are pretty complex and they're
259.95,4.89,kind of like at the heart of the
262.32,3.96,architecture I guess so I'll be going
264.84,2.37,over the streaming multi processors a
266.28,2.789,little bit later
267.21,5.7,but we kind of need a little bit more
269.069,5.1,information on how the GPU works and how
272.91,3.689,the architecture said it before we get
274.169,6.09,to those so I'll be going over those
276.599,5.04,here in just a little bit in my previous
280.259,4.47,slide I had talked a little bit about
281.639,4.981,this shimming multi processors and those
284.729,5.28,kind of work together with CUDA so I
286.62,5.91,wanted to give a quick rundown of CUDA
