second,duration,transcript
8.559,4.641,hey everyone welcome to this week's live
10.8,4.799,session today's topic is top 10 data
13.2,4.32,analysis tools but before we begin i'd
15.599,3.921,like to thank our viewers on youtube and
17.52,3.679,facebook for actively participating in
19.52,3.599,these sessions
21.199,5.24,so let's wait for a while for people to
23.119,3.32,tune in
34.399,3.68,if you have any questions do feel free
36.32,4.239,to leave them in our chat section and we
38.079,4.32,will be happy to answer them also make
40.559,4.961,sure to subscribe to our channel and hit
42.399,6.081,the bell icon to never miss an update
45.52,4.96,now let's get started
48.48,4.0,before i start off with the top 10 data
50.48,4.719,analysis tools i'd like to talk a bit
52.48,4.64,about data analysis
55.199,4.321,so have you ever wondered why data
57.12,4.32,analysis is important
59.52,4.16,there are zillions of companies across
61.44,4.56,the world all these companies generate a
63.68,4.56,lot of data they literally work with
66.0,4.4,this generated data
68.24,4.239,these companies depend on data to make
70.4,3.92,crucial decisions which can impact their
72.479,3.761,businesses
74.32,3.92,data in its raw format has to be
76.24,6.4,converted into meaningful information
78.24,4.4,which can then be used by organizations
83.68,5.439,this is done by analyzing the generated
86.08,6.079,data and for this we have data analysis
89.119,5.521,so what is data analysis
92.159,4.96,data analysis is not just a single step
94.64,4.88,but a set of processes it is the process
97.119,4.401,of collecting data then cleaning it when
99.52,4.639,i say cleaning it simply means removing
101.52,4.32,the irrelevant data and then this data
104.159,3.201,is transformed into meaningful
105.84,3.52,information
107.36,4.32,we can simply relate this process to how
109.36,4.24,you make a jigsaw puzzle just like how
111.68,3.68,you gather all the pieces together and
113.6,3.44,fit them accordingly to bring out a
115.36,3.759,beautiful picture
117.04,4.32,data analysis also works on almost the
119.119,4.561,same grounds
121.36,5.039,to achieve the goals of data analysis we
123.68,5.12,use a number of data analysis tools
126.399,4.64,companies rely on these tools to gather
128.8,4.64,and transform their data into meaningful
131.039,4.56,insights so which tool should you choose
133.44,3.76,to analyze your data which tool should
135.599,3.841,you learn if you want to make a career
137.2,3.6,in this field we will answer that in
139.44,3.519,this session
140.8,4.64,after extensive research we have come up
142.959,4.401,with these top 10 data analysis tools
145.44,3.68,here we will look at the features of
147.36,5.519,each of these tools and the companies
149.12,3.759,using them so let's start
154.84,6.039,off at number 10 we have microsoft excel
158.879,4.801,all of us would have used microsoft
160.879,4.72,excel at some point right it is easy to
163.68,3.04,use and one of the best tools for data
165.599,2.961,analysis
166.72,4.239,developed by microsoft excel is
168.56,4.56,basically a spreadsheet program using
170.959,4.56,excel you can create grids of numbers
173.12,4.56,text and formulae it is one of the
175.519,4.321,widely used tools be it in a small or
177.68,4.4,large setup
179.84,5.56,the interface of microsoft excel looks
182.08,3.32,like this
186.319,4.0,let's now move on to the features of
188.08,4.56,excel
190.319,4.64,firstly excel works with almost every
192.64,4.16,other piece of software in office we can
194.959,3.841,easily add excel spreadsheets to word
196.8,3.76,documents and powerpoint presentations
198.8,5.28,to create more visually appealing
200.56,3.52,reports or presentations
204.4,3.919,the windows version of excel supports
206.4,5.119,programming through microsoft's visual
208.319,5.361,basic for applications vba
211.519,4.0,programming with vba allows spreadsheet
213.68,4.32,manipulation that is difficult with
215.519,4.321,standard spreadsheet techniques
218.0,3.84,in addition to this the user can
219.84,5.039,automate tasks such as formatting or
221.84,5.039,date organization in vba
224.879,4.241,one of the biggest benefits of excel is
226.879,4.64,its ability to organize large amounts of
229.12,3.759,data into orderly logical spreadsheets
231.519,3.601,and charts
232.879,4.241,by doing so it's a lot easier to analyze
235.12,4.64,data especially while creating graphs
237.12,4.8,and other visual data representations
239.76,5.199,the visualization can be generated from
241.92,4.399,specified group of cells
244.959,3.441,those were few of the features of
246.319,3.761,microsoft excel
248.4,2.8,let's now have a look at the companies
250.08,3.04,using it
251.2,3.92,most of the organizations today use
253.12,4.32,excel few of them that use it for
255.12,4.959,analysis are the uk based company ernest
257.44,5.44,and young then we have urban pro wipro
260.079,2.801,and amazon
266.96,6.239,moving on to our next data analysis tool
269.199,5.761,at number nine we have rapidminer
273.199,3.601,a data science software platform
274.96,3.92,rapidminer provides an integrated
276.8,4.48,environment for data preparation
278.88,3.92,analysis machine learning and deep
281.28,3.52,learning
282.8,4.399,it is used in almost every business and
284.8,4.0,commercial sector rapidminer also
287.199,4.0,supports all the steps of the machine
288.8,4.08,learning process
291.199,4.681,seen on your screens is the interface of
292.88,3.0,rapidminer
297.6,5.76,moving on to the features of rapidminer
