second,duration,transcript
0.08,3.849,"Hey, I’m Jabril and welcome to Crash Course
AI."
3.929,2.99,"Say I want to get a cookie from a jar that’s
on a tall shelf."
6.919,2.921,"There isn’t one “right way” to get the
cookies."
9.84,6.03,"Maybe I find a ladder, use a lasso, or build
a complicated system of pulleys."
15.87,5.649,"These could all be brilliant or terrible ideas,
but if something works, I get the sweet taste"
21.519,4.52,"of victory... and I learn that doing that
same thing could get me another cookie in"
26.039,1.0,the future.
27.039,3.852,"We learn lots of things by trial-and-error,
and this kind of “learning by doing” to"
30.9,4.4,"achieve complicated goals is called Reinforcement
Learning."
35.3,8.96,INTRO
44.27,5.44,"So far, we’ve talked about two types of
learning in Crash Course AI: Supervised Learning,"
49.71,4.77,"where a teacher gives an AI answers to learn
from, and Unsupervised Learning, where an"
54.48,2.14,AI tries to find patterns in the world.
56.62,4.3,"Reinforcement Learning is particularly useful
for situations where we want to train AIs"
60.92,3.94,"to have certain skills we don’t fully understand
ourselves."
64.86,4.79,"For example, I’m pretty good at walking,
but trying to explain the process of walking"
69.65,2.31,is kind of difficult.
71.96,3.15,"What angle should your femur be relative to
your foot?"
75.11,5.75,"And should you move it with an average angular
velocity of… yeah, never mind… its really"
80.86,1.0,difficult.
81.86,4.74,"With reinforcement learning, we can train
AIs to perform complicated tasks."
86.6,4.74,"But unlike other techniques, we only have
to tell them at the very end of the task if"
91.34,4.26,"they succeeded, and then ask them to tell
us how they did it."
95.6,5.2,"(We’re going to focus on this general case,
but sometimes this feedback could come earlier."
100.8,5.14,"So if we want an AI to learn to walk, we give
them a reward if they’re both standing up"
105.94,5.02,"and moving forward, and then figure out what
steps they took to get to that point."
110.96,5.14,"The longer the AI stands up and moves forward,
the longer it’s walking, and the more reward"
116.1,1.11,it gets.
117.21,5.68,"So you can kind of see how the key to reinforcement
learning is just trial-and-error, again and"
122.89,1.0,again.
123.89,4.67,"For humans, a reward might be a cookie or
the joy of winning a board game."
128.56,5.57,"But for an AI system, a reward is just a small
positive signal that basically tells it “good"
134.13,2.08,job” and “do that again”!
136.21,4.19,"Google Deepmind got some pretty impressive
results when they used reinforcement learning"
140.4,5.79,"to teach virtual AI systems to walk, jump,
and even duck under obstacles."
146.19,3.99,"It looks kinda silly, but works pretty well!"
150.18,3.2,"Other researchers have even helped real life
robots learn to walk."
153.38,4.98,"So seeing the end result is pretty fun and
can help us understand the goals of reinforcement"
158.36,1.0,learning.
159.36,3.68,"But to really understand how reinforcement
learning works, we have to learn new language"
163.04,2.7,"to talk about these AI and what they’re
doing."
165.74,5.94,"Similar to previous episodes, we have an AI
(or Agent) as our loyal subject that’s going"
171.68,1.0,to learn.
172.68,5.58,"An agent makes predictions or performs Actions,
like moving a tiny bit forward, or picking"
178.26,2.55,the next best move in a game.
180.81,5.31,"And it performs actions based on its current
inputs, which we call the State."
186.12,3.869,"In supervised learning, after /each/ action,
we would have a training label that tells"
189.989,2.671,our AI whether it did the right thing or not.
192.66,3.98,"We can’t do that here with reinforcement
learning, because we don’t know what the"
196.64,3.9,"“right thing” actually is until it’s
completely done with the task."
200.54,4.68,"This difference actually highlights one of
the hardest parts of reinforcement learning"
205.22,1.73,called credit assignment.
206.95,5.56,"It’s hard to know which actions helped us
get to the reward (and should get credit)"
212.51,4.559,"and which actions slowed down our AI when
we don’t pause to think after every action."
217.069,3.75,"So the agent ends up interacting with its
Environment for a while, whether that’s"
220.819,3.651,"a game board, a virtual maze, or real life
kitchen."
224.47,5.46,"And the agent takes many actions until it
gets a Reward, which we give out when it wins"
229.93,4.04,"a game or gets that cookie jar from that really
tall shelf."
233.97,5.099,"Then, every time the agent wins (or succeeds
at its task), we can look back on the actions"
239.069,5.101,"it took and slowly figure out which game states
were helpful and which weren’t."
244.17,3.99,"During this reflection, we’re assigning
Value to those different game states and deciding"
248.16,3.219,on a Policy for which actions work best.
251.38,3.56,We need Values and Policies to get anything done in reinforcement learning.
254.94,7.12,"Let’s say I see some food in the kitchen:
a box, a small bag, and a plate with a donut."
262.079,5.271,"So my brain can assign each of these a value,
a numerical yummy-ness value."
267.35,6.86,"The box probably has 6 donuts in it, the bag
probably has 2, and the plate just has 1…"
274.21,3.139,"so the values I assign are 6, 2, and 1."
277.349,4.811,"Now that I’ve assigned each of them a value,
I can decide on a policy to plan what action"
282.16,1.0,to take!
283.16,5.499,"The simplest policy is to go to the highest
value (that box of possibly 6 donuts)."
288.659,6.23,"But I can’t see inside of it, and that could
be a box of bagels, so it’s high reward"
294.889,1.0,but high risk.
295.889,5.0,"Another policy could be low reward but low
risk, going with the plate with 1 guaranteed"
300.889,1.631,delicious donut.
302.52,4.25,"Personally, I’d pick a middle-ground policy,
and go for the bag because I have a better"
306.77,6.769,"chance of guessing that there are donuts inside
than the box, and a value of 1 donut isn’t"
313.539,1.0,enough.
314.539,3.78,"That’s a lot of vocab, so let’s see these
concepts in action to help us remember everything."
318.319,3.921,"Our example is going to focus on a mathematical
framework that could be used with different"
322.24,1.699,underlying machine learning techniques.
323.939,4.5,"Let’s say John-Green-bot wants to go to
the charging station to recharge his batteries."
328.439,5.181,"In this example, John-Green-bot is a brand
new Agent, and the room is the Environment"
333.62,1.349,he needs to learn about.
334.969,6.04,"From where he is now in the room, he has four
possible Actions: moving up, down, left, or"
341.009,1.0,right.
342.009,4.99,"And his State is a couple of different inputs:
where he is, where he came from, and what"
346.999,1.07,he sees.
348.069,3.8,"For this example, we’ll assume John-Green-bot
can see the whole room."
351.869,4.85,"So when he moves up (or any direction), his
state changes."
356.72,4.58,"But he doesn’t know yet if moving up was
a good idea, because he hasn’t reached a"
361.3,0.76,goal.
362.06,11.68,"So go on, John-Green-bot... explore!"
373.75,4.889,"He found the battery, so he got a Reward (that
little plus one)."
378.639,4.131,"Now, we can look back at the path he took
and give all the cells he walked through a"
382.77,5.66,"Value -- specifically, a higher value for
those near the goal, and lower for those farther"
388.43,1.0,away.
389.43,4.299,"These higher and lower values help with the
trial-and-error of reinforcement learning,"
393.729,4.331,"and they give our agent more information about
better actions to take when he tries again!"
398.06,5.3,"So if we put John-Green-bot back at the start,
he’ll want to decide on a Policy that maximizes"
403.36,0.68,reward.
404.04,5.859,"Since he already knows a path to the battery,
he’ll walk along that path, and he’s guaranteed"
409.899,1.8,another +1.
411.699,2.49,But that’s… too easy.
414.189,4.09,"And kind of boring if John-Green-bot just
takes the same long and winding path every"
418.279,1.0,time.
419.279,4.72,"So another important concept in reinforcement
learning is the trade-off between exploitation"
423.999,1.45,and exploration.
425.449,4.311,"Now that John-Green-bot knows one way to get
to the battery, he could just exploit this"
429.76,3.489,knowledge by always taking the same 10 actions.
433.249,4.82,"It’s not a terrible idea -- he knows he
won’t get lost and he’ll definitely get"
438.069,1.0,a reward.
439.069,6.02,"But this 10-action path is also pretty inefficient,
and there are probably more efficient paths"
445.089,1.061,out there.
446.15,3.449,So exploitation may not be the best strategy.
449.599,4.88,"It’s usually worth trying lots of different
actions to see what happens, which is a strategy"
454.479,2.42,called exploration.
456.899,4.85,"Every new path John-Green-bot takes will give
him a bit more data about the best way to"
461.749,1.0,get a reward.
462.749,4.891,"So let’s let John-Green-bot explore for
100 actions, and after he completes a path,"
467.64,3.04,"we’ll update the values of the cells he’s
been to."
