second,duration,transcript
0.0,5.76,"Do you want to make some cool visuals effects 
for your games? For most games you don't need  "
5.76,4.32,"to think too much, but if you want some cool 
lighting effects or to make a nice looking  "
10.08,5.52,"3D game or some post-processing effects or 
stylized art you would need, at some point,  "
15.6,5.4,"learn the rendering pipelines. I can't say it's 
easy, but who said it would be? The whole game  "
21.0,4.92,"development process is very complicated, but 
this video will try to explain rendering in  "
25.92,5.82,"the most basic words possible and will gradually 
dig in deeper, so hopefully this knowledge will  "
31.74,4.74,"let you understand not only specific aspects of 
the chosen game engine, but the whole process  "
36.48,5.4,"used similarly in most of the engines and 
frameworks out there. So let's overcome the  "
41.88,6.0,"fear of getting into rendering by diving into the 
heavily inspired by OpenGL Rendering Pipeline."
56.88,5.82,"Render Pipeline is a whole process of making your 
visual components visible on a screen, but don't  "
62.7,5.7,"worry! Modern frameworks and game engines simplify 
the process. For example Defold takes care of  "
68.4,4.92,"a tremendous amount of stuff that is needed for 
each pixel to be displayed on different devices.  "
73.32,5.58,"You can interact with rendering on some very top 
layer, but also have the possibility to dig in  "
78.9,7.02,"to achieve really cool things. Render Pipeline 
answers 3 crucial questions: What to render?  "
85.92,7.5,"Where to render? and When to render? By answering 
them one by one you will see the whole picture.  "
93.42,7.38,"In Defold ""What to render"" is defined by Render 
Predicate - a kind of group of visual components.  "
100.8,5.16,"Where to render"" is defined by the view of the 
game's world through some kind of projection,  "
105.96,6.36,"like you would see the word through a camera, but 
on a flat screen. And finally ""When to render"" is  "
112.32,5.88,"controlled by the Render Script. So what you 
can render? Simply all visual components, but  "
118.2,4.92,"additionally, in Defold, you can group them. You 
can use the mentioned Render Predicates for this.  "
123.12,5.7,"Those are kind of filters allowing you to control 
what to render on screen. Visual components like  "
128.82,6.42,"for example Sprites, Tilemaps and 3D models are 
all rendered on screen separately, GUI nodes are  "
135.24,5.04,"drawn separately on screen or even some debugging 
lines and texts. You can create more such  "
140.28,5.4,"predicates to control what you are drawing, for 
example you can disable drawing GUI at all, you  "
