second,duration,transcript
10.26,2.878,"You might not realize it,
but we are surrounded by CPUs,"
13.138,2.794,"or processors, and the
computing they do for us."
15.932,2.544,"They touch every aspect
of our lives."
18.476,3.212,"CPUs are in your laptop, in the
machines you use to check out"
21.688,2.586,"at the grocery store, in the
electronics that power the"
24.274,2.002,"instruments in your
car more efficiently."
26.276,2.502,"They enable our artists and
scientists to create things"
28.778,3.045,"that were
unimaginable only yesterday."
31.823,4.421,"CPUs are everywhere, and shape
just about everything we do."
36.244,2.836,"Welcome to Architecture All
Access CPU"
39.08,1.46,Architecture Part Two.
51.342,3.671,"Hi, my name is Boyd Phelps,
and over the last 23 years I've"
55.013,2.044,"had the privilege of working on
some of the most well known"
57.057,1.918,"chip designs
in Intel's history."
58.975,1.96,"From the architectural
definition and design of"
60.935,3.587,"the Pentium 4, to designing
the Nehalem, Westmere, Haswell,"
64.522,2.711,"Broadwell and Tiger Lake
processors and many more."
67.233,2.253,"Today, I help lead the
development of Intel's Client"
69.486,2.252,"Engineering Teams, where I
oversee the development of"
71.738,2.586,current and future products.
74.324,3.003,"In Part One of the CPU
Architecture series, we talked"
77.327,2.961,"about what CPUs are,
the history of the CPU,"
80.288,3.003,"the concept of computing
abstraction layers, as well as"
83.291,1.877,"the
instruction Set Architecture."
85.168,1.668,"The instruction set
architecture is what we"
86.836,3.754,"normally refer to as the
architecture of a CPU."
90.59,2.711,"Today we want to delve into
what the microarchitecture of a"
93.301,3.212,"CPU looks like, or in
other words, once an ISA"
96.513,2.961,"is defined, how you might go
about implementing that ISA"
99.474,3.378,"into a microarchitecture,
and what the main building"
102.852,3.254,"blocks of the functions of that
microarchitecture would be."
106.106,0.875,So let's dive in.
112.529,3.086,"A microarchitecture is an
implementation or specific"
115.615,2.377,"design of an
instruction set architecture."
117.992,3.045,"The first step is to fetch or
retrieve the instructions from"
121.037,2.711,"memory so that the
CPU knows what the program"
123.748,1.502,wants executed.
125.25,2.419,"This is called the
Fetch stage."
127.669,2.836,"The next step is to decode the
fetched instructions"
130.505,1.877,into native operations.
132.382,2.377,"This is called the
Decode stage."
134.759,3.003,"Sometimes this means taking the
instructions and breaking them"
137.762,2.503,"down into
multiple internal operations."
141.599,2.962,"Once the instructions have
been decoded, the CPU needs"
144.561,1.668,to execute them.
146.229,2.92,"There are many different
types of operations."
149.149,3.336,"The CPU can perform
math such as add, subtract,"
152.485,3.212,"multiply, divide, or perform
boolean operations"
155.697,3.253,"such as AND, OR, XOR, NOT."
158.95,3.503,"The CPU also compares data,
makes decisions about where to"
162.453,1.502,go next in the code.
163.955,3.212,"We call these decision
instructions ""branches"" as they"
167.167,2.502,"can steer code
to different places."
169.669,2.836,"There are many other
operations CPUs perform,"
172.505,3.295,"depending on the ISA and what
we call the Execute stage."
176.968,2.669,"Finally, the CPU will
store those results."
179.637,2.962,"Sometimes those are saved
locally in a register,"
182.599,2.127,"and sometimes they're
stored in memory."
184.726,2.252,"This is called the
Write Back stage."
186.978,3.253,"These operations make up the
basic building blocks of"
190.231,1.585,every modern CPU.
191.816,2.669,"When put together, they are
referred to as"
194.485,1.544,the CPU's pipeline.
201.534,3.754,"Now that we have described a
basic pipeline, what do modern"
205.288,1.793,microprocessors look like?
207.081,3.254,"Over time, the average number
of pipeline stages has grown."
210.335,2.711,"A pipeline is very
similar to an assembly line."
213.046,2.586,"The more stages are added,
the less is done in"
215.632,1.585,each individual stage.
217.217,2.335,"Now when Henry Ford wanted to
drive down the cost of the"
219.552,3.295,"Model T, he built an assembly
line with many stages."
222.847,3.337,"This made each stage simpler,
allowing workers to specialize"
226.184,2.169,in one specific task.
228.353,2.586,"This, in turn, allowed workers
to do their tasks at"
230.939,3.086,"the same time,
in a pipeline fashion."
234.025,3.462,"The result was an automotive
revolution that put cars into"
237.487,2.711,"the hands of more
people at a lower price."
241.241,1.918,CPUs are very similar.
243.159,2.92,"In general, the more pipeline
stages you have, the faster"
246.079,3.044,"each stage can run, and the
more stages are being"
249.123,1.961,done in parallel.
251.084,3.795,"A modern microprocessor has
around 15 to 20 stages."
254.879,2.586,"The Fetch and Decode stages
typically have six to"
257.465,1.418,10 stages.
258.883,2.586,"Collectively, these are called
the ""Front End"
261.469,1.794,of the microprocessor.
263.263,3.753,"Execute and Write Back have
also grown into roughly six"
267.016,1.335,to 10 stages.
268.351,3.67,"These are called the ""Back End""
of the microprocessor."
272.021,2.169,"A CPU's
pipeline is synchronous,"
274.19,2.461,"and what we mean by that is
each pipeline is controlled"
276.651,4.046,"by a clock, and each data goes
from one pipeline stage to the"
280.697,3.42,"next as a CPU clock
completes a cycle."
284.117,2.669,"The number of stages partially
determines what the peak"
286.786,2.669,frequency of a CPU is.
289.455,3.295,"Now modern day CPUs
can run over five gigahertz."
292.75,2.586,"The amount of logic in each of
these stages determines how"
295.336,2.753,"fast the stages or
clock can operate."
298.089,2.628,"If a CPU runs
at five gigahertz, this means"
300.717,3.628,"that the stages each need to
complete in five-billionths"
304.345,1.126,of a second.
305.471,3.754,"Remember, a hertz is one
cycle per second."
