second,duration,transcript
0.0,2.48,being good at data structures and
1.12,3.199,algorithms is a computer science
2.48,3.76,equivalent of having
4.319,3.201,i mean everyone assumes you're a genius
6.24,2.399,you get high paying offers from
7.52,2.8,prestigious companies
8.639,3.521,and you even have a high social market
10.32,3.84,value on internet forums but the journey
12.16,2.559,from lead cell to algo chat is not an
14.16,1.84,easy one
14.719,3.281,it's filled with frustration and
16.0,4.08,imposter syndrome i know i've been there
18.0,4.16,but now i have offers from feng which
20.08,3.92,basically qualifies me to cure cancer
22.16,3.52,so to give back and help even the most
24.0,3.84,confusing programmers
25.68,4.56,consider this video my cure since this
27.84,9.83,industry is cancer
30.24,7.43,[Music]
38.879,3.041,the most important part of learning
40.16,2.559,something new is that you actually want
41.92,2.799,to learn it
42.719,3.121,this is why i failed out of spanish one
44.719,2.721,so before we start
45.84,3.76,ask yourself why do you want to learn
47.44,4.0,this don't do it to get a job at google
49.6,3.279,do it because learning this changes the
51.44,2.08,way you think data structures and
52.879,2.721,algorithms
53.52,3.519,is about solving problems efficiently a
55.6,2.88,bad programmer solves the problem
57.039,3.2,inefficiently and a
58.48,3.44,really bad programmer doesn't even know
60.239,2.561,why their solution is inefficient so
61.92,3.01,let's start with that
62.8,3.92,how do we rank an algorithm's efficiency
64.93,3.229,[Music]
66.72,3.04,say we wrote a function that goes
68.159,3.361,through every number in a list and adds
69.76,2.24,it to a total sum variable if you
71.52,2.4,consider
72.0,3.68,adding to be one operation then running
73.92,4.0,this function on a list with 10 numbers
75.68,4.56,costs 10 operations running it on a list
77.92,3.839,with 20 numbers costs 20 operations
80.24,3.28,say we wrote another function that just
81.759,3.601,returns the first number in a list then
83.52,3.52,no matter how large the list is this
85.36,2.32,function will never cost more than one
87.04,2.16,operation
87.68,3.2,clearly these two algorithms have a
89.2,3.2,different time complexity or
90.88,3.12,relationship between growth of input
92.4,3.039,size and growth of operations we
94.0,2.079,communicate these time complexities
95.439,3.36,using big
96.079,4.161,o notation referring to input size as n
98.799,4.721,common complexities are
100.24,6.879,constant linear quadratic
103.52,5.84,logarithmic n log n exponential
107.119,3.04,and factorial our first algorithm runs
109.36,2.88,in o of n
110.159,3.841,meaning its operations grow in a linear
112.24,3.44,relationship with the input size which
114.0,3.28,in this case is the amount of numbers in
115.68,3.36,the list our second algorithm
117.28,3.68,is not dependent on the input size at
119.04,3.52,all so it runs in constant time let's
120.96,2.96,take a look at how many operations a
122.56,3.919,program will have to execute in a
123.92,4.72,function with an input size of 5
126.479,4.081,versus 50. it might not matter when the
