second,duration,transcript
0.21,4.02,[Music]
0.329,5.661,a popular interview question concerns
4.23,3.869,the four core concepts in
5.99,5.729,object-oriented programming this
8.099,7.381,concepts are encapsulation abstraction
11.719,5.741,inheritance and polymorphism let's look
15.48,4.02,at each of these concepts before
17.46,4.02,object-oriented programming we had
19.5,4.47,procedure of programming that divided a
21.48,4.68,program into a set of functions so we
23.97,4.83,have data stored in a bunch of variables
26.16,5.55,and functions that operate on the data
28.8,5.16,this style of programming is very simple
31.71,4.349,and straightforward often it's what you
33.96,4.47,learn as part of your first programming
36.059,4.32,subject at a university but as your
38.43,3.87,programs grow it will end up with a
40.379,4.321,bunch of functions that are all over the
42.3,4.71,place you might find yourself copying
44.7,4.32,and pasting lines of code over and over
47.01,4.11,you make a change to one function and
49.02,5.01,then several other functions break
51.12,5.13,that's what we call spaghetti code there
54.03,5.15,is so much interdependence e between all
56.25,4.98,these functions it becomes problematic
59.18,4.21,object-oriented programming came to
61.23,4.05,solve this problem in object-oriented
63.39,4.38,programming we combine a group of
65.28,6.36,related variables and functions into a
67.77,6.09,unit we call that unit an object we
71.64,5.339,refer to these variables as properties
73.86,6.149,and the functions as methods here's an
76.979,5.28,example think of a car a car is an
80.009,5.821,object with properties such as make
82.259,6.781,model and color and methods like start
85.83,3.6,stop and move now you might say what
89.04,2.64,marche
89.43,5.46,we don't have cars in our programs give
91.68,5.1,me a real programming example ok think
94.89,4.47,of the local storage object in your
96.78,5.28,browser's every browser has a local
99.36,5.7,storage object that allows you to store
102.06,5.55,data locally this local storage object
105.06,4.44,has a property like length which returns
107.61,5.61,the number of objects in the storage and
109.5,5.88,metals like set item and remove item so
113.22,4.59,in object-oriented programming we group
115.38,5.309,related variables and functions that
117.81,5.909,operate on them into objects and this is
120.689,5.64,what we call encapsulation let me show
123.719,5.4,you an example of this in action so here
126.329,5.851,we have three variables base salary over
129.119,3.581,time and rate below these we have a
132.18,3.669,function
132.7,4.98,to calculate the wage for an employee we
135.849,4.381,refer to this kind of implementation as
137.68,4.8,procedural so we have variables on one
140.23,4.86,side and functions on the other side
142.48,4.89,they're hard decoupled now let's take a
145.09,4.29,look at the object-oriented way to solve
147.37,5.13,this problem we can have an employee
149.38,6.21,object with three properties a salary
152.5,6.39,over time and rate and a method called
155.59,5.22,get wage now why is this better well
158.89,4.709,first of all look at the get wage
160.81,6.3,function this function has no parameters
163.599,6.211,in contrast in a procedural example our
167.11,4.92,get wage function has three parameters
169.81,4.44,the reason in this implementation we
172.03,4.85,don't have any parameters is because all
174.25,5.819,these parameters are actually modeled as
176.88,5.32,properties of this object all these
180.069,4.23,properties and the get wage function
182.2,4.5,they are highly related so they are part
184.299,5.16,of one unit so one of the symptoms of
186.7,5.31,procedural code is functions with so
189.459,4.651,many parameters when you write code in
192.01,4.5,an object-oriented way your functions
194.11,5.909,end up having fewer and fewer parameters
196.51,6.18,as Uncle Bob says the best functions are
