second,duration,transcript
0.16,4.9,[Music]
7.94,5.5,AI or artificial intelligence allows
11.46,4.139,businesses to improve their productivity
13.44,4.2,improve the quality and in general makes
15.599,4.561,user interfaces more pleasant for people
17.64,4.08,to use my name is parola Christensen I'm
20.16,3.36,a professor of interactive systems
21.72,3.36,engineering and I lead the intelligent
23.52,2.94,interactive systems group in the
25.08,3.18,department of engineering at the
26.46,3.659,University of Cambridge I have worked in
28.26,3.48,human computer interaction for about 20
30.119,3.421,years and also developed several
31.74,3.3,professional products in the area this
33.54,3.48,course is about teaching principal
35.04,4.74,techniques for Designing human AI system
37.02,4.26,it uses principles and techniques from
39.78,3.54,design engineering human computer
41.28,4.619,interaction and artificial intelligence
43.32,4.079,to teach professionals how to come up
45.899,4.32,with a comprehensive design document
47.399,5.101,that covers all relevant aspects of the
50.219,3.781,design of a human AI system a big
52.5,3.12,passion of mine is to ensure that this
54.0,3.899,course has actionable outcomes for
55.62,4.34,professionals every module in this
57.899,4.561,course will have a practical exercise
59.96,5.62,that teachers professionals a particular
62.46,6.24,design technique or method further every
65.58,5.28,module in this course will gradually
68.7,4.26,lead to the completion of a
70.86,4.5,comprehensive human AI design document
72.96,4.86,that covers all relevant aspects of a
75.36,4.5,human AI design so this course has very
77.82,4.14,Broad applicability and does not require
79.86,3.78,deep technical expertise we will
81.96,4.14,demonstrate the versatility of AI
83.64,4.74,through many different domains including
86.1,3.9,manufacturing product design but also
88.38,3.9,indices such as the medical domain
90.0,4.14,insurance and banking if you have an
92.28,4.04,interest in AI this is the course for
94.14,2.18,you
97.68,2.119,thank you
