second,duration,transcript
0.08,3.119,what's going on everybody welcome back
1.599,3.2,to another video today we are going to
3.199,4.241,be looking at my favorite course on
4.799,2.641,statistics
8.57,4.79,[Music]
11.599,3.361,now before we get into today's video i
13.36,2.72,want to give a huge shout out to today's
14.96,3.6,sponsor which is
16.08,4.16,udemy you guys know that i absolutely
18.56,4.0,love udemy i have learned
20.24,3.76,so many things and taken so many courses
22.56,3.84,on their platform
24.0,3.199,be sure to check them out i have a page
26.4,3.039,where you can look at
27.199,3.041,every single course that i recommend on
29.439,4.081,topics like
30.24,4.64,sql excel python tableau and more
33.52,3.36,and we are going to be looking at one of
34.88,3.519,the courses that i recommend today
36.88,2.96,so huge shout outs to you to me thank
38.399,2.0,you guys so much for sponsoring this
39.84,2.0,video
40.399,3.201,so something that i get asked all the
41.84,3.6,time is alex do i need math and
43.6,2.56,statistics to become a data analyst and
45.44,3.279,my answer is
46.16,4.559,almost always no i think at the
48.719,3.201,beginning you really don't need it as
50.719,2.801,much as knowing some of the more
51.92,4.88,technical skills like
53.52,5.359,sql python tableau excel but as you get
56.8,3.599,further along in your career statistics
58.879,2.081,it does start to become more important
60.399,2.64,and so
60.96,4.0,i think that learning it and knowing it
63.039,3.76,is a really really important part of
64.96,2.64,becoming a really good data analyst in
66.799,2.64,the long term
67.6,3.92,now i know that math and statistics can
69.439,3.841,be a little bit intimidating at first
71.52,3.36,especially if you know that you're not
73.28,3.44,very good at it and so you tend to kind
74.88,3.76,of push that off and not want to learn
76.72,3.68,it i know i am guilty of that
78.64,3.6,big time but i know that if i was able
80.4,2.48,to learn it you will absolutely be able
82.24,1.76,to learn it
82.88,3.279,and the course that we're going to look
84.0,2.72,at today was one that i took and i think
86.159,2.721,is a
86.72,4.16,fantastic course it was one that i was
88.88,3.12,really intimidated to take i didn't
90.88,2.72,think that i was going to be able to
92.0,3.92,really understand the concepts
93.6,4.08,and understand it and apply it to my job
95.92,2.64,but i really was able to do that with
97.68,2.24,this course
98.56,3.199,so i'm not going to drag this out any
99.92,2.559,longer let's look at the course and see
101.759,2.32,what it is
102.479,3.201,as you can see on your screen it is
