second,duration,transcript
1.62,3.0,foreign
7.639,4.781,visualization in data science
10.559,3.901,my thanks for talk was that hosts for
12.42,3.66,making the stock possible I trust a
14.46,4.7,couple of words about me as it was
16.08,5.64,already set I am book Grand Master
19.16,4.48,in in hold the first place in the
21.72,4.26,ranking for some time so I have some
23.64,3.899,experience in data visualization and
25.98,3.6,currently I am working at the senior
27.539,4.56,data scientist at Karim and use that
29.58,5.04,resultation at my job too so I have some
32.099,4.8,practical experience in Industry too
34.62,3.0,uh let me present you the content of my
36.899,2.881,talk
37.62,4.56,first of all I'll speak about better
39.78,4.92,reservation in general why is it useful
42.18,5.34,how can it be used for everyday tasks
44.7,5.1,and what is it then I'll speak a bit
47.52,5.219,about the history the history of data
49.8,6.02,visualization is a huge topic so I'll
52.739,5.64,just highlight several important points
55.82,4.66,nowadays people usually use specialized
58.379,4.261,software for data visualization and I'll
60.48,5.22,show examples and when possible the
62.64,4.92,pieces of code for it uh there are a lot
65.7,4.62,of types of charts which people use for
67.56,5.46,data visualization so they have various
70.32,4.619,ways of being categorized and I'll show
73.02,3.48,these ways
74.939,3.961,um next if you are doing that
76.5,4.56,visualization like for yourself or
78.9,4.859,infrequently then you could use just
81.06,5.04,default ways of doing it but you aim to
83.759,6.021,do it professionally you would need more
86.1,6.24,skills and I will talk about the skills
89.78,4.6,is that previous points were more about
92.34,3.3,the theory even though with some pieces
94.38,4.08,of code and next I'll talk about
95.64,4.979,practice I'll show several examples of
98.46,4.26,taking a mediocre visualization and
100.619,4.86,improving it we will see how can they be
102.72,4.32,improved step by step and then I will
105.479,3.78,show some practical examples of
107.04,3.539,visualizations used for machine learning
109.259,3.621,specifically for models for
110.579,5.761,interpretation and so on
112.88,5.62,so what is that visualization if we use
116.34,3.84,a formal definition then data
118.5,3.84,visualization is the graphical
120.18,6.18,representation of information and data
122.34,6.54,Yeah so basically we are humans our life
126.36,5.099,our eyes are drawn to colors to shapes
128.88,5.34,and patterns so data visualization uses
131.459,4.621,them and regrets our interest and tries
134.22,5.34,to keep us interested in the message
136.08,5.58,when we see a chart we usually can see
139.56,4.16,the trends and developers if we see
141.66,4.62,something we can easily easily
143.72,4.78,internalize and understand it and this
146.28,4.02,is how storytelling works this is much
148.5,3.42,better than just studying at a huge
150.3,4.68,spreadsheet with data and then selling
151.92,5.1,nothing but it's not that easy you can't
154.98,3.72,just slap a random chart on the data
157.02,4.079,yeah to create an efficient that
158.7,5.22,visualization we need to balance the
161.099,4.92,form and the function for example if we
163.92,3.84,have a practical bad playing graph it
166.019,3.961,could be too boring to capture people's
167.76,5.339,attention yeah on the other hand if you
169.98,4.8,have Estonian visualization it may have
173.099,4.261,may fail at delivering the right message
174.78,4.739,information yes so the data and the
177.36,3.72,visualization need to work together and
179.519,4.621,there is not to combine in great
181.08,4.92,analysis with great storytelling now I
184.14,3.84,will show two practical examples where
186.0,4.7,data visualization shines compared to
187.98,5.339,these looking at simple back statistics
190.7,5.14,this small data set is called as
193.319,5.34,compressed that it worked it shows four
195.84,4.619,pairs of X and Y they have different
198.659,3.541,values and yet they have the same
200.459,4.5,statistics and correlation as you can
202.2,7.259,see in all the cases the mean value of x
204.959,6.541,is nine the mean value of y is 7 7.5
209.459,5.101,when the correlation is the same yeah
211.5,5.34,but if we look at the plots we see a
214.56,4.2,completely different story yeah the
216.84,4.5,first Port is something which we could
218.76,5.58,expect of a Europe situation when I have
221.34,5.1,some data or some random noise and but
224.34,3.78,it's still currently yeah but if you
226.44,3.06,look at the second and the third charts
228.12,3.66,you can see that they are very different
229.5,4.379,from the first one and of course there
231.78,5.519,is the last plot which has a huge
233.879,6.061,outlier and uh yes so so you can see
237.299,4.981,that we have the similar data they have
239.94,4.74,similar statistics but they look
242.28,4.2,completely different of course when we
244.68,4.38,have this small table we can see the
246.48,5.1,problem almost immediately here but if
249.06,4.02,we have some huge data some big data
251.58,3.48,with million Scrolls it would be
253.08,4.14,impossible to just understand something
255.06,4.859,by looking at it so visualization would
257.22,5.22,really help in this case yeah another
259.919,4.981,fun example if this is the set it's
262.44,5.16,called the resource doesn't yeah as you
264.9,5.88,could guess from its name it has 12 data
267.6,6.72,sets with the same stats so basically we
270.78,5.52,have a 12 uh different data sets which
274.32,3.9,have the same means the same statistics
276.3,4.08,but as you can see they look completely
278.22,3.84,different yeah so this is another great
280.38,4.08,example of the importance of data
282.06,4.32,visualization
284.46,4.38,um as I said history about the
286.38,4.62,visualization is a huge and vast topic
288.84,4.68,yeah but it's not possible to speak
291.0,4.919,about everything in my talk so if you
293.52,4.92,want to know more about
295.919,5.301,some important Milestones then you could
298.44,6.479,read this slide yeah but I'll talk about
301.22,6.28,two points first of all I want to show
304.919,5.101,this awesome visualization yeah this
307.5,5.52,visualization was done around two
310.02,5.52,centuries ago and it's called the minor
313.02,7.02,minor diagram it shows the losses
315.54,7.499,suffered by Napoleon's Army in the 1812.
320.04,5.999,here you can see six variables the size
323.039,6.121,of the army the location in the
326.039,4.321,two-dimensional surface this time the
329.16,3.66,direction of movement and the
330.36,4.44,temperature Yeah so basically when you
332.82,4.02,look at the line the width illustrates
334.8,5.82,the size of the army at a specific point
336.84,5.22,of time the temperature axis shows the
340.62,3.9,possible cause of the change of
