second,duration,transcript
0.0,22.34,I want you to close your eyes and
18.15,7.68,imagine the image of a data scientist
22.34,7.029,are you picturing it but woody much
25.83,8.52,comes through your mind okay you may
29.369,7.701,open your eyes when people think about a
34.35,7.799,data scientist detained to imagine a
37.07,9.04,picture of a man in a you know lab coat
42.149,6.741,who maybe hasn't come for a while during
46.11,5.76,an artificial intelligence applying
48.89,5.14,algorithms and analyzing data to struck
51.87,8.369,insights for industrial or commercial
54.03,9.119,use but in reality the profile of a data
60.239,6.781,scientist requires the skills of the
63.149,6.51,polymath of a person whose expertise
67.02,6.66,spans across a significant number of
69.659,6.991,different areas of a person who embodies
73.68,10.53,the enterpreneur spirit and curiosity of
76.65,10.92,know Na da da Vinci in 2006 Singh LT
84.21,7.44,Smith the former CEO of Google said that
87.57,8.49,five exabytes of data were created since
91.65,7.23,the dawn of humanity until 2003 and that
96.06,6.9,today we are generating the same amount
98.88,6.57,of data every two days that's a huge
102.96,5.189,amount of data but the good news is that
105.45,6.419,the technology today enabled us to
108.149,11.601,handle process and analyze all the best
111.869,11.1,amount of information with the help of
119.75,6.43,artificial intelligence of machine
122.969,6.481,learning big data is being used for a
126.18,6.15,number of things for better profiling
129.45,4.22,users for doing personalized
132.33,6.14,recommendations for
133.67,7.44,health care and diagnosis for predicting
138.47,4.65,political revolution preventing crime on
141.11,4.44,even creating fine arts it's clear the
143.12,5.31,big data enhances human potential at
145.55,5.1,Alta data analytics we help large
148.43,4.8,organizations drive actionable insights
150.65,6.48,from all kinds of data to make a
153.23,6.03,difference and then when there's a
157.13,5.389,social debate like in the months after
159.26,6.449,the brexit we can analyze the data and
162.519,5.171,understand and map where the social
165.709,6.271,debate happens and what communities were
167.69,7.98,created we can see how the remainders
171.98,5.37,were opposed to the live community how
175.67,4.77,the media community was seated in the
177.35,4.949,middle kind of neutral how there was a
180.44,3.78,technical community which who were the
182.299,3.871,people talking about the economic and
184.22,3.45,social and political implications of the
186.17,5.49,back seat that were closer to the
187.67,5.97,remainer community we can see us all the
191.66,3.659,communities emerging like the Scottish
193.64,4.08,the supported Scottish which are closer
195.319,5.911,to the testes of the remainders or how
197.72,7.29,the US Republicans appear more in the
201.23,6.629,side of the brexit we can also analyze
205.01,5.4,and understand who were the most
207.859,4.051,influential people in the debate and how
210.41,3.66,the median is our birth position and
211.91,8.82,even predict what agendas will prevail
214.07,10.199,and as for a movie we can analyze far
220.73,8.099,more than what the analysts do that what
224.269,7.771,that critics say would say in Leonardo
228.829,5.101,DiCaprio's the documentary before the
232.04,4.8,flood documentary to raise awareness
233.93,5.79,about climate change we did this we
236.84,4.92,capture all the photo runs so that we
239.72,4.44,could analyze them understanding how
241.76,5.52,many of them DiCaprio Pearson how many
244.16,5.43,of them policymakers appear to
247.28,4.65,understand and determine which were the
249.59,7.649,aspects of climate change then trigger
251.93,8.369,more debate or we can understand as well
257.239,7.371,which of the visual sequences were share
260.299,4.311,and amplified in social media
265.11,6.82,an infection we can even predict trends
269.53,4.92,in fashion by analyzing the photographs
271.93,5.31,that people share in Instagram with
274.45,5.189,hashtags such as outfit of the day we
277.24,4.53,collect all the hundreds of thousands of
279.639,4.5,photos then we can analyze the
281.77,3.75,underlying influence of people sharing
284.139,3.451,those photos because we can see who
285.52,5.07,interacts with who and then see what
287.59,6.6,patterns emerge in the photos that the
290.59,8.25,most influential people share it's a
294.19,7.62,paradigm shift where we used to make
298.84,5.94,decisions made based on intuition and
301.81,4.59,guesswork now we can manage based on
304.78,10.94,evidence we can move to data-driven
306.4,14.46,decisions management guru Peter Drucker
315.72,7.57,said that you can not manage what you
320.86,5.25,cannot measure that's now there's no
323.29,8.1,excuse you can measure and you can
