second,duration,transcript
0.0,2.28,"Hi guys, welcome back to the channel."
2.28,6.18,"Probably the most asked question I get in the 
comments and DMs is what computer setup we have."
8.46,5.52,"We have recently updated our PCs, so I think 
it’s a perfect topic for today's video."
13.98,4.8,"Today, I will present my new setup, 
tell you why I chose each component,  "
18.78,2.22,and give you some tips along the way.
21.0,4.02,"In the end, I will let you know 
how much I paid for everything."
25.02,3.9,"***Also, big thanks to RebusFarm 
for sponsoring this video.***"
28.92,5.28,"I don’t do it myself, as I don’t 
have any knowledge about it,  "
34.2,4.44,"but even if I did I think it’s better 
to outsource it to professionals."
38.64,3.24,"In my case, the whole cost of choosing the parts,  "
41.88,4.2,"ordering them, and putting everything 
together was less than 100$."
48.36,2.52,We built our previous setup in 2018.
50.88,1.8,Time flies fast.
53.46,1.92,"It was definitely time for an upgrade,  "
55.38,3.84,"as working became pretty hard 
recently due to outdated hardware."
59.22,4.44,"In each category, I will show you what 
parts I had before for comparison."
64.38,1.98,Let’s start with the CPU.
66.36,4.38,"We went from a 7th-generation Intel 
processor to a 13th-generation."
70.74,4.2,The cost of this CPU is about $680.
74.94,5.1,"Processor is very important to me because 
I do a lot of CPU rendering in Corona."
80.04,6.96,"V-Ray has an option to use CPU, GPU, or hybrid 
mode which uses both CPU and GPU at the same time."
87.0,2.94,"But in Corona, we can only render using CPU."
89.94,3.42,"Because of that, I bought a 
pretty good CPU at the time,  "
93.96,2.94,"it was actually way more 
expensive than my new one."
96.9,2.64,"I think it cost around $1,700 back then."
99.54,7.98,"This CPU simply got old, and I replaced 
it with **Intel Core i9-13900K** which  "
107.52,3.3,"is a good value for money and 
it’s enough for my current needs."
110.82,2.88,"Now, I don’t need a super powerful CPU,  "
113.7,5.22,"because usually I render overnight and when I 
need to render something quickly I use RebusFarm."
118.92,3.0,Here is the processor specification.
121.92,5.34,"It has 24 cores of which 8 are 
performance cores and 16 are efficient."
127.26,7.26,"It has 32 threads and a clock speed of 3 GHz 
in base mode with up to 5.8 GHz in Turbo mode."
134.52,3.6,"If you want to know how these 
parameters affect working and rendering,"
138.12,3.48,"check out my video where I 
discuss computer specs in detail."
141.6,2.1,Link in the description below the video.
145.08,6.48,"With GPU we went from Nvidia 
GTX 1070 to NVidia RTX 4090."
151.56,3.18,"Luckily I haven’t paid 
anything for this graphic card."
154.74,3.0,"I was given it by the Nvidia team for review,  "
157.74,3.9,"the detailed video about that 
is coming next week, stay tuned."
161.64,2.7,"The cost of this card is about $1,800."
164.34,4.74,"As you can imagine, working with my 
old card started to be really hard,  "
169.08,2.4,so that’s the most important update for me.
171.48,2.82,"When I was building my previous setup in 2018,"
174.3,3.42,I simply decided I want to put the majority of my  
177.72,5.1,"budget into CPU to be able to render 
fast and spent way less money on GPU,"
182.82,2.16,as it wasn’t so important back then.
184.98,4.44,"Now, I think even though you might 
mainly use CPU for example for rendering,  "
189.42,4.08,"you still need a powerful GPU, 
especially if you do or want to  "
193.5,3.54,"start with real-time rendering, 
video editing, or animations."
197.04,5.4,"Most of the software depends on GPU right now, 
as it delivers more cost-efficient performance."
202.44,1.68,Here are some specs.
204.12,2.64,As you can see it has more than 16  
206.76,6.18,"thousand cores, the Boost clock is 
2.52 GHz and it has 24GB of VRAM."
212.94,1.74,This GPU is a beast.
214.68,3.96,"Here is the V-Ray GPU Performance, 
as you can see it’s very fast."
218.64,4.86,"If you don’t have a budget for a good enough 
computer, you running out of time or simply have  "
223.5,5.52,"too many frames to render on a single machine, 
I have a great solution for you - Rebus Farm."
229.02,3.18,"And the best part is that you can 
get started with their free trial."
232.2,2.7,"They are a perfect render 
farm for arch-viz artists  "
234.9,2.04,because they support all the popular software.
236.94,5.7,"But most importantly, they have all the plugins we 
need, so there won’t be any unpleasant surprises."
242.64,2.94,"There are no hidden costs, you 
know how much you will pay for  "
245.58,2.82,every render if you use their cost estimation tool
248.4,3.96,"They are also great people! 
They have 24/7 human support,  "
252.36,5.34,"so if you encounter any issues during the process 
they will quickly solve the problem for you."
257.7,2.64,"As I told you, you can 
start with their free trial."
260.34,4.14,"I will put the link to their website in 
the corner and in the description below,  "
264.48,3.24,"so you can check them out and 
sign up for your free trial."
