second,duration,transcript
2.96,3.76,artificial intelligence is making rapid
5.44,2.96,strides
6.72,3.2,there's talk of a new evolution that
8.4,5.119,could fundamentally change
9.92,5.04,life on our planet artificial
13.519,4.241,intelligence has the potential to
14.96,5.84,revolutionize every aspect of daily life
17.76,5.2,work mobility medicine the economy and
20.8,4.319,communication
22.96,4.399,but will ai really make medicine better
25.119,4.32,and doctors superfluous
27.359,4.08,when will self-driving cars hit our
29.439,4.721,roads
31.439,4.481,will intelligent robots usurp our jobs
34.16,5.84,and are we heading for a dystopia
35.92,6.56,with no privacy and total surveillance
40.0,5.76,what exactly is artificial intelligence
42.48,5.52,and how much can it really do
45.76,5.279,what will change and what will remain
48.0,3.039,pure fantasy
53.44,3.439,to answer these questions we embarked on
55.68,3.199,an exciting journey
56.879,3.761,to meet the scientists working on our
58.879,14.961,future in the us
60.64,13.2,britain germany and china
74.65,4.209,[Music]
82.32,4.0,our first stop silicon valley in
84.84,3.72,california
86.32,3.6,apple google and facebook all have their
88.56,3.28,headquarters here
89.92,4.559,it's the epicenter of the digital
91.84,2.639,revolution
95.759,4.561,the tech industry has changed the face
97.92,5.28,of the san francisco bay area
100.32,4.64,new startup companies launch every day
103.2,4.72,rents have exploded and artificial
104.96,4.799,intelligence is the buzzword
107.92,4.239,a new type of supermarket recently
109.759,8.561,opened its doors here
112.159,6.161,amazon go all you need here is an app
120.96,8.88,hold your mobile phone to the scanner
122.88,6.96,and you're in
130.08,4.72,[Music]
132.239,4.321,as leonardo shows me amazon's new menus
134.8,3.519,and explains that the language assistant
136.56,2.399,alexa can help with the preparation at
138.319,5.521,home
138.959,4.881,i'm under constant surveillance
144.56,3.36,which shelf do i stop at
148.239,3.761,which products am i interested in
154.4,5.919,on the ceiling sensors and cameras
158.319,3.361,intelligent image recognition captures
160.319,3.601,my every move
161.68,6.0,what do i take off the shelf what do i
163.92,6.319,put back and what do i take with me
167.68,5.04,this branch is still in its test phase
170.239,5.681,but amazon plans to open 50 such grocery
172.72,3.2,stores this year alone
176.0,3.44,the end of the sales assistant just walk
178.879,5.201,out
179.44,6.56,no more standing in line no cashiers
184.08,4.239,i feel a bit like a shoplifter as i
186.0,2.319,leave
188.879,4.401,comfort at the cost of privacy
193.92,5.92,my receipt
200.08,7.519,one block away a robot cafe
203.76,3.839,another test lab for the future
209.12,5.52,order by app and touch screen
212.48,4.56,the increasingly ubiquitous tools of
214.64,2.4,trade
220.879,6.801,my first ever cup of coffee served by a
224.84,6.84,robot
227.68,4.0,so this is the taste of the future
234.08,6.799,ai will change our shopping experience
236.48,6.399,but what will happen to employees
240.879,4.161,stanford university is at the forefront
242.879,6.56,of global ai research with an annual
245.04,4.399,budget of 6.5 billion dollars
249.56,5.959,[Music]
253.2,3.039,i want to know how will artificial
255.519,3.68,intelligence
256.239,2.96,change medicine
261.44,3.36,researchers here have developed an
263.04,2.48,artificial intelligence algorithm that
264.8,3.76,can screen
265.52,5.52,x-rays for certain diseases computer
268.56,4.24,scientist pranav rajpurkar shows me how
271.04,3.439,easy it is to use
272.8,3.679,take a picture of an x-ray with your
274.479,3.921,mobile phone upload the image
276.479,4.401,and a few seconds later you get the
278.4,5.2,diagnosis
280.88,3.44,it's a mass and it's saying this thing
283.6,3.84,over here
284.32,4.56,is a possibly cancerous lesion and i can
287.44,3.6,see that right over here
288.88,3.44,okay so it gives you if i may have a
291.04,5.12,look at it
292.32,7.36,now probabilities for pneumonia
296.16,4.24,inaudible edema effusion and that goes
299.68,3.2,bank
300.4,4.239,yeah now how does this work i mean how
302.88,3.84,did you get to the point
304.639,3.441,we started with a large data set of
306.72,4.4,chest x-rays
308.08,4.0,which were released by the nih and these
311.12,3.28,contained
312.08,3.2,x-rays and then also labels of different
314.4,2.799,pathologies
315.28,4.0,and whether they existed in those x-rays
317.199,3.601,so it might say okay here's an image and
319.28,3.68,on this image i have
320.8,3.66,pathology one two and three and we had
322.96,3.84,hundred thousand of these images
324.46,5.38,[Music]
326.8,5.119,so we trained a model that can
329.84,4.24,take in it as an input and x-ray and
331.919,4.921,then output the probability of
334.08,5.44,several different pathologies on this
336.84,4.76,x-ray
339.52,4.0,artificial intelligence is modeled on
341.6,5.2,the human brain
343.52,10.32,a gigantic network of almost 100 billion
346.8,7.04,interconnected neurons
354.4,4.0,put in very simple terms this is how a
356.72,4.0,brain cell works
358.4,3.84,incoming impulses are passed in a domino
360.72,5.28,effect from one neuron
362.24,5.92,to the next the resulting circuit
366.0,4.16,connects the neurons and it is this
368.16,3.36,circuit that artificial intelligence
370.16,5.12,tries to simulate
371.52,3.76,as a digital neural network
376.96,4.32,like our brains the network can learn
379.52,4.16,how to identify tuberculosis for
381.28,2.4,instance
383.919,3.201,first the network needs to be trained or
386.16,3.12,taught
387.12,3.919,x-rays of tuberculosis patients are fed
389.28,3.6,to the system
391.039,4.801,initially it struggles to correctly
392.88,2.96,identify the condition
397.199,4.56,but every time an x-ray is fed in the
399.759,5.361,network's structure is adapted
401.759,5.121,and its diagnostic ability improves
405.12,5.68,it takes thousands and thousands of
406.88,3.92,clinical data sets to train the machine
416.4,3.04,only after the network is optimized in
418.72,2.96,this way
419.44,2.77,can it correctly identify an unknown
421.68,6.89,x-ray
422.21,6.36,[Music]
429.68,3.44,but how accurate is artificial
431.44,3.36,intelligence compared to a doctor's
433.12,3.84,expertise
434.8,3.119,we have actually done this test twice at
436.96,4.16,this point
437.919,6.241,once with a set of studies from the
441.12,4.4,nih data set that we had a group of
444.16,3.68,radiologists label
445.52,4.0,and then we compared the accuracy of the
447.84,4.32,model to the radiologist
449.52,5.04,and we found that they were very similar
452.16,3.84,in terms of accuracy on most pathologies
454.56,2.96,on one of them the model was
456.0,2.4,outperforming the radiologists and on
457.52,2.56,three of them
458.4,3.44,the radiologists were outperforming the
460.08,3.76,model and then we repeated the
461.84,3.28,experiment this time using a data set
463.84,3.199,from stanford
465.12,3.359,which we recently released which is 200
467.039,3.6,thousand chest x-rays
468.479,3.041,and then we had a similar setup where we
470.639,3.521,had
471.52,4.56,three sub-specialty radiologists these
474.16,3.759,are very uncommon very trained
476.08,4.32,radiologists to decide what the ground
477.919,3.761,truth for a particular set of images was
480.4,3.199,and then we compared general
481.68,3.359,radiologists to the algorithm at the
483.599,3.201,task and found that they had similar
485.039,3.921,levels of performance
486.8,3.519,so these are all stanford radiologists
488.96,4.38,so so they're
490.319,5.28,they're trained they should be good yeah
493.34,4.18,[Music]
495.599,3.521,reading x-rays accurately is a
497.52,3.76,complicated process
499.12,4.56,but artificial intelligence is making
501.28,3.919,fast progress
503.68,3.68,when it comes to identifying or
505.199,6.72,recognizing simple images
507.36,4.559,computers have surpassed human accuracy
513.039,3.761,now if i look at your picture it's
515.279,4.481,always probability
516.8,3.2,so there are cases where the machine is
519.76,2.48,not
520.0,4.08,really sure what what would be sort of a
522.24,4.96,clear decision to say okay this
524.08,3.92,is i don't know pneumonia or something
527.2,3.12,else yeah
528.0,4.0,i think i mean i think it's good to talk
530.32,4.56,in terms of probabilities
532.0,3.68,because probabilities also give a sense
534.88,3.519,of
535.68,4.159,the algorithm the model's uncertainty on
538.399,2.641,that particular problem
539.839,4.081,i think one difficulty with
541.04,5.68,probabilities is that it does
543.92,5.12,make it hard for humans to interpret
546.72,5.04,like what is the probability of 88
549.04,4.799,versus 92 percent mean in terms of the
551.76,4.4,decision i should make in the clinic
553.839,4.0,and so i think in that sense one of the
556.16,3.44,things that
557.839,2.961,we could experiment with doing in the
559.6,2.4,future is rather than showing
560.8,3.36,probabilities that are so
562.0,3.839,fine-grained maybe we can show things
564.16,3.28,like unlikely
565.839,3.921,or this pathology is likely or this
567.44,5.36,pathology is
569.76,5.12,possible in healthcare
572.8,3.52,artificial intelligence is powering a
574.88,3.2,revolution
576.32,3.84,scientists are using artificial
578.08,3.68,intelligence algorithms to sift through
580.16,3.359,seemingly banal data
581.76,4.56,such as the up and down motion of the
583.519,4.88,steps we take every day
586.32,3.92,they're looking for conspicuous patterns
588.399,3.521,that could serve as early warning signs
590.24,3.36,of disease
591.92,3.12,scientists in the english city of
593.6,5.2,birmingham are working on a
595.04,3.76,revolutionary diagnostic method
600.64,4.4,to date there are no specific tests to
603.279,5.361,detect parkinson's disease
605.04,5.2,making diagnosis difficult ai could
608.64,6.0,change that
610.24,4.4,max little is a mathematician at aston
616.839,3.0,university
620.44,3.439,[Music]
623.92,5.359,very good voice changes can be an early
627.04,4.32,indicator of parkinson's
629.279,3.12,max and his team collected thousands of
631.36,2.479,vocal recordings
632.399,3.12,and fed them to an algorithm they
633.839,3.361,developed which learned to detect
635.519,2.56,differences in voice patterns between
637.2,3.84,people with
638.079,4.721,and without the condition in a lab-based
641.04,3.359,study of the recordings the algorithm
642.8,2.88,was able to correctly identify a
644.399,4.481,parkinson's diagnosis
645.68,5.12,nearly 99 of the time max
648.88,3.68,little's work is an example of the
650.8,3.84,far-reaching changes ai
652.56,3.839,is bringing to the field of medicine
654.64,3.759,it's no longer just doctors who are
656.399,4.0,using artificial intelligence to develop
658.399,2.88,new diagnostic methods but data
660.399,3.781,scientists
661.279,8.721,programmers and mathematicians like max
664.18,8.779,[Music]
670.0,5.04,one example when a person walks sensors
672.959,3.981,in their smartphone register the up and
675.04,3.68,down motion of their gate
676.94,3.94,[Music]
678.72,4.4,but what information can be gleaned from
680.88,4.079,such data
683.12,3.44,if we measured a pattern of someone's
684.959,3.921,walking behavior
686.56,4.0,then someone who's healthy might have we
688.88,3.76,might measure the accelerometer
690.56,3.68,to look like that okay so it's just the
692.64,3.36,sort of movement
694.24,3.52,he would have here yeah the hips going
696.0,7.839,up and down regularly that kind of thing
697.76,6.079,along with their pace
706.24,2.96,but if you looked at somebody with
707.44,4.32,parkinson's disease they may have these
709.2,6.0,small steps like this and they may be
711.76,3.92,irregular or they may have patterns like
715.2,2.56,that
715.68,3.2,or they may even freeze and stop like
717.76,2.879,that so you
718.88,2.639,you can see that there's you know
720.639,1.44,there's a difference there's a
721.519,2.401,difference
722.079,3.601,so you can also now train an algorithm
723.92,2.8,for instance to pick out features like
725.68,3.2,what is the
726.72,3.44,the distance between the time distance
728.88,3.12,between these uh these
730.16,3.119,peaks and it could also do the same with
732.0,2.8,this and it would be able to do that
733.279,3.12,very precisely
734.8,3.52,and by doing so we may be able to
736.399,3.841,measure for instance that here that
738.32,4.16,there's large variability in between
740.24,4.56,these um the advantage of the algorithm
742.48,4.88,really comes when
744.8,4.159,the for instance you might have somebody
747.36,3.2,who who is say
748.959,3.201,who measures a pattern which looks like
750.56,5.2,this
752.16,6.799,and there might just be one small
755.76,5.6,change perhaps that that occurs
758.959,3.201,very very um maybe not like that but
761.36,4.08,sort of
762.16,4.0,you know some uh more variation that's
765.44,2.88,right in the
766.16,3.04,in the sequence of these um in the
768.32,3.28,timing of these
769.2,3.04,these events um even to a professional
771.6,1.919,eye
772.24,3.2,because they don't have the level of
773.519,4.241,precision they may not be able to
775.44,3.28,detect that this is outside of so the
777.76,3.36,normal range
778.72,3.919,of um a variation but of course an
781.12,4.88,algorithm connected to a
782.639,5.2,high precision sensor um we'll you know
786.0,3.92,we'll be able to determine that
787.839,4.961,difference and in this case
789.92,5.2,this person here may in fact have um a
