second,duration,transcript
0.0,4.44,"This is you in a Coding interview. And this is 
the dream job that you really want. If you don’t  "
4.44,4.5,"prepare data structures and algorithms, there’s 
a good chance that you will be rejected. Now,  "
8.94,3.42,"I am no Love Guru when it comes to 
relationships. But for coding interviews,  "
12.36,5.1,"I do have some expertise. And to crack all these interviews, the only course I have ever used is called"
17.46,4.08,"Data Structures and Algorithms. And the best 
part is that I did not master DSA sitting in  "
21.54,3.18,"a classroom of a fancy university. 
I did it online, all by myself,  "
24.72,4.2,"because I have no Computer Science degree. 
Today, I will share my entire journey in detail  "
28.92,3.72,"so that you don’t repeat the same mistakes 
that I made when I was struggling with DSA."
32.64,3.12,"Before we go too deep into how to 
learn data structures and algorithms,  "
35.76,4.08,"we need to first understand what data structures 
and algorithms means. Believe it or not,  "
39.84,4.5,"you might have already used data structures and 
algorithms in your life. For example, I want you  "
44.34,4.44,"to remember the time when the meaning of every new 
word was not available on Google and you had to  "
48.78,5.1,"use an actual physical dictionary to look up the meaning of 
a word. To find a word, let’s say “programming”,  "
53.88,4.38,"you would open the dictionary in the middle and look at 
the words that are there on that page. Let’s  "
58.26,4.14,"say you landed on a page with words starting 
with “m”. You know that “m” comes before the  "
62.4,4.2,"“p” of programming. So, the word “programming” 
must come after the page you just opened. So,  "
66.6,3.9,"you start looking for “programming” in the right 
half of the dictionary. If you repeat this step  "
70.5,4.26,"multiple times, you will end up finding the 
word programming. The process or in other words,  "
74.76,4.56,"the algorithm that you just saw is called “Binary 
Search''. And the way data is stored, which  "
79.32,3.9,"is “dictionary” in this case, is called a data 
structure . Don’t confuse this “dictionary” with  "
83.22,3.66,the data structure “dictionary” that we might have seen in Python because they are slightly different.
86.88,4.26,"But why does a Software Engineer even need 
data structures and algorithms? Imagine that  "
91.14,4.68,"in the dictionary example I just gave you, someone 
starts from the beginning and keeps flipping one  "
95.82,3.0,"page at a time to find the word 
“programming” . It will take them many  "
98.82,4.32,"minutes to find just this one word. With “binary 
search”, you will find it in a matter of seconds.  "
103.14,4.5,"That’s the power of algorithms. Now imagine 
that instead of giving you a dictionary where  "
107.64,4.98,"the words are neatly organized in alphabetical 
order, I gave you a bag full of paper slips each  "
112.62,5.22,"containing a word and its meaning. How long do you think 
it would take you to find the word “programming”? At  "
117.84,3.72,"least a few hours unless you are really lucky. 
That’s the power of ‘Data Structures'."
121.56,3.96,"I hope that this example makes you even more 
excited about learning Data Structures and  "
125.52,4.714,"Algorithms.To make learning DSA easier for you, 
I recommend that you learn at least one Object  "
130.234,4.586,"Oriented Programming language before you start 
DSA. That’s because most online resources for  "
134.82,5.34,"DSA will be using an object oriented programming language. 
You can pick any popular language like Java,  "
140.16,4.26,"Javascript, C++ or Python. If you already 
have a language that you are comfortable with,  "
144.42,4.62,"you can continue with that. But if you don’t, 
I recommend that you pick Python for DSA.  "
149.04,4.68,"That’s because Python is less verbose and you 
can write code really fast in Python. And in  "
153.72,4.68,"an interview, where you only have 45 minutes to 
solve a question, this would be really helpful."
158.4,5.04,"Now that we have that out of the way, let's talk 
about how I started my DSA journey. If you have  "
163.44,3.96,"seen any of my previous videos, you know that 
I am a strong advocate for “Learning by Doing”.  "
167.4,4.08,"Unfortunately, for DSA, I don’t think there is 
any good resource that you can jump  "
171.48,4.92,"into and start learning by doing. That’s because 
DSA requires a good theoretical foundation before  "
176.4,4.5,"you can actually apply it to any problems. 
That’s why, I took the online course  "
