second,duration,transcript
0.08,3.44,one of the most important aspects of
1.599,3.76,software development is the architecture
3.52,4.239,of your application which is basically
5.359,4.32,the blueprint for how the web app is
7.759,3.84,structured think about the first decent
9.679,4.08,size app you ever built i'd be willing
11.599,4.481,to bet that you unknowingly implemented
13.759,4.241,the monolithic architecture or basically
16.08,3.84,where you put all of the code into a
18.0,3.6,single code base tightly coupled
19.92,3.599,together but if you want to efficiently
21.6,3.919,scale your app from a hundred users to
23.519,4.321,100 000 users then maybe you want to
25.519,3.92,take a look at microservice architecture
27.84,3.92,but that's not all there is to consider
29.439,4.161,in terms of architecture i mean how many
31.76,3.44,tiers is your application where does
33.6,3.6,each component live all on the same
35.2,3.199,server each have their own server are
37.2,2.96,you going with a server-less
38.399,3.281,architecture and if you're on web 2
40.16,3.68,you're probably doing client server but
41.68,4.48,if you're on web3 then you're doing
43.84,5.199,peer-to-peer all of this matters in the
46.16,4.559,context of what type of app that you
49.039,3.52,want to build so i've broken these down
50.719,3.52,put them into levels or buckets that are
52.559,4.16,actually comparable and created
54.239,4.881,explanations in a way for you to simply
56.719,4.561,understand the differences in the types
59.12,4.64,of web app architecture but first i'm
61.28,4.0,stoked to announce that jetbrain space
63.76,2.96,is the sponsor of today's video and i
65.28,2.879,may take a wild guess that you've
66.72,4.64,already heard of jetbrains they've
68.159,5.841,created intellij idea pycharm
71.36,4.399,team city and kotlin among many other
74.0,3.28,tools for developers and software teams
75.759,3.36,alike but today i want to talk to you
77.28,4.24,about a specific product created by
79.119,4.961,jetbrains jetbrains space space is
81.52,4.4,really a one-stop shop for all
84.08,3.679,development tools it's a unified
85.92,4.0,platform that covers the entire software
87.759,4.561,development pipeline everything you need
89.92,4.4,in a single tool set source code control
92.32,3.839,hosting using git code reviews with
94.32,3.28,merge requests and quality gates
96.159,3.361,automation jobs for building and
97.6,3.68,deploying applications project
99.52,3.52,management tools checklist for planning
101.28,3.6,and issue tracker and visual boards
103.04,3.84,packaging container registries for our
104.88,3.76,publishing artifacts the first class
