second,duration,transcript
0.03,4.26,without data structures you can't solve
2.159,4.561,algorithms and without algorithms you
4.29,3.779,can't pass a programming interview now
6.72,3.089,the problem is if you open a data
8.069,4.231,structures and algorithms text book
9.809,3.721,it is really mathy and if you're like me
12.3,4.02,and you got a C in eighth grade math
13.53,4.589,it's gonna scare you a lot the good news
16.32,4.32,is once you understand data structures
18.119,4.951,they're not actually that complicated so
20.64,4.44,I wanted to explain the five most
23.07,4.35,important data structures in this video
25.08,4.949,in the way I understand them which means
27.42,5.159,as little technical jargon as possible
30.029,6.021,and just try to simplify it for you guys
32.579,3.471,just starting out let's go
38.949,4.71,first off let's talk about what a data
41.5,5.609,structure is consider having a single
43.659,4.981,data item like the price of a stock now
47.109,3.961,that price on its own is not going to
48.64,4.649,mean much but if we put it together with
51.07,4.649,a bunch of stock prices let's say the
53.289,4.351,price is over an entire day well then it
55.719,3.51,becomes more meaningful we call date
57.64,4.169,items that we grouped together like this
59.229,4.47,compound data we have to store this data
61.809,3.39,in some kind of a data structure and
63.699,3.78,choosing the right one is really
65.199,3.901,important no data structure is perfect
67.479,3.541,all them are good and bad at different
69.1,4.29,things the way we measure how good a
71.02,4.739,data structure is doing a specific thing
73.39,4.92,like adding a new item retrieving an
75.759,5.071,item sorting or searching is called the
78.31,4.559,Big O notation this is pretty much a
80.83,4.709,measure of how well in operation scales
82.869,5.521,so if you have ten items and then you
85.539,5.19,add a million more how much longer will
88.39,4.409,each operation take okay let's talk
90.729,4.53,about the first data structure which is
92.799,4.02,the linked list the atomic unit of the
95.259,5.551,linked list is something called a node
96.819,5.881,which contains a value and a pointer the
100.81,4.589,value is something as simple as a number
102.7,4.589,like 12 and that pointer will simply
105.399,2.521,connect you to the next node in the
107.289,2.731,chain
107.92,4.14,hence the linked part of linked lists
110.02,4.409,the first node in the list is known as
112.06,4.47,the head while the last one that doesn't
114.429,4.561,have a next pointer is known as the tail
116.53,4.549,pros and cons of the linked list it's
118.99,4.08,really good at adding new nodes and
121.079,3.82,deleting nodes because we can just
