second,duration,transcript
0.0,4.08,title of this talk is yet again about
2.8,3.2,data science
4.08,4.24,with game theory i'll call it data
6.0,5.519,science with game three flavor
8.32,4.08,and i've been involved with research
11.519,2.401,related this
12.4,3.84,signature with computer science and game
13.92,4.64,tv for many years by now
16.24,4.0,and this particular initiative started
18.56,3.84,already six seven years ago when i
20.24,5.039,returned from my previous period in
22.4,6.16,industry long time with industry
25.279,7.12,where basically uh my feeling was
28.56,5.2,that classical data science algorithms i
32.399,3.68,call it data science
33.76,4.0,because i refer to the real practical
36.079,6.0,things that are used in
37.76,7.04,ir applied ml and some things in llp
42.079,4.401,and recommendation systems actually need
44.8,4.32,to be revisited
46.48,4.32,so i talked about a very bottom-up
49.12,3.759,approach really taking a very
50.8,3.68,very basic algorithms and search
52.879,3.281,accommodation prediction
54.48,3.28,and more and the claim is that need to
56.16,3.919,be revolutionized
57.76,5.119,and i try to illustrate it in a very
60.079,5.201,brief talking with one or two examples
62.879,4.24,and i just like to say that in general
65.28,4.56,if i had to have a much longer talk i
67.119,5.121,need to talk about two perspectives
69.84,3.84,at least one of them is what we call the
72.24,3.68,agent perspective
73.68,3.2,but we talk about predictions
75.92,2.879,fragmentation
76.88,3.36,persuasion but in competitive
78.799,3.761,environments
80.24,4.16,and the other one is what i like to call
82.56,3.44,the mediator perspective mediators i
84.4,3.28,think that the work for many years by
86.0,4.56,now but when you talk about media it
87.68,5.68,does the mediator is
90.56,3.919,google is facebook it's amazon or
93.36,3.84,whatever where
94.479,3.6,many publishers whatever comments there
97.2,2.959,are
98.079,3.201,have their own incentives and you need
100.159,3.121,to mediate it
101.28,3.68,while we're one way or another and in
103.28,5.04,both of them the claim is
104.96,5.439,this particular notion of incentives
108.32,4.56,needs to be really integrated in a very
110.399,4.481,basic algorithms and
112.88,4.16,i'll be happy when we actually replace
114.88,4.96,the current algorithms
117.04,4.079,so a word about the agent story i'll try
119.84,4.239,to read very brief
121.119,3.841,and i know how much i managed to do but
124.079,2.881,i'll try
124.96,3.04,so the agent story is the following one
126.96,4.079,here is a nice lady
128.0,3.76,her name is gal and girls need to choose
131.039,4.721,among two
131.76,6.08,uh two applications that are very
135.76,5.52,popular these days of guessing
137.84,5.84,uh guessing your age and
141.28,5.28,one application guesses that her age is
143.68,4.48,24 and one said that her age is 34
146.56,4.0,and as you know god is a very confident
148.16,4.12,woman and therefore probably she'll
150.56,4.56,choose
152.28,4.679,34 because her age is 36 so
155.12,3.759,it's you know this one wins and from
156.959,2.721,this point on she actually will use this
158.879,4.08,application
159.68,5.6,that's that's the reality uh
162.959,3.121,so this refers to indulgence that i've
165.28,2.56,been involved with
166.08,3.76,people in theoretical computer science
167.84,3.759,already 10 years ago that we call
169.84,3.36,dueling algorithms we don't
171.599,3.36,need to go over all of this slide
173.2,3.44,especially who says the classical
174.959,5.121,algorithms basically
176.64,5.92,try to minimize some some error
180.08,4.64,average error or some expectation while
182.56,4.24,in stochastic process and in reality
184.72,3.92,many cases you care about
186.8,3.12,the probability of being better than the
188.64,3.12,other so
189.92,4.319,think about will be more specific you
191.76,3.04,have many users user come to you and you
194.239,4.561,know
194.8,5.12,if you if bob with the new algorithm
198.8,4.24,which compete with the
199.92,4.48,classical written alice will be better
203.04,3.759,predictor for you
204.4,3.199,than you probably tell your friends and
206.799,2.8,basically
207.599,3.92,you basically try to compete and be
209.599,5.041,better than alice
211.519,4.8,on most of the instances anyway don't
214.64,3.599,like to take a position here but there
216.319,2.721,is some trade of bitcoin optimism
218.239,2.961,optimizing
219.04,3.839,instances to optimize incomes so that's
221.2,4.0,very theory kind of thing
222.879,5.041,but it really connects very very
225.2,4.8,directly to data science kind of thing
227.92,4.56,because we have a very similar situation
230.0,4.159,in our data science applications
232.48,3.36,we just don't have access to the
234.159,3.761,distribution
235.84,4.319,for example in regression task we may
237.92,3.84,have access only to sample of points
240.159,3.28,uh instances labels and the
241.76,2.88,corresponding opponent predictions and
243.439,3.041,be more specific
244.64,3.679,so i'll give an example from the early
246.48,5.119,parts of this work with
248.319,5.441,my student um so that's that's a very
251.599,5.2,early work on that subject that we did
253.76,4.479,so think about a realistic system this
256.799,4.081,is the boston
258.239,3.601,boston apartment kind of database that
260.88,3.28,you need to
261.84,4.16,basically predict the apartment value
264.16,2.56,based on certain parameters here we just
266.0,2.16,assume
266.72,3.759,let's assume that it depends only on the
268.16,3.92,top and sides and alice is the standard
270.479,3.44,algorithm that use some
272.08,3.28,let's say just some linear regression
273.919,3.601,for a minute and don't
275.36,3.36,need to respond to it to apply a best
