second,duration,transcript
0.34,7.34,[Applause]
5.73,4.829,for myself I remember as a child I used
7.68,4.169,these punch cards to like reading cars
10.559,3.181,and things like that my mom was a
11.849,3.781,computer programmer analyst and this was
13.74,4.56,an example of such a computer that my
15.63,4.86,mom used to process payroll data coding
18.3,3.96,was literally done by hand on sheets
20.49,4.83,like these it was a physical endeavor
22.26,5.16,and a manual process during this phase
25.32,5.549,of computing the goal of HCI was simply
27.42,5.339,just to get the data processed now there
30.869,3.511,were three official invention three
32.759,3.991,critical inventions that led this next
34.38,3.72,phase of computing the transistor 2
36.75,4.59,integrated circuits and the
38.1,6.029,microprocessor these inventions enabled
41.34,4.86,computers these smaller to burn faster
44.129,4.561,and more efficient than computers that
46.2,3.81,were built with vacuum tubes and really
48.69,2.939,began the trend towards the
50.01,2.27,miniaturization that continues to this
51.629,5.461,day
52.28,7.689,just this past Tuesday IBM announced new
57.09,4.559,chip that's like smaller than I the size
59.969,6.811,of a grain of salt over there on the far
61.649,7.141,right and the tiny computer is mounted
66.78,3.99,onto a motherboard we have 64
68.79,7.02,motherboards with two tiny computers in
70.77,6.66,the left picture and the fifth computer
75.81,3.87,has the processing power of a typical
77.43,6.63,personal computer made in the 90s like
79.68,6.119,an x86 processor anyway these inventions
84.06,4.32,drove the birth of the personal computer
85.799,5.581,the first personal computer was
88.38,5.34,introduced to 1925 by IBM and it
91.38,4.05,featured a 16 line by 64 character
93.72,4.98,display that ran a computer language
95.43,5.04,called basic now command line interfaces
98.7,3.75,where the primary means of interacting
100.47,5.52,with computers first on terminals like
102.45,6.449,this a deaf bt 101 personal computers
105.99,4.23,Keynes running UNIX or ms-dos the
108.899,3.18,interface would consist of a
110.22,3.81,command-line shell which would accept
112.079,3.171,commands as text input and then convert
114.03,5.04,the commands into corresponding
115.25,5.68,operating system functions the advances
119.07,2.26,made in computing technology created an
120.93,2.2,offer
121.33,3.72,for people to interact with computers in
123.13,4.62,a different way we moved away from
125.05,4.86,physically manipulating bits to interact
127.75,7.11,with computers in a digital space on
129.91,6.87,screen the invention of the mouse by
134.86,5.52,Doug Engelbart and the graphical user
136.78,5.61,interface or GUI revolutionized HCI and
140.38,5.1,it was really during this phase that the
142.39,4.8,field was born the field of HCI early
145.48,4.65,attempts at graphical user interfaces
147.19,5.07,were skeuomorphic and literally tried to
150.13,4.92,replicate the physical world even in its
152.26,4.53,most inefficient ways the most
155.05,3.9,successful style of interaction design
156.79,5.46,has been what we refer to as wynt which
158.95,5.79,stands for windows icons menus and
162.25,4.02,pointer with interfaces are so
164.74,3.15,ubiquitous that this is what comes to
166.27,3.87,mind when we think of the term graphical
167.89,6.0,user interface although not all gooeys
170.14,6.11,are wind systems the language of HCI and
173.89,5.16,a whimp world is direct manipulation
176.25,5.83,complete with nouns represented by icons
179.05,6.03,and verbs represented by menus or
182.08,4.92,buttons and with a GUI and a mouse
185.08,5.97,people can operate under a paradigm of
187.0,7.05,hey you icon go here into that folder or
191.05,4.86,ask the Macintosh computer which
194.05,4.29,exemplified the ideal GUI launched in
195.91,5.1,1984 with principles that emphasize
198.34,5.79,directness user control and real world
201.01,5.22,metaphor now the goal of HCI this time
204.13,4.29,was to leverage pre-existing paradigms
206.23,2.67,of the physical world without taking it
208.42,5.64,too far
208.9,7.23,and make it user friendly the birth of
214.06,3.72,the iPhone and Android based smartphones
216.13,3.93,put the power of computing in everyone's
217.78,4.41,pocket by using our fingers instead of a
220.06,5.88,mouse direct native manipulation is even
222.19,6.24,more direct than with interface we swipe
225.94,4.71,to scroll we literally drag objects by
228.43,3.9,dragging our fingers it's still direct
230.65,3.6,manipulation but the language has
232.33,4.53,evolved to meet the form and the
234.25,4.35,capabilities of the computing device our
236.86,3.45,early handheld computing devices were
238.6,3.9,introduced before we had ubiquitous
240.31,3.08,broadband so functionality at that time
242.5,3.35,is typically
243.39,4.83,into personal digital assistant features
245.85,4.44,like calendaring note-taking contacts
248.22,3.78,management and the internet is what
250.29,3.51,really enabled smartphones to take off
252.0,4.23,and be not just useful but extremely
253.8,4.74,addictive and with the power of what
256.23,4.229,once used to be a supercomputer now in
258.54,4.17,the palm of your hand we enable people
260.459,6.631,to access computing technology from
262.71,5.67,anywhere now where as in the first phase
267.09,3.24,of computing we were bringing the
268.38,4.83,physical world into a digital space
270.33,5.04,sensors enable us to use natural
273.21,5.04,movement to bring a digital world into a
275.37,4.89,physical space the Xbox Kinect mate
278.25,4.29,playing video games of physical endeavor
280.26,4.68,the Fitbit digitized our physical
282.54,4.23,activity ring allows us to talk to
284.94,4.17,visitors at our door even when we're not
286.77,4.02,at home and Nesta made our thermostats
289.11,4.559,smarter by adapting to our usage
290.79,4.29,patterns in the home I like to highlight
293.669,2.521,a few more companies that are doing
295.08,5.1,interesting work in this area
296.19,6.12,particularly in health tech siren care
300.18,3.78,has created smart socks that use
302.31,4.02,temperature sensors to detect
303.96,5.16,inflammation in real time for diabetics
306.33,5.339,so diabetes patients are prone to foot
309.12,4.17,swelling and that can lead to infection
311.669,4.921,or amputation that the foot isn't
313.29,5.01,checked conductive thread is woven into
316.59,3.329,the fabric of the sock to detect where
318.3,3.84,there's inflammation and all this
319.919,5.901,information is uploaded to an app on
322.14,6.0,your smartphone to alert you to an issue
325.82,5.08,here's another company alivecor
328.14,4.44,they offer a mobile fda-cleared EKG
330.9,4.89,monitor targeted towards patients who
332.58,5.1,have atrial fibrillation afib patients
335.79,4.08,have an irregular and brown off and
337.68,4.5,rapid heart rate that can increase their
339.87,5.25,risk of stroke heart failure or other
342.18,4.38,hurt related complications the lac
345.12,4.799,courte offers two ways for people to
346.56,4.8,monitor their heart cardio mobile which
349.919,4.081,is an attachment to your phone and
