second,duration,transcript
7.359,3.841,hey everyone my name is ishaan and i
9.28,3.84,welcome you all to this session in this
11.2,3.84,session we will be talking about agile
13.12,4.239,project management and several other
15.04,4.159,things related to it before we begin
17.359,4.08,let's have a look at all the topics we
19.199,4.401,will be covering today first we will see
21.439,4.08,the basics of agile project management
23.6,3.839,then we will check the relevance and
25.519,4.08,principles of agile project management
27.439,4.401,we will then see necessary steps to
29.599,3.841,implement agile methodology along with
31.84,3.6,that we shall also see different
33.44,4.4,frameworks involved in the process and
35.44,4.639,finally we shall see some companies that
37.84,4.559,use agile project management so without
40.079,4.32,any further ado let's get started with
42.399,3.921,what is agile project management agile
44.399,3.68,project management as the name suggests
46.32,3.919,is a flexible approach to building a
48.079,4.16,project in agile project management the
50.239,4.561,project is broken down into several
52.239,4.16,stages of sprints agile does not work on
54.8,3.919,the principle of delivering the final
56.399,4.241,product at the end of the project it
58.719,4.081,works on delivering sections of a
60.64,4.0,project or mini projects the process of
62.8,3.84,project management in the case of agile
64.64,4.24,is agile based so there won't be any
66.64,3.6,central control of project manager as it
68.88,3.36,was there in the traditional way of
70.24,3.6,working before we move forward let's
72.24,4.239,have a look at the agile development
73.84,4.959,cycle agile methodologies consist of
76.479,4.881,several small cycles or sprints at the
78.799,4.64,end of each stage we get a mini project
81.36,4.32,there's a product backlog that explains
83.439,4.241,new features changes in the existing
85.68,4.079,features and several other improvements
87.68,4.32,in the project then we have a sprint
89.759,4.641,backlog which has a list of tasks that
92.0,4.32,are to be completed during each sprint
94.4,4.48,the sprint consists of planning
96.32,4.88,designing execution testing and
98.88,4.72,deployment stages and at the end of each
101.2,4.4,sprint a mini project is delivered with
103.6,4.08,every sprint new features are added to
105.6,4.4,the product which plays a significant
107.68,4.24,role in the overall project growth after
110.0,3.92,all the sprints and early validation in
111.92,4.559,the development the final deliverable
113.92,4.239,has a fewer chances of failure let's now
116.479,3.68,have a look at some reasons why
118.159,3.841,industries have started moving towards
120.159,4.081,agile project management the first
122.0,3.92,reason is high product quality when we
124.24,3.44,talk about higher product quality we
125.92,3.679,refer to the build of the product as per
127.68,3.84,stakeholders demands testing is
129.599,4.081,performed at short intervals of time
131.52,4.079,wherever needed to ensure high quality
133.68,4.08,of the product then another reason is
135.599,4.241,customer satisfaction whatever is done
