second,duration,transcript
0.08,3.839,when you first become a junior developer
1.92,3.919,your code will look like play-doh snakes
3.919,3.761,but as you progress to senior developer
5.839,3.441,and learn about software design patterns
7.68,3.68,your code will look like the sistine
9.28,3.76,chapel but when you then progress to
11.36,3.279,principal engineer you'll realize that
13.04,3.44,nobody wants to maintain the sistine
14.639,3.521,chapel for a silly website and go back
16.48,3.28,to making play-doh snakes in today's
18.16,3.279,video you'll learn about 10 different
19.76,3.519,software design patterns along with the
21.439,3.84,pros and cons of using them which can be
23.279,3.361,very subjective and controversial one of
25.279,2.961,the most influential books in the
26.64,3.92,history of programming is design
28.24,4.08,patterns by four c plus plus engineers
30.56,3.6,called the gang of four it breaks down
32.32,3.759,23 different approaches to address
34.16,3.6,recurring problems that programmers face
36.079,3.441,which are categorized as creational
37.76,3.52,patterns how objects are created
39.52,3.6,structural patterns how objects relate
41.28,3.759,to each other and behavioral patterns
43.12,3.84,how objects communicate with each other
45.039,3.84,becoming a proficient software engineer
46.96,3.68,is not about memorizing the syntax of a
48.879,4.0,programming language but rather the
50.64,4.0,ability to solve problems with it by the
52.879,3.281,end of this video you'll understand a
54.64,3.2,variety of different patterns for
56.16,3.36,solving problems as they relate to
57.84,3.28,modern app developers before we get
59.52,3.6,started i want to give a big shout out
61.12,3.84,to refactoring.guru they gave me
63.12,3.679,permission to use some of their graphics
64.96,3.28,that explain design patterns better than
66.799,2.961,anything else out there they're based in
68.24,2.96,ukraine and it's seriously one of the
69.76,2.96,coolest programming websites on the
71.2,2.8,internet design patterns are really
72.72,3.12,interesting because they're not just
74.0,3.439,like algorithms that you can copy and
75.84,3.2,paste from stack overflow you actually
77.439,3.281,need to use your brain to implement them
79.04,3.6,it can be tempting to implement them all
80.72,3.68,over the place but when used improperly
82.64,3.6,they can add additional complexity and
84.4,3.12,boilerplate to a codebase the book is
86.24,3.28,not the bible and there are many
87.52,3.84,criticisms of it regardless knowing how
89.52,3.68,to recognize design patterns will help
91.36,3.6,you level up as a programmer the first
93.2,3.599,pattern we'll look at is singleton which
94.96,4.08,is very easy to understand it's a type
96.799,4.241,of object that can only be instantiated
99.04,3.759,once in typescript we might implement a
101.04,3.92,singleton class called settings to
102.799,4.081,represent the global app settings data
104.96,3.6,we'll give it a static instance property
106.88,3.199,and then make its constructor private so
108.56,3.68,that it cannot be instantiated with a
110.079,3.921,new keyword we then create a static git
112.24,3.44,instance method that will check to see
114.0,3.52,if the instance has already been created
115.68,3.84,and if not it will create a new one and
117.52,3.599,that ensures that only one object can be
119.52,2.72,created that's great and all but here's
121.119,3.121,where things become a little more
122.24,4.159,nuanced in javascript we have object
124.24,4.079,literals and also the concept of global
126.399,3.521,data and objects are passed around by
128.319,3.361,reference we get all the same basic
129.92,3.679,characteristics as this pattern by
131.68,3.76,simply creating a global object the
133.599,3.441,pattern itself is really just extra
135.44,3.6,boilerplate that we don't need it's an
137.04,3.52,entirely different story in c plus plus
139.04,3.279,but the moral is to lean on your
140.56,3.6,language's built-in features before
142.319,3.441,implementing a fancy design pattern now
144.16,3.84,let's take a look at the prototype
145.76,4.0,pattern which is just a fancy word for
148.0,3.44,clone if you've done object-oriented
149.76,3.52,programming you should be familiar with
151.44,3.92,inheritance where a class can be
153.28,3.84,extended with a subclass one problem
155.36,3.76,with inheritance is that it can lead to
157.12,3.92,a complex hierarchy of code the
159.12,3.839,prototype pattern is an alternative way
161.04,3.919,to implement inheritance but instead of
162.959,3.681,inheriting functionality from a class it
164.959,3.681,comes from an object that's already been
166.64,3.92,created this creates a flat prototype
168.64,3.92,chain that makes it much easier to share
170.56,3.92,functionality between objects especially
172.56,3.759,in a dynamic language like javascript
174.48,3.839,which supports prototypal inheritance
176.319,4.0,out of the box imagine we have an object
178.319,4.0,named zombie this is our prototype but
180.319,3.84,now we want to create a new object based
182.319,4.241,on it that also has a name we can do
184.159,4.401,that with object create by passing the
186.56,3.92,zombie as the prototype then specify
188.56,3.759,additional properties like name for the
190.48,3.679,new object the interesting thing is that
192.319,4.0,if you log this object you'll only see
194.159,4.08,the name and not the eat brains method
196.319,3.441,however if you try to call that method
198.239,3.36,it will still work that's because
199.76,3.759,javascript will go up the prototype
201.599,3.521,chain until it reaches the root looking
203.519,3.28,for any methods or properties on the
205.12,3.52,parent objects you can always get the
206.799,3.761,prototype from an object by using this
208.64,3.679,proto property however that's not a
210.56,4.16,modern best practice and instead you
212.319,4.321,should use object get prototype of now
