second,duration,transcript
8.32,4.8,"My favorite part about doing computer animation 
would be when you discover something new or you find a new way to create something it 
always gets you excited."
14.08,3.488,"or you find a new way to create something it 
always gets you excited."
18.653,1.59,That's the best part.
21.6,7.25,"My passion comes from the massive amount of 
cartoons and 3D animated movies that I watched  just growing up."
29.246,4.99,"Elements of them were inspiring 
and I keep thinking about how I could make them better."
35.543,5.282,"I picked computer innovation because it has a 
real artistic bend to it."
41.174,3.283,I'm able to sort of take the assignments and be myself.
45.0,4.944,I think it's the  combination of creativity and technical knowledge.
51.84,4.08,"The types of jobs we can get with these degrees, 
some people are very technical and they'll become  "
55.92,4.64,"web developers other people prefer to work on 
the front end and then become web designers.  "
60.56,4.88,"Also, our animation both in 2D and 3D, we're 
just now launching a game design program  "
65.44,1.816,that's entirely web-based.
68.094,3.608,There are a lot of jobs out there. It's a great growing industry.
71.702,1.598,"The world's becoming a lot more 
digital."
73.3,1.5,The program is fantastic.
77.12,3.84,"I was always interested in video games and 
animation in general and so I just wanted  "
80.96,4.88,"to see, maybe there's a program that can help me 
understand it a bit better and get into that field."
90.16,3.674,"We have two degrees, one is an AS and one is an AAS. "
93.834,5.046,"They are very similar, we usually recommend for people who are thinking of going on for a four-year degree to get the  "
98.88,4.96,"AS degree while people who are just want 
the two-year degree they go with the AAS."
103.84,4.48,"We have about five different certificates that 
cover some of the classes in digital graphics.  "
110.24,5.6,"You have people coming in from high school and you 
have people coming in that work full time that are  "
115.84,7.775,"my age and it's just so great to have 
such a variety in class and get to know everybody in their different backgrounds."
125.68,3.075,"So, before I came to school I was a bartender 
full-time."
128.755,3.935,I decided I needed something a little bit more stable where I was in control.
132.69,2.27,"So, Saint Paul College was an avenue towards that."
135.52,7.138,"They have lots of great scholarship opportunities 
for me as an adult learner and then flexible course times."
143.928,8.054,"The instructors here at Saint Paul College, it's very easy to not only get along with them but to also understand the material."
151.982,7.918,"So, if some things may be a little bit too confusing they're very open to talking to you to make sure that you understand it better.  "
161.2,6.373,"It's extremely flexible based on your knowledge, you don't have to be experienced in the field at all in order to 
do it. "
167.573,3.711,"So, if you have no knowledge coming into this, no matter what your age is, you can do it."
171.284,1.356,You can come here and do it there's no problem.
174.72,7.232,"For people who are looking for affordability, 
who are looking for a lot of variety in the field of web design and animation,"
181.98,4.756,"coming to Saint Paul College, it's probably the most affordable it could ever get for someone."
186.736,3.454,And it works very well for anybody that wants to give it a shot.
