second,duration,transcript
0.0,5.199,hey everyone welcome back to another
1.36,3.839,recall by dataiku video
6.16,3.519,my name is tina and i'm a data scientist
8.0,3.28,that works in tech in this video we're
9.679,4.161,going to talk about software engineering
11.28,4.08,versus data science in practice this
13.84,3.199,video will be divided into four
15.36,3.36,different parts first let's talk about
17.039,3.441,what is data science and what is
18.72,3.68,software engineering then let's talk
20.48,4.0,about the similarities the differences
22.4,4.08,and finish off with in my opinion why
24.48,3.84,you should choose one or the other i
26.48,3.6,want to preface this video by saying
28.32,3.359,first that software engineering and data
30.08,3.92,science rules can be very different
31.679,4.56,depending on the company the industry
34.0,4.64,and even the specific team in the
36.239,4.241,company there's also roles such as data
38.64,4.48,engineering machine learning or ml
40.48,4.32,engineering and data science ml research
43.12,3.279,roles that share some similarities with
44.8,3.84,both software engineering and data
46.399,3.921,science so do please keep in mind that
48.64,3.68,it's not always super clean cut and
50.32,3.2,there's lots of overlap specifically in
52.32,2.8,this video though i'm going to be
53.52,3.679,talking about software engineering
55.12,3.919,versus data science okay first up let's
57.199,3.601,define data science and software
59.039,3.601,engineering data science is defined as a
60.8,4.24,combination of multiple fields including
62.64,4.0,statistics scientific methods artificial
65.04,4.079,intelligence ai
66.64,3.36,and data analysis to extract value from
69.119,2.961,data
70.0,3.84,in essence is the usage of a bunch of
72.08,3.84,different fields to get valuable
73.84,3.84,integration from data some example
75.92,3.839,projects that data science will do are
77.68,4.4,things like say like creating a product
79.759,4.161,sales forecasting model perhaps using a
82.08,3.6,machine learning based solution
83.92,3.199,also things like creating and analyzing
85.68,4.079,experiments that test out different
87.119,4.561,versions of a website for example and
89.759,3.441,analyzing data to help companies make a
91.68,3.52,decision on where they should be
93.2,4.48,investing the most money on the other
95.2,5.279,hand software engineering is defined as
97.68,4.799,a systematic disciplined quantifiable
100.479,4.481,approach to the development operation
102.479,5.521,and maintenance of software that is the
104.96,4.799,application of engineering to software
108.0,4.159,here it's about applying engineering
109.759,4.4,principles to software to solve problems
112.159,3.92,and build products so some example
114.159,3.681,projects would include building a web
116.079,3.921,application creating infrastructure to
117.84,4.16,allow processes to run with increased
120.0,4.0,efficiency and automating certain
122.0,3.68,processes like creating an automated
124.0,3.119,trading bot for example these are just
125.68,2.88,some examples to illustrate what
127.119,3.521,projects may look like for data
128.56,4.08,scientists and software engineers but
130.64,4.08,really both these fields are incredibly
132.64,3.52,vast and diverse and there's just so
134.72,2.8,many different types of projects
136.16,3.2,hopefully though these give you some
137.52,3.76,insights into what software engineers
139.36,3.84,and data science work on next up let's
141.28,4.08,talk about similarities between software
143.2,3.84,engineering and data science
145.36,3.599,one similarity between data science and
147.04,4.32,software engineering is that they both
148.959,4.161,involve coding in some form data
151.36,3.519,scientists generally use code in order
153.12,3.6,to take one or more data sets and use
154.879,3.521,them to implement things like models
156.72,3.68,perform analyses and to create
158.4,3.839,visualizations usually the code is not
160.4,3.68,reused beyond the original purpose with
162.239,3.921,the exception of deploying models into
164.08,4.96,production that are meant to be reused
166.16,4.88,common languages include sql python and
169.04,4.0,r on the other hand software engineers
171.04,3.76,use code to build products and services
173.04,3.839,that are often meant to be used by lots
174.8,3.6,of end users this is why coding and
176.879,3.761,software engineering is generally far
178.4,4.0,more rigorous than in data science the
180.64,3.92,code standard for software engineering
182.4,4.16,is far higher and it's common to conduct
184.56,4.24,many tests on the code to make sure that
186.56,4.48,all the use cases are covered
188.8,4.88,some common examples of coding languages
191.04,5.52,include python javascript c
193.68,4.72,c sharp as well as java so overall both
196.56,3.84,data scientists and software engineers
198.4,3.919,code as part of their day-to-day jobs
200.4,3.6,although the nature of coding is
202.319,3.441,actually quite different another big
204.0,3.36,similarity between data science and
205.76,3.839,software engineering is that they are
207.36,3.68,both widely applicable to lots of
209.599,3.521,different fields say if you have a
211.04,4.24,career in like investment banking
213.12,4.24,marketing or like medicine you're likely
215.28,4.239,to stay in your respective field since
217.36,4.08,your expertise is specific to that
219.519,3.521,domain where at least you won't travel
221.44,3.84,too far from your original domain but
223.04,4.4,this restriction does not apply for data
225.28,4.239,scientists and software engineers both
227.44,3.76,of these careers are very skill based
229.519,3.601,and people can take their skills and
231.2,4.16,apply it across different companies and
233.12,3.839,industries using myself as an example i
235.36,3.76,started my data science journey in
236.959,4.321,bioinformatics specifically cancer
239.12,4.479,genomics i then worked for a bit in
241.28,4.239,finance and finally ended up in tech
243.599,3.761,similarly i also know a lot of friends
245.519,4.08,of mine who did the same computer
247.36,3.92,science degree as me and then worked as
249.599,3.121,software engineers in a variety of
251.28,4.239,different places like hedge funds
252.72,5.039,e-commerce pharma and tech however this
255.519,4.56,is not to say that switching industries
257.759,4.641,is like no effort you will definitely
260.079,4.001,need some time to ramp up in the company
262.4,3.28,and the new field and you'll need to
264.08,4.24,learn some domain knowledge but in
265.68,4.88,general this is not that hard to do in
268.32,4.319,my opinion learning the technical skills
270.56,4.639,is far harder than learning things like
272.639,4.481,domain specific concepts and terminology
275.199,3.841,the next similarity between software
277.12,3.84,engineering and data science is that
279.04,4.32,both these fields require you to do a
280.96,4.239,lot of problem solving these are not
283.36,3.839,fields where you can memorize concepts
285.199,3.841,or terminology the core skill that you
287.199,3.681,develop for both of these fields is
289.04,3.439,problem solving because there are so
290.88,3.2,many problems
292.479,3.28,for example software engineering you may
294.08,3.76,be faced with a specific task you need
295.759,4.081,to do but you have never seen anything
297.84,3.6,like it before so you have to think
299.84,3.359,through a task try to break it down into
301.44,3.599,its components and think of the logic
303.199,4.081,and how you can kind of like fit things
305.039,4.241,together to complete your task you
307.28,4.0,probably get stuck a lot too and consult
309.28,4.24,the coding savior which is stack
311.28,4.0,overflow to try to solve your problem
313.52,4.08,you probably also spend a lot of your
315.28,4.8,time if like not most of your time
317.6,4.159,trying to figure out how to fix a bug in
320.08,3.2,your code to fix it you first try to
321.759,3.041,reproduce it then test out the
323.28,3.84,assumptions that you think might be
324.8,3.76,causing it again problem solving data
327.12,3.12,science also centers around problem
328.56,3.44,solving you're spending a lot of time
330.24,4.08,wrestling with the data to get it to
332.0,4.639,yield some precious insights you're
334.32,4.8,coming up with a hypothesis testing it
336.639,4.481,out sometimes over and over again to try
339.12,3.84,to discover a negative insight you may
341.12,3.359,also run into the issue of your data not
342.96,3.519,being in the correct format to use a
344.479,3.201,statistical model where to use a machine
346.479,2.801,learning model so then you need to
347.68,3.44,figure out what is the correct format
349.28,3.359,and then how to transform your data to
351.12,3.28,that format you'll probably also be
352.639,3.84,consulting the coding savior stack
354.4,4.72,overflow or its cousin for math and
356.479,4.241,stats stack exchange problem solving is
359.12,3.76,fundamental to both software engineering
360.72,3.039,and data science and as a secondary
362.88,2.56,skill
363.759,3.44,patience another similarity between
365.44,3.199,software engineering and data science is
367.199,3.28,that you're expected to learn a lot of
368.639,3.761,things as new technologies are coming
370.479,3.84,out both fields have a lot of new
372.4,3.919,innovations coming out every month if
374.319,3.921,not every week or every day new
376.319,4.0,languages new ways of doing things and
378.24,4.0,new infrastructures to be able to keep
380.319,4.32,up with everything is of course not
382.24,4.16,possible however part of your job is to
384.639,3.68,keep tabs on the new technologies that
386.4,3.519,are coming out and also kind of like
388.319,3.281,pick and choose the ones that you think
389.919,3.441,are going to be the most useful for you
391.6,3.439,self learning and upskilling is very
393.36,4.08,common among software engineers and data
395.039,4.321,scientists and this ability to learn
397.44,3.52,quickly and efficiently is a skill that
399.36,3.2,will take you far now speaking about
400.96,3.359,learning things if you are interested in
402.56,3.199,learning more about data science
404.319,3.121,including machine learning algorithms
405.759,3.44,and up and coming technologies you
407.44,3.52,should definitely check out dataiku's
409.199,3.44,free learning resource linked in the
410.96,3.04,descriptions the learning material is
412.639,3.361,really beginner friendly with lots of
414.0,3.84,illustrations and examples data iq
416.0,3.599,itself is also the cutting edge of data
417.84,3.28,science and artificial intelligence by
419.599,3.681,systemizing the use of data and
421.12,4.88,providing a single central solution for
423.28,4.56,the design deployment and management of
426.0,2.96,ai applications so if you're interested
427.84,2.88,in data science you should definitely
428.96,3.44,check out how the field is progressing
430.72,3.759,now let's talk a little bit about the
432.4,3.519,differences so the first major
434.479,3.361,difference between software engineering
435.919,4.241,and data science is what i call a
437.84,4.24,building versus discovering mindset
440.16,3.439,software engineering is very much about
442.08,3.2,building things and using good
443.599,3.761,engineering principles to make sure that
445.28,4.16,the things you build are efficient meet
