second,duration,transcript
0.24,4.92,so the environment that you see you know
2.7,5.159,is a work from notebook so in this
5.16,4.92,notebook you can type text you can have
7.859,3.78,like you know your coding move from
10.08,3.36,language you can have you know
11.639,3.96,visualization literally we can have
13.44,5.46,everything so it's an integrated
15.599,4.621,environment uh so first thing is that
18.9,3.18,like you know as you may know like you
20.22,4.979,know well for Mathematica it has more
22.08,5.279,than you know 6 000 building you know uh
25.199,4.261,functionalities each of those
27.359,4.861,functionalities there are for a specific
29.46,4.98,core area I don't know calculus you know
32.22,4.44,algebra like you know machine learning
34.44,4.38,and then like you know very recently
36.66,3.719,since last year like you know we have
38.82,5.399,been working on like you know developing
40.379,6.541,a collection of functions for doing any
44.219,4.441,sort of quantum computation in a finer
46.92,3.78,dimensional space
48.66,3.719,so one more time like you know it's any
50.7,4.379,Quantum computation in the final
52.379,4.801,dimensional you know Hillary space and
55.079,4.861,what we call it is basically is a
57.18,4.019,packlet so packlet is basically like you
59.94,3.24,know a collection of functionalities
61.199,3.481,that are you know interconnected and
63.18,3.36,after installing the packlet you can
64.68,3.24,have access to all of those functions so
66.54,3.119,first is the block you know you just
67.92,5.04,need to evaluate like you know this code
69.659,6.0,to get what we call as well from Quantum
72.96,4.86,framework and as of now like you know
75.659,5.341,these are the list of
77.82,5.76,functionalities that we have supporting
81.0,4.259,any Quantum computation the beauty of
83.58,3.66,like you know having packlet is that
85.259,3.661,like you know they're very similar to
87.24,3.48,any other function that you have
88.92,4.559,involved for Mathematica like you know
90.72,5.039,you see here like you know if you click
93.479,4.441,you know on that you would see like you
95.759,3.961,know the documentation page so each of
97.92,4.379,you know these functionalities they have
99.72,4.259,their own documentation page and like
102.299,3.601,any other documentation like you know
103.979,3.901,the format is the same like you know
105.9,3.42,basic examples it's called properties
107.88,4.86,and like you know you can find you know
109.32,6.18,other you know for example I don't know
112.74,5.159,this is the list of you know functions
115.5,5.399,that we have you see like you know basis
117.899,5.641,objects you know uh manipulation of that
