second,duration,transcript
22.939,5.611,"Hello Namaste welcome back to the module where
we are looking at how a database works."
28.55,5.13,"What is the database management system etc.,
So in the previous class we learnt what do"
33.68,5.24,"we mean by a data then we evolved in terms
of what do you mean by database then look"
38.92,4.97,"at the database system and the database management
system which is an application."
43.89,3.04,So we have looked at all of these.
46.93,3.409,"Now let us get into what do you mean by database
management system."
50.339,1.211,How does it works?
51.55,6.279,"What are the different relations that exist
in this particular database management system"
57.829,5.361,"and how we perceive that particular relationship
will look at all of these in this particular"
63.19,1.0,lecture.
64.19,4.8,"And when we look at the concepts that would
be covered in this particular class first"
68.99,4.7,"thing that I would speak about is what do
you mean by a database management system components."
73.69,2.64,Components in a database management system.
76.33,6.88,"Then characteristics of a database management
system then we define what is an entity."
83.21,5.51,"So now we will also take it ahead and look
at something called as an entity relationship."
88.72,5.92,"How entities are related what are the different
relationships that exist and the same concepts"
94.64,2.86,that we were looking at the spatial aspects.
97.5,3.5,So we would now put it in terms of a database.
101.0,5.16,"Now look at with then we would look at what
do you mean by database management system"
106.16,2.17,architecture ok.
108.33,2.51,"What is the architecture of a database management
system?"
110.84,4.87,"Then there are a database management system
language a broad definition of languages I"
115.71,5.85,"am not getting into very specific a very broad
system of different languages in database"
121.56,1.81,management system.
123.37,5.3,"So when we look at the component of the database
a first and foremost important component of"
128.67,2.459,database is the database engine.
131.129,4.481,"When we look at this database engine it is
the heart of the database management system"
135.61,5.25,"responsible for storing, retrieving and updating
the data."
140.86,5.59,"So this is like a backbone or the heart of
a database management system."
146.45,6.56,"So this is a this runs through the entire
structure and is very important for storing,"
153.01,2.31,retrieving and updating the data.
155.32,3.88,There is another concept called data dictionary.
159.2,4.08,"So dictionary it holds definition for all
the data tables okay."
163.28,8.82,"It is like a defining key in which actually
is defining all the tables are at the definition"
172.1,5.71,"of all the table that describes the type of
the data and being that are being stored in"
177.81,2.59,that particular database ok.
180.4,5.98,"So then we have a query processor so when
we look at these towards query and processor"
186.38,1.57,which means it is a processing a query.
187.95,6.27,"Let us a fun it is basically a fundamental
component which enables users and developers"
194.22,2.32,to store and retrieve data ok.
196.54,2.47,It is both storing and retrieving.
199.01,5.71,"So when we say querying you are either you
are actually storing somewhere the data retrieving"
204.72,1.12,the data.
205.84,8.07,"So all these database operations can run through
a query language like a sequential query language"
213.91,5.24,"SQL, MySQL very well-known query languages
the MySQL ok."
219.15,6.26,"Though it has a evolved over a period of time
but now also MySQL as quite well known."
225.41,4.25,"And when you when the next component is report
writer."
229.66,8.27,"So though this particular component is more
or less not the evolved over a period of time"
237.93,6.8,"but it enables us to setup a report to on
the screen to specify how items will be displayed"
244.73,1.619,or calculated.
246.349,2.581,So these are normally used to generate reports.
248.93,5.41,"So in many systems many database systems they
have different way of defining it but report"
254.34,5.619,"writer is generally to actually compile all
the information and generate report about"
259.959,3.161,the those information’s.
263.12,2.07,Then we have something called as a forms generator.
265.19,4.4,"It is an input screen that helps developer
to create forms."
269.59,7.639,"So are it is input screen that helps developers
to create and way of connecting into the system."
277.229,4.181,"Then you have an application generator and
when you look at an application generator"
281.41,4.53,"as an application is this collection in terms
of forms that is this number of forms what"
285.94,5.29,"would have been generated it is nothing but
the collection of those form and reports by"
291.23,1.0,the report generator.
292.23,5.79,"It is a final package that consist of tools
and that assist developer in creating the"
298.02,2.14,complete package.
300.16,2.99,"Either a developer or a user to create a complete
package."
303.15,3.51,Normally it has done by a developer ok.
306.66,6.22,"Then you have communication and integration
which allows to share data with other machines"
312.88,2.65,across different communication networks.
315.53,5.07,"So it is based on relationship it based on
addresses it is based on the way you want"
320.6,5.69,"to query data or you want to access data that
in this communication and integration works."
326.29,4.43,"Then the security being a very complex issue
in the database."
330.72,7.0,"So it has many layers of security many kinds
of security that will be embedded in terms"
337.72,3.34,of a component in a database management system.
341.06,6.22,"And when you look at database management system
always any of those any systems whether it"
347.28,5.92,"is storing data or integrating data, collecting
data and then storing processing etc., always"
353.2,2.17,is dependent on the model ok.
355.37,6.12,"A kind of model which actually defines how
the structure is there how it is saved?"
361.49,4.55,"How it is retrieved and how different systems
work."
366.04,7.56,"So when we look at the underlying the structure
of the database always you have as I said"
373.6,1.26,is a data model.
374.86,5.36,"A data model is the collection so let us be
very specific here it is a collection of conceptual"
380.22,1.25,tools.
381.47,5.5,"So it is a collection of conceptual tools
that describe data ok."
386.97,5.21,"So when you are speaking about data that are
tools that can describe data that can describe"
392.18,4.239,data relationship describe data semantic.
396.419,5.681,"When I say semantics, these are usage of very
specific in data ok."
402.1,5.97,"And how the consistent of a consistent consistency
a constraint are maintained."
408.07,3.76,"So these are very important in terms of a
data model."
411.83,5.71,"So it is the tool which actually connects
or describes all of these ok."
417.54,3.53,"That is why that is what is called the data
model ok."
421.07,6.65,"So when I say a data model it has support
for multiple data types it can have for example"
427.72,6.35,"you can have MS access and this MS access,
text in terms of memo on numbers, date whatever."
434.07,4.24,"If you have if you used MS access most of
this can be done."
438.31,4.97,"Whether it is qualitative, quantitative, ordinary
data whatever kind of data that you want to"
443.28,3.31,put in can be put in such databases.
446.59,7.389,"And when you look at another important aspect
is that it is the data model actually starts"
453.979,4.97,"from the where the data is stored as a file
in the database."
458.949,5.421,"Either loading of the databases from different
databases and processing it an application"
464.37,3.42,this all thing is done using a data model.
467.79,6.96,"So if your nutshell if you have to say this
is an index for our rapid retrieval ok."
474.75,3.07,"So it is like a book you have number of pages
in a book."
477.82,4.31,"Each page have let us say a certain number
of pages have certain chapters in a book."
482.13,5.94,"So it acts as a index chapter and helps in
retrieving managing and processing any anything"
488.07,3.61,in that book is nothing but a data model ok.
491.68,5.58,"So it is in a nutshell we can just say it
is an index for processing retrieving any"
497.26,6.08,"information in that particular database is
nothing but a data model."
503.34,7.26,"When you look at characteristic of a database
management system it consists of query language."
510.6,6.411,"For example a sequential query language a
MySQL is another query language this is a"
517.011,6.169,"very intrinsic part of how the query is directed
in to the system and that is how that system"
523.18,1.469,would programmed.
524.649,7.641,"Then you have security control of the data
or the controlled access to the data."
532.29,5.419,"So that that is the security forms another
characteristic of database management system"
537.709,5.731,"the better the security the better the database
management system multilevel groups for example"
543.44,1.82,sensors NGA.
545.26,2.42,So all of these groups can be easily accessed.
547.68,3.349,"So you have different groups for different
groups for different access you have different"
551.029,5.93,"ways of accessing each of this you have different
user groups which have different powers of"
556.959,1.281,accessing this data.
558.24,3.53,"So that is how a database management system
is done."
561.77,3.62,"Then you have controlled update using a transaction
manager."
565.39,5.54,"So many of times you may also see that you
have to visit a particular site or a visit"
570.93,6.26,"a particular or write to a particular person
in order to have some restriction removed"
577.19,2.3,facts of a particular data.
579.49,3.98,"So that is what is called controlled update
using a transaction manager."
583.47,5.11,"Then you have versioning is a very important
form of the database which actually keeps"
588.58,6.33,"a track of what has improved and how the previous
errors or loopholes in the database have been"
594.91,2.07,corrected over a period of time.
596.98,6.09,"Then the last one is the backup and recovery
and this forms a very important part of any"
603.07,6.28,"database because without backups then maybe
certain issues sometimes maybe that particular"
609.35,4.84,"system where the entire database is cornered
on the system that is acting as a server may"
614.19,5.13,fail because everything as its own self life.
619.32,3.1,So once it is self-life is over it may fail.
622.42,6.94,"So in order to have a backup if the systematical
backup is done now if that database can automatically"
