second,duration,transcript
14.4,8.32,"Welcome to Module 36, Week 8 of 
Database Management Systems course  "
24.32,14.48,"in IIT Madras online B.Sc. program.
 
In the last week, we took a wide look into how to  "
38.8,8.08,"develop applications based on databases. Using 
various programming languages, tools, frameworks  "
46.88,5.36,"we tried to give you an overview 
of the rapid development process,  "
52.24,5.6,"what it needs to do applications on 
the web as well as on the mobile.
 "
58.8,6.4,"As I told earlier, we would now again 
step back into the core of database design  "
66.32,5.84,"and if you recollect what we have 
primarily done in the earlier weeks,  "
72.16,7.04,"we have started by focusing on the logical design. 
We talked about two primary design aspects. One is  "
79.2,6.64,"the logical design, which is conceptual, 
which deals with entities relationships,  "
86.72,4.56,"different constraints, their representation, 
the algebra, calculus, everything.  "
92.32,4.16,"And the other aspect is a physical 
design, as to how will the bits and  "
96.48,5.6,"bytes be organized so that you can have an 
efficient storage and an efficient access.  "
103.2,10.64,"So, it is now time to start discussing that.
 
For that we will have to study some of the storage  "
114.4,6.32,"options, or not some maybe a wide range of 
storage options, that have evolved over time  "
120.72,7.68,"and what is available today. We have to study how 
in this typical storage you can organize the data,  "
128.4,6.96,"how you can make the accesses and storage 
efficient by things like indexing and so on.
 "
136.16,8.64,"So, keeping that target in mind I just thought 
that it will be good to give a little bit of recap  "
144.8,6.8,"to you on what is efficiency, what we mean by 
efficiency of access, what we mean by efficiency  "
151.6,6.24,"of storage, how can we compare different ways of 
doing accesses, different ways of organizing data  "
158.64,4.72,"in terms of its access time, in 
terms of its storage requirement.
 "
164.4,5.44,"This, truly this is, these are 
topics in the algorithms course which  "
170.4,6.88,"you may have already studied. So, I have kept it 
very brief over the first 3 modules of this week,  "
178.08,7.04,"and I will start today by defining just, I mean, 
most of it will be recapitulation for you but  "
185.68,4.4,"just putting in context from the algorithms 
course as to, and the data structure course  "
190.08,7.76,"as to what we will frequently need in the design 
of the physical databases. So, we will start by  "
199.04,5.84,"looking at algorithms and programs and 
then the different issues of analysis and  "
204.88,5.84,"particularly coming to the asymptotic notation 
and some complexity of common algorithms.
 
 "
211.6,3.52,"So, this is uh the module outline, 
the points on the left.
 
 "
216.08,6.48,"So, as you know, formally an algorithm is 
a finite sequence of well-defined steps.  "
223.52,3.92,"The sequence has to be finite 
and every step has to be  "
228.0,5.76,"well defined, unambiguous to solve 
a class of specific problems,  "
234.72,7.92,"or to perform a computation. You want to achieve 
a task, so you define a sequence of instructions  "
243.2,6.64,"which are already known to you and those 
which are unambiguous and well defined,  "
250.48,7.76,"and by doing those steps one by one, maybe in 
just a sequential order or maybe repeating them,  "
258.24,6.4,"you will be able to achieve that task.
Now, more often the instructions are computer  "
264.64,6.48,"implementable but we also write algorithms which 
are more like for human understanding and you can  "
271.12,6.24,"find an equivalent representation algorithm 
which is computer implementable. But the key  "
277.36,4.8,"point about an algorithm is, and this question 
is often asked in the interview as to what is the  "
282.16,5.04,"difference between an algorithm and a program, the 
key point of an algorithm is it must terminate.
 "
288.0,7.04,"An algorithm given an input must give me the 
output in finite time. That time may be very long,  "
295.04,5.12,"that time may be milliseconds, it could 
be seconds, could be hours, months or even  "
300.72,5.2,"years, millenniums, but it provably 
must terminate. That is a key point.
 "
306.88,5.52,"In contrast, a program is a collection of 
instructions very similar to algorithms which  "
312.4,6.32,"are necessarily to be executed by a computer. 
That is the reason the computer programmers  "
318.72,5.6,"write programs in a certain computer language, 
so we say that programs implement algorithms.  "
325.04,6.4,"And the characteristics of a program which would 
often distinguish it from an algorithm is the fact  "
331.44,7.36,"that a program may or may not terminate.
Now, for example you will ask, I mean,  "
339.6,4.64,"how is it that a program may not terminate. 
It is quite possible, for example think about  "
344.24,6.48,"the operating system working in your desktop 
or in your mobile phone. They never end.  "
350.72,6.4,"If the operating system ends, the system is dead. 
So, they, as long as you have the computer system,  "
357.12,4.48,"you have an operating system running. 
Your database system does not stop.  "
361.6,5.84,"It will have to keep running. So, these are 
programs which do not terminate, but they embody  "
367.44,4.8,"algorithms which must terminate.
 
That is the reason, mostly we talk  "
372.24,7.6,"of algorithms only and programs come in terms of 
realizing what the algorithm is trying to do.
 
 "
379.84,5.36,"Now, the question is, we often know about 
analysis of algorithms, we often talk about  "
385.2,6.8,"analysis of algorithms. So, there are a couple 
of w questions on this which is very typical as  "
392.0,5.76,"to why should you analyze, what is the motivation, 
why do you actually analyze an algorithm. Then the  "
397.76,5.44,"question is what do you analyze, what identify, 
what all factors that need to be analyzed.
 "
404.0,5.44,"Once you have done that, then you need 
certain techniques, tools to analyze. So,  "
