second,duration,transcript
2.2,4.12,ok so now we're going to change topics
5.18,4.26,and start talking about our first
6.32,4.94,technical subject of this course and as
9.44,4.97,an introduction to computer architecture
11.26,6.4,we're going to be talking about what is
14.41,6.82,architecture versus microarchitecture
17.66,6.599,and I want to just briefly say that as
21.23,5.309,you take this class the first three
24.259,4.35,lectures or so should be review so if
26.539,3.63,you sing in the class and you're saying
28.609,4.411,oh I've seen all this before
30.169,5.071,don't get up wait to the fourth or fifth
33.02,2.58,lecture and then the content will become
35.24,1.56,new
35.6,3.21,and this is because I want to teach
36.8,4.14,everything from first principles and get
38.81,3.15,everyone up to speed but it's that those
40.94,2.46,first few lectures are going to go very
41.96,2.76,fast so if you're lost in the first
43.4,4.4,three lectures which should be reviewed
44.72,5.36,then that's probably a bad in indicator
47.8,5.8,so we'll start off by talking about
50.08,8.23,architecture versus microarchitecture
53.6,7.56,and I wanted to say briefly what I mean
58.31,6.66,by architecture and I have in this slide
61.16,8.84,here a very large a4 what I'll sometimes
64.97,8.01,call Big Eight architecture so your
70.0,5.59,Patterson has he calls this instruction
72.98,5.58,set architecture and when I contrast
75.59,7.11,this with micro architecture or paracin
78.56,6.12,hennessy calls organization so big 8
82.7,4.89,architecture is an abstraction layer
84.68,4.29,provided to software or instruction set
87.59,3.54,architectures our abstraction layer
88.97,6.18,provided to software which is designed
91.13,7.11,to not change very much and it doesn't
95.15,7.32,say it says how a theoretical
98.24,5.45,fundamental sort of machine execute
102.47,8.37,programs
103.69,9.19,it does not say exactly the size of
110.84,3.75,different structures how fast those
112.88,6.29,things will run the exact implementation
114.59,6.77,issues that falls into organization and
119.17,5.47,one of the things I wanted to emphasize
121.36,7.09,is that computer architecture is all
124.64,6.209,about trade-offs so when I say it's all
128.45,4.89,about trade-offs you can make different
130.849,4.021,design decisions up here in the big a
133.34,2.61,architecture or the instruction set
134.87,3.42,architecture
135.95,4.71,that'll influence the application it'll
138.29,4.44,influence the microarchitecture but also
140.66,3.329,you can make different design decisions
142.73,2.339,down here and make a lot of different
143.989,3.091,trade-offs on how to go about
145.069,5.341,implementing a particular instruction
147.08,4.769,set architecture and largely when you go
150.41,3.75,to look at computer architecture and
151.849,4.531,computer architecture implementation the
