second,duration,transcript
0.08,3.92,this is how you can learn machine
1.199,5.6,learning easily and free
4.0,4.48,handset ml2 is an open source repository
6.799,3.441,of jupyter notebooks showing the
8.48,3.92,fundamentals of machine learning and
10.24,3.92,deep learning in python machine learning
12.4,3.199,is one of the hottest developer topics
14.16,3.199,right now and what i love about this
15.599,3.361,repository is that it teaches you
17.359,3.281,machine learning in the environment that
18.96,3.2,you would work in it's easy to get
20.64,3.6,started so you don't have to install
22.16,4.56,anything just use google colab in your
24.24,5.52,browser python is huge with machine
26.72,6.16,learning with scikit-learn keras and
29.76,5.44,tensorflow 2 the future of ai is in your
32.88,2.32,hands
