second,duration,transcript
0.03,5.519,hey CS dojo its YK here so in this video
3.689,4.83,I'm going to talk about what dynamic
5.549,4.981,programming is and how to use it and as
8.519,3.66,I explain how it works I'm going to
10.53,3.81,assume that you're already familiar with
12.179,5.581,recursion so what is dynamic programming
14.34,5.4,exactly it's actually fairly simple even
17.76,4.26,though it might sound difficult it's
19.74,4.44,basically a way of making your algorithm
22.02,4.23,more efficient by storing some of the
24.18,4.47,intermediate results and it works really
26.25,4.83,well when your algorithm has a lot of
28.65,3.96,repetitive computations so that you
31.08,4.139,don't have to repeat those competitions
32.61,4.469,over and over again and I'm gonna give
35.219,4.531,you a concrete example of how it works
37.079,4.441,with Fibonacci sequence so just in case
39.75,3.989,you're not familiar with it phonology
41.52,4.68,sequence is a sequence of numbers that
43.739,5.07,starts with two ones at the beginning
46.2,5.31,and each number after that is computed
48.809,4.23,by adding up the two previous numbers so
51.51,5.01,the third three months number is two
53.039,5.221,because one plus one equals two and then
56.52,4.199,the fourth 300 number is three because
58.26,5.88,one plus two equals three and so on and
60.719,4.8,this sequence keeps on going forever so
64.14,3.87,let's say we're trying to solve the
65.519,6.71,problem of finding the entrance number
68.01,7.35,or writing a function called fib of n
72.229,5.68,which takes a positive integer n and
75.36,6.93,finds and returns the end speedruns
77.909,6.301,number so if the given n is three we
82.29,5.189,want to be able to find and return the
84.21,5.909,third Finch number which is two and if
87.479,4.801,the given n is five we want to be able
90.119,5.221,to return the fifth Reynolds number
92.28,4.58,which is five let's see how we can solve
95.34,4.2,this problem using dynamic programming
96.86,4.78,so if you want to solve a problem using
99.54,4.68,dynamic programming there are typically
101.64,4.74,three steps you can take the first step
104.22,4.38,is to come up with a recursive solution
106.38,4.23,to your problem and then in your
108.6,4.17,recursive solution if you notice that
110.61,4.38,there are a lot of repeated competitions
112.77,4.169,you can then store some of the
114.99,4.68,intermediate results so that you don't
116.939,5.731,have to repeat those competitions this
119.67,5.519,process is also called memoization or
122.67,5.309,memorize and this is not to be confused
125.189,5.221,with memorize and I've made a mistake
127.979,5.351,before too and then the third step if
130.41,4.45,you don't like using recursion anymore
133.33,4.2,is to come up with something called a
134.86,4.32,bottom-up approach so let's first see
137.53,4.35,what a recursive solution might look
139.18,4.32,like for this particular problem so as I
141.88,4.44,said earlier we're going to write a
143.5,5.67,function called fable of n which takes
146.32,5.79,and a positive integer and returns the N
149.17,6.03,3 branch number and if n is equal to 1
152.11,5.43,or 2 we know that the first and the
155.2,4.74,second finish numbers are 1 we're going
157.54,2.82,to return 1 but instead of returning it
159.94,2.43,right away
160.36,4.47,we're going to store it in a temporary
162.37,5.13,variable called the result and then
164.83,4.49,return that instead and it's going to be
167.5,6.209,clear why we need to do that later and
169.32,7.15,if n is neither one nor two then we're
173.709,5.401,going to return the sum of the two
176.47,6.66,previous Fibonacci numbers instead fib
179.11,6.48,of n minus 1 plus fib of n minus 2 store
183.13,5.4,that in result and then return it at the
185.59,6.119,end so the solution works but it's very
188.53,5.46,very inefficient to see why let's see an
191.709,5.631,example where we're trying to find the
193.99,6.749,5th Fibonacci number by calling table 5
197.34,6.1,so to find the return value of people 5
