second,duration,transcript
0.0,4.68,machine learning books that I've been
1.56,5.88,devouring over the last couple of months
4.68,3.959,Ivan savov's Noble guide to math and
7.44,3.36,physics found this to be a great
8.639,3.901,refresher to math fundamentals I also
10.8,3.719,bought his guide to linear algebra data
12.54,4.2,science from scratch by Joel gruse first
14.519,3.661,principles with python this is a
16.74,2.7,brilliant book to understand the nuts
18.18,2.82,and bolts behind some of the most
19.44,2.7,popular machine learning algorithms and
21.0,3.18,last but not least that Quest
22.14,4.94,illustrator guide to machine learning a
24.18,2.9,triple band these are the
