second,duration,transcript
10.301,2.837,"You might not realize it,
but we are surrounded by CPUs,"
13.138,2.794,"or processors, and the
computing they do for us."
15.932,2.544,"They touch every aspect
of our lives."
18.476,3.254,"CPUs are in your laptop, in the
machines you use to check out"
21.73,2.544,"at the grocery store, in the
electronics that power the"
24.274,1.96,"instruments in your
car more efficiently."
26.234,2.544,"They enable our artists and
scientists to create things"
28.778,3.045,"that were
unimaginable only yesterday."
31.823,4.129,"CPUs are everywhere and shape
just about everything we do."
35.952,3.879,"Welcome to Architecture All
Access CPU Architecture,"
39.831,0.626,Part One.
53.678,2.461,"I've always been fascinated
with computers since I was"
56.139,1.877,"a kid, when I
was first captivated by those"
58.016,1.96,"revolutionary green screen
computers at my"
59.976,3.087,"elementary school, and a lot
has changed since then."
63.063,2.002,"And over the last twenty
three years, I've had the"
65.065,2.168,"privilege of working on some of
the most well known chip"
67.233,2.044,designs in Intel's history.
69.277,2.044,"From the architectural
definition and design of"
71.321,2.961,"the Pentium 4, to designing
the Nehalem, Westmere,"
74.282,3.295,"Haswell, Broadwell, and Tiger
Lake processors and many more."
77.577,2.252,"Today I helped lead the
development of Intel's Client"
79.829,2.253,"Engineering Teams, where I
oversee the development of"
82.082,2.419,current and future products.
84.501,3.003,"Hi, my name is Boyd Phelps,
and today I want to talk to"
87.504,2.627,"you about CPUs,
and more specifically about"
90.131,3.754,"CPU architecture, its future,
and the technologies involved"
93.885,2.294,in modern CPU design.
96.179,2.502,"As we do so, my hope is that
you will gain not only a"
98.681,3.921,"greater appreciation for what a
CPU is, what it does, and how"
102.602,2.628,"it does it, but that you'll
also be inspired about the"
105.23,3.753,"possibilities of what lies
ahead in the decades to come."
108.983,2.878,"And who knows, maybe some of
you will even have a hand in"
111.861,1.502,shaping that future.
113.363,2.461,"There is so much innovation
ahead of us in what is one of"
115.824,2.335,"the most amazing
industries on Earth."
118.159,2.711,"We divided the
content into two modules:"
120.87,2.211,"The first one focused on a
brief history of CPU"
123.081,2.419,"Computer Architecture,
the concept of"
125.5,2.002,"Computing Abstraction Layers,
and the"
127.502,1.793,Instruction Set Architecture.
129.295,3.087,"Module Two will cover the
building blocks of CPUs broken"
132.382,3.545,"down into what we call Front
End and Back End, as well as a"
135.927,2.169,Primer on Caching.
138.096,3.045,"Think of Module one as the
Architecture Module, where we"
141.141,1.751,"describe things at a
high level."
142.892,3.17,"In Module Two is a micro
architecture module for CPUs,"
146.062,3.378,"where we begin to click
down a bit into the details."
149.44,2.628,"We've got a lot to cover,
so let's get going."
157.824,1.877,So what is a CPU?
159.701,3.587,"Well, C.P.U. Stands for Central
Processing Unit, and it's often"
163.288,2.919,"called the brain
of the computer."
166.207,2.753,"The CPU sits at the center of
everything in the computer and"
168.96,3.045,"handles all of the computation
needed to turn inputs"
172.005,2.961,"from memory, like a photo on
your hard drive, into outputs"
174.966,3.086,"on your peripherals, like an
image on your monitor."
178.052,3.754,"CPUs are a general purpose,
flexible architecture that take"
181.806,2.878,"in a stream of instructions
from all types of workloads and"
184.684,3.879,"compute or process information
based on those instructions."
188.563,4.338,"Simply put, CPUs do what we
tell them or program them"
192.901,1.084,to do.
193.985,3.378,"CPUs are what run your
operating system, the web"
197.363,2.586,"browser that you're using right
now to watch this video,"
199.949,2.753,"your favorite photo
or video editing application,"
202.702,2.753,"your productivity software,
conferencing applications,"
205.455,1.877,"and much, much more."
207.332,2.794,"With the advances in silicon
technology over time and our"
210.126,2.377,"ability to continue
miniaturizing transistors and"
212.503,2.586,"make them more efficient,
we've been able to pull more"
215.089,3.462,"and more functionality onto the
same piece of silicon that"
218.551,1.96,contains the CPU.
220.511,3.003,"This ability to continue
shrinking transistors is based"
223.514,3.504,"on a famous law or observation
that we in the industry refer"
227.018,1.668,to as Moore's Law.
228.686,2.795,"Moore's Law is based on the
observed trend showing that we"
231.481,2.961,"can double the number of
transistors per unit area about"
234.442,1.418,every two years.
235.86,3.504,"This simple law drives
tremendous innovation,"
239.364,3.295,"making what was once
thought to be impossible not"
242.659,4.045,"only possible, but also
cheaper over time."
246.704,2.711,"Several decades ago,
computers were a luxury of"
249.415,3.504,"large institutions,
whereas today computers in some"
