second,duration,transcript
0.24,3.76,the central processing unit or cpu is
2.72,3.119,like the engine in your car
4.0,3.2,or the brain in your skull and is like a
5.839,3.201,really fancy calculator
7.2,3.519,used to run the applications on your
9.04,3.519,computer when you write software in a
10.719,3.201,language like javascript or python
12.559,3.361,you're actually writing a set of
13.92,3.68,instructions that will be executed as
15.92,3.6,machine code by a cpu
17.6,4.16,which itself is a carefully crafted
19.52,3.919,piece of metal and silicon that contains
21.76,4.0,billions of tiny transistors
23.439,3.041,or on off switches that represent ones
25.76,2.96,and zeros
26.48,4.48,to perform mathematical calculations a
28.72,4.08,cpu will combine multiple transistors
30.96,4.16,together to form logic gates
32.8,4.4,for example and will take two binary
35.12,4.16,inputs and validate that both are true
37.2,4.16,to produce a true output it only takes a
39.28,4.0,few basic logic gates to solve highly
41.36,3.44,complex computational problems
43.28,3.439,modern chips contain billions of
44.8,3.84,transistors and they can be flipped on
46.719,3.921,and off billions of times per second
48.64,3.759,the state of the cpu is synchronized by
50.64,2.48,an oscillator known as the clock
52.399,2.401,generator
53.12,4.0,in general the more times the clock can
54.8,4.079,pulse per second the faster the cpu can
57.12,2.56,compute and is normally measured in
58.879,2.561,gigahertz
59.68,3.6,gamers will sometimes overclock their
61.44,3.84,cpus to gain more performance
63.28,3.92,at the cost of higher temperatures and a
65.28,3.92,lower life expectancy now in order to
67.2,3.36,run applications it interacts with the
69.2,3.279,system memory or ram
70.56,3.68,in a series of four steps known as the
72.479,4.0,machine or instruction cycle
74.24,3.84,step one is the fetch phase think of a
76.479,3.841,software program as a set of
78.08,4.399,instructions stored in the ram the cpu
80.32,3.839,has registers to temporarily store the
82.479,3.601,address and memory that it wants to
84.159,2.561,interact with the program counter starts
86.08,2.56,at 0
86.72,3.84,and copies that address to the memory
88.64,4.08,address register then the control unit
90.56,2.879,sends out a signal to copy the data from
92.72,2.56,that address
93.439,3.761,to the instruction register at which
95.28,2.799,point it needs to figure out how to use
97.2,2.8,this instruction
98.079,3.36,in the decode phase the control unit
100.0,2.159,parses the actual bits in the
101.439,2.64,instruction
102.159,4.32,most importantly the opt code contains
104.079,4.641,the instruction like add or subtract and
106.479,3.841,the operand is the address in memory to
108.72,3.359,perform that operation on
110.32,3.92,the final execute stage takes the
112.079,4.08,decoded information and passes it as
114.24,2.8,electrical signals to the relevant parts
116.159,3.28,of the cpu
117.04,4.24,the arithmetic logic unit or alu can
119.439,3.68,perform math on the data and then store
121.28,3.68,the results in ram to change the state
123.119,3.201,of the program the cycle is repeated
124.96,3.439,billions of times per second
126.32,3.999,and modern chips utilize multiple cpu
128.399,2.64,cores to run multiple computations in
130.319,2.64,parallel
131.039,3.28,that's how a cpu works under the hood
132.959,3.201,but there's a lot more you should know
134.319,3.441,about processor architectures if you're
136.16,3.28,a developer and that's why i've invited
137.76,2.72,alex from the most underrated tech
139.44,2.24,channel on youtube
140.48,3.28,to break down some more advanced
141.68,3.84,concepts like apple silicon and how to
143.76,2.24,run performance benchmarking on your own
145.52,2.16,machine
146.0,4.08,hi everybody my name is alex and i'm
