second,duration,transcript
0.28,3.619,"Hi, my name’s Taylor and I’m going to
walk through a high-level explanation of database"
3.899,1.611,architecture.
5.51,3.36,"Understanding the underlying logic and concepts
behind database management really makes it"
8.87,5.309,"easier to understand the more technical aspects
of ERD further down the road."
14.179,3.941,"So let’s say you were opening your own online
store for something like specialty cat accessories,"
18.12,4.03,"and you want to be able to keep track of all
sorts of information surrounding your sales."
22.15,3.28,"Most people would just open up a spreadsheet
and start putting in things as orders come"
25.43,1.0,in.
26.43,1.13,Maybe it’d look like this.
27.56,4.43,"Mary’s our customer, she buys a cat leash,
and you capture all this information."
31.99,4.17,"And you just record this information for each
of your customers that trickle in."
36.16,4.3,"But maybe later Mary buys something else,
like 3 cat leashes, and at this point she’s"
40.46,3.579,"moved to a bigger place to have room for all
her cats, so her address is different."
44.039,4.59,"Now you’ve got redundant information, some
contradicting values for your customer’s"
48.629,3.991,"address...and if your specialty cat store
got enormously popular, these issues would"
52.62,1.75,just escalate.
54.37,3.55,"Mary calls to ask about one of her orders,
and when you pull up her information, you"
57.92,4.2,"get 3 different addresses, all these disorganized
orders...and you’re not even sure you’re"
62.12,4.26,"looking at the correct customer because there
are 3 different Mary Johnsons in your spreadsheet."
66.38,3.12,"You could see how this might lead to a messy
situation."
69.5,4.17,"Shipments could get sent to the wrong place;
customers might get mixed up; the wrong products"
73.67,2.129,could get sent to the wrong people.
75.799,1.801,So how would you resolve this?
77.6,4.269,"Instead of having just one massive spreadsheet,
you’d separate the information into different"
81.869,1.411,bite-sized tables.
83.28,3.5,"So with our cat store, for example, you might
start by creating a table that lists out all"
86.78,4.67,"your Customers, then a separate table that
lists out all your Products, and then another"
91.45,2.82,table the records each of your Orders.
94.27,3.629,"This separates the data you’re pulling in
in a much more efficient way."
97.899,2.68,"So here’s what your Customer table might
look like."
100.579,3.871,"You can see we’ve got Mary again, but now
she won’t be repeated into several different"
104.45,1.0,rows.
105.45,4.86,"Any change to her address, contact info, or
even name can be updated in this one consolidated"
110.31,1.41,place.
111.72,3.6,"The Product table would have all your cat
accessory inventory."
115.32,4.509,"As you add or remove items, this would be
the one place where you’d make those changes."
119.829,3.29,"And Orders would keep track of every single
sale you make."
123.119,4.61,"Now these tables, although separate, have
connections to one another, and this is what"
127.729,1.03,forms a database.
128.759,3.801,"So let’s take a look at what this interaction
might look like."
132.56,2.12,We’ll start in the Customer table.
134.68,3.08,"Let’s say someone goes to our online store
and makes a purchase."
137.76,4.14,"It’s a guy named Ronald, and he’s in the
market for a cat costume and buys one from"
141.9,1.33,our store.
143.23,4.37,"When he checked out, he entered all his contact
info, and we’ve recorded it in this Customer"
147.6,2.86,table and assigned him a customer ID.
150.46,2.94,Let’s move over to the Product table.
153.4,3.89,"This lists all our inventory, and here’s
the cat costume he wanted."
157.29,5.199,"We keep track of it with a few fields here,
like product ID, quantity in stock, and product"
162.489,1.131,type.
163.62,4.35,"And then when Ronald actually ordered the
cat costume, we record that specific purchase"
167.97,2.68,information in the Order table.
170.65,4.72,"Here you can see we pulled in the customer
ID from the Customer table, so we know it’s"
175.37,1.0,Ronald.
176.37,3.79,"We also pulled in the Product ID from the
Product table, so we know that he purchased"
180.16,3.85,"this cat costume, And there’s other data
in here that tells us about the date of the"
184.01,2.41,"sale, shipping address, quantity, etc."
