second,duration,transcript
2.0,4.879,0 is better than functional
4.319,4.081,or is it the other way around maybe the
6.879,2.321,next big thing will be better than both
8.4,2.48,of them
9.2,3.599,this is one of those arguments that
10.88,4.16,exercises developers
12.799,3.04,and they tend to fall into one camp or
15.04,2.48,the other
15.839,3.681,either you think that functional
17.52,4.32,programming is the only sane answer
19.52,3.919,or ooh is the defining approach for
21.84,3.84,complex systems
23.439,3.041,so what are the differences and do they
25.68,3.28,matter
26.48,4.0,what advantages does language paradigm
28.96,3.599,have to offer
30.48,4.48,and have we found all of the paradigms
32.559,8.19,that there are to find
34.96,5.789,[Music]
41.28,4.4,hi i'm dave farley of continuous
43.28,5.2,delivery welcome to my channel if you
45.68,4.8,haven't already please do hit subscribe
48.48,3.12,and if you enjoyed the video hit like as
50.48,2.96,well
51.6,3.76,i'd like to begin by thanking my
53.44,5.119,sponsors harness
55.36,5.6,equal experts octopus and spec
58.559,3.041,flow they're all helping us to grow this
60.96,2.56,channel
61.6,4.48,so please do check out their links in
63.52,4.56,the description below
66.08,3.039,whatever programming paradigm or
68.08,3.68,technology you
69.119,4.161,pick a deployment pipeline will improve
71.76,3.679,your workflow
73.28,4.96,check out my new continuous delivery
75.439,4.561,pipelines book on leanpub
78.24,3.199,which will help you to get started
80.0,4.799,building and to build
81.439,5.841,better deployment pipelines links in the
84.799,4.241,description again
87.28,3.519,in this episode i want to explore
89.04,4.719,programming paradigms
90.799,4.801,there's an argument made by bob martin
93.759,4.32,that we've identified all of the
95.6,5.199,paradigms that there are to find
98.079,4.961,i think that he might be wrong but we'll
100.799,4.64,cover that later on
103.04,3.2,i do though like his analysis of
105.439,2.561,language the
106.24,4.239,language paradigms that we currently
108.0,3.28,have he argues that a programming
110.479,3.761,paradigm
111.28,4.4,works by removing a freedom of some kind
114.24,4.559,it constrains us
115.68,5.36,in some way limiting our options
118.799,5.28,in ways that tend to help us to reduce
121.04,6.16,or even avoid some kinds of mistakes
124.079,4.081,i quite like that description a good
127.2,3.039,place to start
128.16,3.6,is how these paradigms arose in the
130.239,3.921,first place the first
131.76,3.199,languages were unstructured kind of
134.16,3.6,paradigm
134.959,5.0,free they were general purpose languages
137.76,3.44,but this first generation were pretty
139.959,2.92,unconstrained
141.2,3.84,they were really like high level
142.879,2.72,assembler languages in some sense you
145.04,3.68,could do
145.599,5.041,anything the usual way to describe the
148.72,5.04,history of programming languages
150.64,5.679,is as some kind of linear progression
153.76,3.199,we started with unstructured languages
156.319,3.2,invented
156.959,3.28,structure and then oo came along and
159.519,3.921,finally
160.239,6.241,functional is the new kid on the block
163.44,5.439,this is rubbish and completely wrong in
166.48,3.2,reality it was quite a lot messier than
168.879,3.121,that
169.68,4.8,grace hopper wrote the first compiler of
172.0,4.56,any kind in the early 1950s
174.48,4.24,fortran was the first high-level
176.56,4.92,language written in 1957
178.72,4.48,which is quickly followed by lisp in
181.48,4.52,1958
183.2,3.28,so languages began with an unstructured
186.0,2.72,language
186.48,4.16,fortran but then the second language
188.72,4.72,invented was functional
190.64,3.84,kind of fortran was intentionally
193.44,3.76,mathematical
194.48,4.16,fortran was named for formula translator
197.2,3.84,it was unstructured
198.64,4.48,but was built on some core concepts that
201.04,4.08,are common in programming today
203.12,4.399,concepts like variable assignment
205.12,4.479,conditionals and loops
207.519,3.921,cobol was the next big language written
209.599,3.121,in 1959
211.44,3.439,it was trying to make programming
212.72,3.68,language more like natural language and
214.879,3.201,so easier to learn
216.4,3.68,which i think that most people these
218.08,3.92,days would consider a mistake for a
220.08,4.159,general purpose language
222.0,4.4,lisp was written for researching
224.239,4.241,artificial intelligence
226.4,4.64,at the time we'll come back to the
228.48,3.119,functional paradigm that lisp gave birth
231.04,3.919,to
231.599,6.321,shortly so people built most
234.959,5.041,systems in fortran or cobol for a while
237.92,4.239,lisp was a bit of an outlier even
240.0,3.12,then but systems were getting bigger and
242.159,3.36,more complex
243.12,4.399,so the lack of constraints meant that
245.519,3.601,there were lots of balls of mud being
247.519,4.8,produced
249.12,5.44,dykstra came along in 1968.
252.319,5.04,he wanted systems to be mathematically
254.56,3.44,provable so he said go-to statements are
257.359,3.28,considered
258.0,3.28,harmful and gave birth to structured
260.639,4.241,programming
261.28,5.68,in 68. structured programming works by
264.88,5.28,constraining the flow of
266.96,5.519,transfer of control you can't just jump
270.16,5.44,to any point in a program as you could
272.479,5.761,in cobol or fortran or assembler
275.6,3.76,you are forced to jump to fixed points
278.24,3.28,that are defined
279.36,3.04,jump to points in the language if you
281.52,4.0,like that we
282.4,6.0,these days call functions or methods
285.52,4.48,this allows us to be a bit more cautious
288.4,4.48,at these points
290.0,4.96,we're forced to assemble arguments and
292.88,4.879,we can check them for validity if we
294.96,5.44,want to when a call is received
297.759,3.041,as i said earlier it's a mistake to see
300.4,2.639,this
300.8,4.08,as some kind of linear progression of
303.039,4.88,language goodness
304.88,4.08,while all of this was going on elsewhere
307.919,4.241,in parallel
308.96,6.799,ooh was being invented the term oo
312.16,5.759,was invented by alan kaye in 1966
315.759,3.921,but the ideas that led to it were around
317.919,5.12,for a few years before that
319.68,6.239,even as early as 1961. the first
323.039,5.6,real oo language was simula which was
325.919,5.361,created in 1965
328.639,3.28,but there were earlier attempts the
331.28,3.919,radical
331.919,5.761,oo step though was small talk in 1972.
335.199,3.44,the oo paradigm is not really what most
337.68,5.04,people think
338.639,6.0,though it's not really about inheritance
342.72,4.0,and why it is about putting data and
344.639,4.641,behavior together i think that most
346.72,4.72,oo programmers would say it is much more
349.28,5.359,about polymorphism
351.44,5.52,later alan kaye said this
354.639,4.4,i'm sorry that i long ago coined the
356.96,4.0,term objects for this topic
359.039,3.6,because it gets many people to focus on
360.96,5.519,the lesser idea
362.639,4.241,the big idea is messaging i think that
366.479,3.361,what
366.88,5.439,k means here is that the real value is
369.84,4.88,that we can send a message to something
372.319,3.6,and it figures out how to process that
374.72,3.44,message
375.919,3.761,we can send the same message to two
378.16,3.92,different things
379.68,4.32,and each of them deals with that same
382.08,5.36,message but in different ways
384.0,5.039,ways that make sense to them this is
387.44,4.16,polymorphism really
389.039,4.241,this is the real power of o not
391.6,5.28,inheritance
393.28,6.8,in fact the 1972 version of small talk
396.88,6.4,didn't support inheritance at all
400.08,5.119,in bob martin's model this uh
403.28,3.6,this is called dependency management
405.199,5.201,through polymorphism that's how he
406.88,6.159,characterizes the oo paradigm
410.4,4.48,the real value of oo is our ability to
413.039,4.401,modularize our systems
414.88,3.28,and deal from the outside with different
417.44,5.759,modules
418.16,7.52,in consistent ways this is polymorphism
423.199,3.921,structured oo and functional aren't the
425.68,3.919,only paradigms
427.12,4.72,logic programming constrains programs to
429.599,3.121,follow the rules of formal logic for
431.84,2.88,example
432.72,3.84,you could argue that machine learning in
434.72,4.24,its current incarnation
436.56,4.24,is a different paradigm that constrains
438.96,4.239,programmers by allowing them to pick
440.8,4.56,good examples and the only defined
443.199,3.84,fitness functions
445.36,3.36,but let's get back to our topic for
447.039,5.28,today though
448.72,5.759,remember on the timeline kind of weirdly
452.319,5.841,structured programming is historically
454.479,6.401,the last of these paradigms to turn up
458.16,4.64,but let's loop back to the current on
460.88,4.8,point fashion leader
462.8,5.28,the functional paradigm the defining
465.68,5.919,characteristic of functional programming
468.08,6.799,is really that it constrains assignment
471.599,3.841,we write code with no side effects each
474.879,3.201,function
475.44,4.72,translates its inputs into a new output
478.08,4.959,and that's all it does
480.16,4.879,without changing these inputs in any way
483.039,5.28,and without relying on anything
485.039,5.201,but its inputs to achieve its goals
488.319,4.0,sometimes functional programmers talk
490.24,4.799,about this as separating data
492.319,4.241,and function but if i'm honest i think
495.039,3.201,that this is probably so that they can
